POA_CODE_2016,people.tier.1-500,people.tier.2.500-1249,people.tier.3.1250-2499,people.tier.4.2500-6000,avg.income.per.week
POA5000,48425,422800,1286625,2466000,2173.880597
POA5005,0,0,0,0,0
POA5006,18200,191525,696125,2456750,2747.222222
POA5007,35550,348775,947250,1407250,1927.392681
POA5008,90400,892175,1914625,2159500,1702.019522
POA5009,30725,316125,868375,792000,1743.896612
POA5010,49500,452475,782875,570250,1452.701644
POA5011,54325,687075,2045000,2373500,1890.07326
POA5012,99625,857225,1542750,874000,1396.935818
POA5013,75200,731100,1471500,969000,1498.984303
POA5014,68750,824175,2009500,1882750,1722.525198
POA5015,32800,391625,919000,972750,1752.023449
POA5016,37000,500200,1530875,2040250,1978.009148
POA5017,42150,427225,776000,496250,1473.456007
POA5018,20775,385350,1067125,1413750,1962.610469
POA5019,52325,513375,1428750,2123250,1972.078544
POA5020,6525,200825,523375,979000,2142.512531
POA5021,30450,420500,949625,1800750,2061.381198
POA5022,48950,779650,2293750,5535750,2350.828129
POA5023,120125,1221575,2725375,2256500,1616.455777
POA5024,61775,901675,2271000,3878750,2060.602549
POA5025,43100,579775,1368375,2050000,1915.28436
POA5031,54025,494975,1423625,2222000,1985.151443
POA5032,55650,794850,2103875,2938000,1973.333891
POA5033,45350,512600,1354750,1115000,1706.708005
POA5034,24350,380675,1338875,4138250,2602.721239
POA5035,24875,346875,928125,1408000,1999.907681
POA5037,43700,662475,1657750,1960500,1849.625749
POA5038,76975,975175,2688750,2553250,1783.550581
POA5039,40150,496025,1433125,1909750,1942.438658
POA5040,10875,157750,392125,686000,2047.208539
POA5041,41025,615850,1971625,4884250,2387.273594
POA5042,55275,757875,1679375,1528000,1687.169534
POA5043,102800,1340300,2932000,2472000,1641.990408
POA5044,31225,579400,1626000,3660000,2302.469738
POA5045,60850,734375,2320000,4889500,2276.009383
POA5046,52150,568725,1545250,1537250,1771.949761
POA5047,41200,585075,1416375,1333500,1728.699437
POA5048,55250,835975,2129875,3858000,2096.008531
POA5049,47150,584975,1749000,2917500,2094.318182
POA5050,22425,322775,942875,1656250,2127.402457
POA5051,34575,675950,2566625,5179500,2339.969563
POA5052,12375,293200,1135375,2505750,2434.731647
POA5061,28575,332975,1156250,4970250,2887.427681
POA5062,41150,584800,1989750,6704250,2659.803082
POA5063,33900,473300,1606125,4576500,2514.971805
POA5064,34900,399825,1224750,4403500,2674.44861
