POA_CODE_2016,people.tier.1.74-199,people.tier.2.200-449,people.tier.3.450-849,people.tier.4.850-1200,avg.rent.per.week
5000,80908,672803,574373.5,30341.5,368.4366694
5005,0,0,0,0,0
5006,13488,276058.5,159659.5,29069,385.0845411
5007,48226,310132.5,88816.5,0,303.1694915
5008,75370.5,387904.5,44759,2698.5,260.5778061
5009,15002,122067,14886,0,281.3981481
5010,54882,122303,6993,0,211.9424626
5011,31768.5,386325.5,33567.5,0,295.7835625
5012,74797.5,298210.5,12888,3225,241.5400372
5013,58093,229292,9291.5,0,228.7405551
5014,57419.5,286834,14786.5,0,248.4705882
5015,30826.5,225936.5,29571.5,0,277.7250242
5016,25143.5,212282.5,24977.5,6998.5,291.2454054
5017,43255,129252,8192.5,0,225.5923845
5018,7113,88308.5,16484.5,0,308.2809917
5019,57914,240576.5,54149.5,3225,263.9948071
5020,2014,43025.5,20181,0,354.4592391
5021,7578.5,81141,48657,0,346.0365239
5022,48814.5,303618,178643,25493,318.0391429
5023,89885,503985.5,39562,0,262.8350622
5024,21522,279435,100010,0,323.0999194
5025,18408.5,155765,40262,0,304.5958807
5031,49123.5,340742.5,99606.5,6998.5,303.2810018
5032,38885.5,346932,69936.5,2698.5,287.4310345
5033,39673,303498,52150.5,0,280.9676617
5034,19854,277603,91715.5,14896.5,331.2040984
5035,25681,223305,35866,0,278.993144
5037,40806.5,322199.5,53449,0,284.2696246
5038,64739.5,532236.5,61441,3225,282.2704778
5039,45196,237528,27674,0,263.2722646
5040,19639.5,22753.5,5994,0,192.7768924
5041,19081,226391,61445.5,0,310.0176768
5042,32149,299285,42960.5,7525,289.772003
5043,145374,598797,69034.5,12373.5,262.0053951
5044,25180,216445,83124.5,5923.5,320.4195736
5045,36713.5,558056,213411,18845.5,329.7551834
5046,43764,278349.5,52149,0,287.8942308
5047,43087.5,261048.5,28672.5,8600,292.8031732
5048,38877.5,323535.5,80924.5,11298.5,311.1813826
5049,8450.5,159585,61345.5,9521.5,354.9814264
5050,4469,55693,10889.5,0,320.0518018
5051,8124,112930,59646,5397,350.4651601
5052,3386.5,44885,22879,3598,368.2192118
5061,16072,207143,141675.5,12746.5,365.9273256
