POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_persons_private_dwgs_M,Count_persons_private_dwgs_F,Count_persons_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spo_home_Eng_only_M,Lang_spo_home_Eng_only_F,Lang_spo_home_Eng_only_P,Lang_spo_home_Oth_Lang_M,Lang_spo_home_Oth_Lang_F,Lang_spo_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_instit_0_4_M,Age_per_att_educ_instit_0_4_F,Age_per_att_educ_instit_0_4_P,Age_per_att_educ_insti_5_14_M,Age_per_att_educ_insti_5_14_F,Age_per_att_educ_insti_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_instit_25_M,Age_per_att_educ_instit_25_F,Age_per_att_educ_instit_25_P,High_yr_sch_com_Yr_12_equiv_M,High_yr_sch_com_Yr_12_equiv_F,High_yr_sch_com_Yr_12_equiv_P,High_yr_sch_com_Yr_11_equiv_M,High_yr_sch_com_Yr_11_equiv_F,High_yr_sch_com_Yr_11_equiv_P,High_yr_sch_com_Yr_10_equiv_M,High_yr_sch_com_Yr_10_equiv_F,High_yr_sch_com_Yr_10_equiv_P,High_yr_sch_comp_Yr_9_equiv_M,High_yr_sch_comp_Yr_9_equiv_F,High_yr_sch_comp_Yr_9_equiv_P,High_yr_sch_comp_Yr_8_below_M,High_yr_sch_comp_Yr_8_below_F,High_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
POA5000,11633,10371,21997,213,212,424,257,317,575,593,645,1231,2126,2327,4453,2665,2400,5072,1672,1196,2867,1614,1086,2705,1258,966,2220,810,739,1546,307,303,612,125,177,302,1056,1127,2182,6542,6548,13090,5087,3825,8910,159,119,284,9,5,17,4,0,4,173,135,305,4529,3670,8196,4332,4257,8592,5060,4263,9328,3397,3583,6981,5433,4657,10092,21,24,49,182,222,400,440,464,898,1359,1507,2865,850,895,1743,6334,5947,12280,695,593,1280,581,520,1096,171,127,300,156,126,279,44,25,65
POA5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5006,3853,4147,7999,141,157,298,204,181,387,305,382,688,539,552,1089,700,711,1416,386,378,768,429,454,884,446,457,902,409,475,882,198,237,427,98,166,264,98,106,205,2925,2984,5910,930,1163,2093,30,50,76,0,0,3,0,0,0,30,56,81,2305,2555,4860,1038,1095,2133,2609,2910,5518,734,731,1465,2815,3104,5920,23,21,44,174,158,327,264,333,594,385,395,787,243,232,477,2473,2556,5023,243,305,552,176,270,444,62,71,128,41,58,98,12,12,18
POA5007,3447,3561,7011,165,161,324,220,240,461,146,162,311,358,373,732,805,765,1575,503,429,933,417,466,876,385,398,782,220,212,433,138,174,310,103,176,274,40,46,85,3256,3361,6616,192,204,394,46,51,97,0,3,3,0,0,0,43,55,102,2149,2186,4338,1088,1143,2236,2203,2223,4425,1044,1109,2158,2720,2804,5522,18,28,49,202,214,416,113,132,247,195,194,395,219,283,504,1876,1889,3771,326,322,651,278,270,542,119,111,227,206,252,457,41,76,116
POA5008,6844,6840,13682,382,382,766,718,664,1385,425,350,774,570,544,1113,1182,1113,2294,925,878,1796,947,896,1848,800,786,1582,462,543,1001,296,439,735,143,243,386,53,74,127,6789,6742,13531,57,96,157,113,111,232,6,5,5,7,4,9,126,121,249,3960,3912,7871,2367,2389,4758,3686,3564,7256,2696,2795,5491,5388,5535,10921,49,62,113,664,599,1257,311,273,583,271,280,555,336,405,743,2997,3026,6019,815,638,1453,650,565,1216,236,271,505,451,599,1047,110,187,299
POA5009,2503,2477,4977,134,133,267,291,274,560,159,147,307,194,166,360,360,314,675,328,336,666,389,374,755,308,302,613,164,198,363,119,156,273,50,72,128,24,14,33,2493,2464,4956,4,21,27,26,29,57,0,0,0,0,0,0,28,29,60,1631,1644,3277,714,696,1414,1577,1553,3126,793,796,1593,2101,2072,4175,14,22,43,260,258,517,116,122,232,92,82,174,85,131,214,1071,1116,2188,349,285,628,260,250,512,90,83,174,121,176,297,26,32,52
POA5010,2786,3180,5962,185,172,355,351,358,711,184,211,398,215,250,466,404,470,872,401,430,830,363,381,742,302,351,658,195,236,432,112,190,298,64,130,199,38,84,130,2666,2981,5643,122,196,320,38,63,103,3,0,3,0,0,0,43,63,108,1368,1413,2787,1224,1465,2690,1074,1161,2235,1541,1771,3316,2239,2413,4654,32,25,61,318,325,643,140,158,302,94,116,204,118,173,288,1106,1231,2337,278,232,515,260,299,561,120,147,265,171,288,454,87,129,215
POA5011,5799,6045,11850,381,349,728,656,635,1293,355,327,678,448,435,885,936,1020,1957,823,788,1608,799,862,1657,679,691,1373,405,425,822,214,287,501,108,223,331,26,48,83,5616,5803,11421,182,244,431,98,70,165,3,3,3,0,0,7,102,76,176,3887,3914,7798,1561,1732,3289,3797,3872,7673,1655,1817,3475,4791,4952,9748,54,64,123,600,583,1185,278,263,543,169,191,365,223,287,511,2504,2786,5285,780,709,1492,635,536,1178,207,212,422,235,315,547,51,94,140
POA5012,5586,5606,11190,427,411,832,716,679,1396,384,382,757,511,445,955,920,935,1854,751,802,1551,706,689,1390,578,587,1160,354,321,676,187,245,429,66,118,185,58,78,142,5556,5598,11159,25,6,34,120,97,220,6,6,14,0,4,5,132,110,239,2430,2334,4767,2771,2870,5642,1922,1828,3746,3307,3416,6725,4248,4227,8469,66,80,143,637,617,1254,301,316,615,220,211,426,223,348,571,2267,2263,4532,530,432,963,591,519,1107,242,258,504,305,427,729,118,207,331
POA5013,4971,4956,9923,272,279,553,554,518,1072,343,299,646,354,325,675,709,682,1391,657,616,1276,746,734,1477,658,639,1304,402,407,807,180,237,415,93,216,309,29,38,68,4896,4848,9749,73,106,175,157,158,314,4,5,12,3,3,3,167,166,330,3063,2904,5975,1541,1675,3218,2947,2878,5820,1709,1792,3501,4215,4210,8426,49,45,89,502,472,972,245,238,485,117,130,249,147,226,374,1688,1837,3524,698,552,1254,659,591,1255,282,260,543,344,450,796,90,117,213
POA5014,5673,6067,11739,292,299,594,603,594,1196,347,296,643,351,359,711,847,867,1713,750,762,1512,825,864,1689,769,799,1567,480,560,1041,271,433,710,142,222,362,22,38,61,5604,5987,11588,71,85,154,128,160,284,3,0,3,0,3,3,134,159,295,4076,4245,8328,1229,1424,2659,4185,4362,8548,1191,1377,2570,5040,5345,10386,52,46,97,544,557,1096,244,223,468,113,124,238,145,273,424,2114,2365,4484,892,821,1715,750,738,1485,283,284,569,326,469,793,51,79,134
POA5015,2749,2865,5617,132,122,249,277,272,543,151,151,298,174,189,360,419,443,859,390,384,773,418,475,893,411,402,819,253,254,508,89,136,224,35,47,80,11,16,25,2698,2850,5548,49,18,62,87,110,198,0,0,0,5,0,6,93,116,204,2018,2114,4130,552,582,1137,2258,2357,4612,348,380,723,2397,2528,4925,16,23,41,262,255,511,105,113,215,37,53,92,87,138,229,1049,1192,2236,471,444,911,390,387,782,141,121,265,95,143,236,20,22,40
POA5016,4106,4591,8697,263,200,461,469,434,904,256,246,508,202,234,438,516,599,1114,526,559,1084,636,707,1344,542,600,1144,358,416,773,198,298,497,136,298,435,10,15,29,3969,4343,8311,138,242,382,111,106,216,0,10,10,3,5,9,117,115,231,3341,3607,6943,615,771,1383,3735,4078,7806,244,314,564,3748,4138,7884,43,41,87,443,415,855,199,194,397,57,89,139,88,207,297,1487,1887,3378,725,661,1387,602,661,1265,196,237,436,172,254,429,9,6,17
POA5017,2375,2588,4960,116,145,262,305,299,604,171,145,312,158,135,289,283,320,604,292,335,622,337,370,708,329,347,678,236,293,526,131,152,280,27,49,73,10,12,22,2364,2578,4941,7,7,15,115,124,243,0,0,0,0,0,0,115,124,243,1822,1964,3779,373,412,783,2057,2197,4249,178,222,401,2111,2263,4376,26,36,57,277,263,538,113,114,229,21,38,55,51,91,142,617,730,1349,385,394,781,424,456,874,186,201,391,162,147,312,8,9,14
POA5018,2706,2780,5481,140,107,248,240,240,475,170,152,316,165,169,328,266,272,543,270,309,576,386,411,798,529,561,1087,374,337,706,124,156,284,47,71,117,10,17,23,2704,2776,5477,3,3,3,33,32,67,0,0,0,0,0,0,33,30,68,2055,2075,4131,541,569,1107,2434,2435,4866,189,236,427,2472,2503,4971,23,23,41,228,227,450,132,120,251,49,71,119,55,94,154,1013,1083,2098,531,517,1048,456,449,903,118,131,254,92,100,196,3,3,5
POA5019,4377,4741,9119,234,235,467,485,407,892,240,242,486,242,220,461,502,522,1019,594,612,1206,642,726,1370,671,741,1406,457,546,1001,205,286,494,113,203,312,15,27,45,4189,4548,8740,189,191,374,105,136,236,3,7,10,3,0,3,108,140,248,3298,3502,6801,817,910,1730,3751,4041,7795,389,420,809,3878,4211,8089,44,63,108,434,382,815,178,195,367,68,72,135,122,204,327,1721,1924,3652,708,664,1376,549,642,1183,192,225,413,188,269,463,17,17,31
POA5020,1486,1582,3070,92,71,162,155,175,336,79,72,150,84,71,154,139,137,275,184,182,368,199,209,413,219,273,495,211,216,433,91,106,200,35,64,97,3,14,16,1479,1577,3063,9,0,8,9,9,15,4,0,4,0,0,0,6,9,18,1113,1140,2254,301,349,650,1246,1281,2521,169,209,374,1327,1385,2710,12,24,40,139,166,298,48,58,105,22,30,53,27,43,75,663,658,1322,228,253,480,182,211,393,45,67,116,36,50,90,4,3,9
POA5021,2735,2907,5643,91,76,173,248,235,488,151,127,279,173,113,287,226,245,472,266,276,540,323,354,679,390,512,897,491,491,982,255,331,585,117,142,258,18,15,30,2721,2897,5614,19,12,30,17,22,36,3,0,3,0,0,0,18,18,38,1952,2037,3986,668,725,1394,2172,2266,4438,472,536,1000,2470,2602,5072,15,17,30,237,222,459,128,114,235,68,50,117,45,88,130,1216,1164,2378,451,445,894,339,481,826,113,149,265,141,190,325,12,15,29
POA5022,7546,7849,15393,433,404,841,880,753,1637,475,479,952,483,420,904,774,816,1592,974,969,1938,1147,1200,2341,1031,1124,2156,784,824,1603,404,506,910,168,356,517,32,45,75,7490,7657,15146,63,187,246,53,61,118,5,3,8,6,3,6,58,71,128,5560,5791,11348,1587,1664,3254,6205,6440,12647,985,1035,2025,6636,6876,13509,95,73,171,829,709,1541,376,388,762,199,176,375,197,319,513,3535,3693,7226,1045,981,2024,797,935,1729,246,291,539,219,334,558,23,38,63
