POA_CODE_2016,Total,Total.Male,Total.Female,tier.1.0-14,tier.2.15-19,tier.3.20-54,tier.4.54-100
5000,21997,11633,10371,999,1231,15097,4680
5005,0,0,0,0,0,0,0
5006,7999,3853,4147,685,688,4157,2475
5007,7011,3447,3561,785,311,4116,1799
5008,13682,6844,6840,2151,774,7051,3704
5009,4977,2503,2477,827,307,2456,1377
5010,5962,2786,3180,1066,398,2910,1587
5011,11850,5799,6045,2021,678,6107,3027
5012,11190,5586,5606,2228,757,5750,2450
5013,9923,4971,4956,1625,646,4819,2835
5014,11739,5673,6067,1790,643,5625,3680
5015,5617,2749,2865,792,298,2885,1631
5016,8697,4106,4591,1365,508,3980,2849
5017,4960,2375,2588,866,312,2223,1557
5018,5481,2706,2780,723,316,2245,2194
5019,9119,4377,4741,1359,486,4056,3213
5020,3070,1486,1582,498,150,1210,1225
5021,5643,2735,2907,661,279,1978,2722
5022,15393,7546,7849,2478,952,6775,5186
5023,16505,7889,8612,2564,972,7856,5130
5024,13783,6654,7129,2112,834,5980,4857
5025,8106,3937,4174,1313,471,3673,2651
5031,9835,4799,5034,1315,523,5617,2376
5032,12725,6224,6500,1962,684,6344,3737
5033,8360,4110,4247,1187,415,4551,2199
5034,9890,4665,5227,1596,595,4809,2883
5035,6265,3034,3236,940,290,3254,1796
5037,10761,5196,5566,1614,587,5416,3141
5038,15198,7340,7857,2278,729,8153,4037
5039,8754,4226,4532,1531,446,4420,2366
5040,2479,1186,1295,363,296,916,901
5041,13386,6335,7048,2489,875,5894,4126
5042,11787,5591,6194,1679,739,5797,3585
5043,18684,8770,9920,2598,1096,9015,5973
5044,10602,4983,5614,1634,714,4413,3833
5045,15887,7628,8257,1996,724,7511,5649
5046,8993,4208,4780,1228,486,4228,3044
5047,8209,3944,4260,1304,485,4003,2408
5048,14017,6537,7485,2169,749,5712,5384
5049,9590,4662,4930,1634,544,4151,3262
5050,5484,2643,2834,865,382,2185,2036
5051,13725,6765,6960,2796,932,5955,4032
5052,6205,3007,3200,1072,435,2530,2171
5061,9578,4509,5067,1574,644,4361,2996
5062,14668,6967,7698,2618,1078,6167,4815
5063,12388,5767,6619,1978,709,5891,3804
5064,9923,4543,5379,1611,819,3646,3840
5065,10279,4718,5561,1818,632,4268,3554
5066,11615,5568,6047,2213,913,4609,3872
5067,10175,4941,5233,1326,611,5122,3112
5068,12139,5513,6625,1834,910,5225,4168
5069,8260,4090,4168,1326,501,4058,2379
5070,14191,6668,7520,2054,699,6801,4637
5072,12542,5978,6563,2092,871,5605,3970
5073,15190,7373,7815,2560,983,6936,4705
5074,13005,6339,6670,2165,719,5954,4167
5075,10588,5129,5466,1741,616,4613,3620
5076,9061,4500,4564,1487,630,4080,2862
5081,9449,4580,4874,1430,605,4165,3257
5082,14773,7420,7357,2496,817,7591,3870
5083,7379,3651,3727,1303,374,3769,1940
5084,10099,5354,4745,1816,598,5433,2256
5085,20167,10225,9939,3705,1037,10992,4426
5086,16246,7826,8422,2914,908,8273,4144
5087,11385,5499,5885,1857,548,5947,3039
5088,3250,1592,1657,568,151,1624,918
5089,6466,3267,3199,1181,439,2905,1939
5090,7699,3559,4143,1116,401,2998,3200
5091,7350,3593,3752,1276,500,3245,2340
5092,17528,8613,8914,3088,1026,8161,5260
5093,8934,4453,4480,1582,560,4058,2732
5094,969,521,449,157,92,435,279
5095,20723,10352,10373,3898,1265,11520,4035
5096,13239,6598,6638,2568,848,6275,3557
5097,13278,6515,6763,2286,788,5875,4340
5098,12221,6046,6180,2206,664,5423,3931
5106,320,216,103,0,36,173,105
5107,17178,8511,8668,3537,1139,8304,4188
5108,40356,20006,20343,8445,2666,19759,9481
5109,20581,10155,10428,3828,1325,9372,6051
5110,8923,4379,4540,2027,532,4360,2013
5111,303,262,45,0,36,247,11
5112,19701,9775,9928,3803,1316,8864,5734
5113,18833,9413,9418,4298,1221,8575,4738
5114,33540,16364,17174,8191,2417,16580,6353
5115,10272,5012,5261,2829,643,5409,1393
5116,9324,4436,4893,1906,646,3997,2764
5117,2863,1450,1414,711,226,1360,559
5118,18132,8783,9346,3296,1254,7945,5631
5120,1982,1032,946,418,93,914,558
5121,1643,814,829,266,79,702,599
5125,18846,9061,9788,3687,1419,8796,4938
5126,7019,3482,3533,1381,423,3232,1983
5127,7648,3670,3977,1278,577,3513,2284
5131,958,472,486,158,71,399,329
5132,407,204,202,80,22,170,140
5133,383,183,199,68,34,158,126
5134,418,209,206,73,31,161,152
5136,511,265,241,107,34,223,143
5137,566,291,272,102,40,226,196
5138,287,151,132,51,17,112,100
5139,221,114,110,44,14,82,80
5140,412,210,205,94,41,193,87
5141,686,334,346,140,51,280,222
5142,549,252,297,108,21,221,205
5144,399,198,202,52,24,156,164
5150,58,34,27,6,0,26,31
5151,370,193,181,63,31,164,114
5152,6028,2945,3083,1263,368,2386,2013
5153,6290,3117,3174,1157,489,2682,1975
5154,3296,1588,1711,681,230,1220,1160
5155,3734,1788,1944,796,222,1688,1033
5156,936,489,446,186,59,402,299
5157,2844,1402,1443,468,199,1150,1028
5158,24287,11864,12426,4706,1619,11484,6485
5159,32153,15719,16437,5804,2286,14205,9858
5160,25,11,13,0,3,6,12
5161,10018,4917,5106,1788,586,4612,3037
5162,33866,16446,17424,6245,2208,15446,9958
5163,13852,6718,7135,2569,844,6232,4213
5164,5240,2534,2698,986,341,2272,1642
5165,5370,2684,2691,912,307,2425,1732
5166,1824,943,879,292,96,794,653
5167,5605,2742,2860,947,333,2492,1823
5168,5445,2668,2777,1079,294,2579,1496
5169,16761,8013,8747,3666,1019,7906,4170
5170,1116,535,585,183,70,508,355
5171,5785,2808,2979,985,380,2246,2180
5172,3878,1900,1973,714,281,1604,1284
5173,12539,6020,6522,2942,816,5656,3129
5174,2858,1439,1424,555,195,1339,767
5201,1905,949,952,345,129,868,560
5202,833,422,410,163,51,364,257
5203,1235,606,627,188,63,400,587
5204,2827,1386,1444,344,98,839,1554
5210,1660,818,843,362,122,714,463
5211,14773,6904,7870,2007,679,4344,7743
5212,2074,1012,1065,259,72,573,1168
5213,1124,582,541,192,62,434,441
5214,8018,3833,4186,1004,295,2359,4376
5220,151,75,74,29,3,70,44
5221,342,160,182,51,7,117,152
5222,668,335,330,89,24,235,324
5223,3772,1933,1838,631,197,1529,1407
