POA_CODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
POA5000,33,1733,585,380,1793,1,1075,1.9
POA5005,0,0,0,0,0,0,0,0
POA5006,36,1896,740,360,2397,0.9,1697,1.9
POA5007,36,1625,638,320,1682,0.8,1268,2.1
POA5008,37,1600,493,265,1412,0.9,1106,2.4
POA5009,40,1600,583,285,1524,0.8,1202,2.4
POA5010,37,1517,438,183,1195,0.9,972,2.6
POA5011,37,1733,652,300,1668,0.9,1323,2.4
POA5012,33,1517,430,248,1142,1,968,2.7
POA5013,39,1387,476,230,1269,0.9,983,2.4
POA5014,41,1543,585,250,1510,0.8,1083,2.2
POA5015,41,1500,676,290,1524,0.8,1135,2.1
POA5016,43,1668,671,291,1786,0.8,1305,2.3
POA5017,41,1447,483,220,1201,0.8,915,2.3
POA5018,48,1700,660,330,1748,0.8,1386,2.4
POA5019,45,1733,634,260,1732,0.8,1230,2.2
POA5020,47,1733,707,350,1845,0.8,1496,2.5
POA5021,53,1883,655,325,1655,0.7,1294,2.2
POA5022,44,1868,733,295,2085,0.8,1484,2.3
POA5023,40,1600,532,270,1372,0.8,1049,2.3
POA5024,44,1800,642,300,1746,0.8,1338,2.4
POA5025,42,1799,605,320,1649,0.8,1321,2.5
POA5031,36,1733,590,300,1702,0.9,1271,2.3
POA5032,39,1667,638,275,1693,0.8,1255,2.4
POA5033,36,1638,581,280,1470,0.9,1135,2.2
POA5034,38,2000,801,310,2322,0.9,1690,2.4
POA5035,38,1600,683,270,1688,0.9,1259,2.2
POA5037,37,1650,598,280,1567,0.9,1197,2.3
POA5038,36,1600,634,280,1568,0.9,1177,2.2
POA5039,37,1788,605,265,1730,0.8,1193,2.4
POA5040,44,1950,522,150,1832,0.8,1252,2.4
POA5041,41,1853,722,290,2156,0.9,1633,2.6
POA5042,37,1600,506,290,1399,0.8,1133,2.4
POA5043,39,1600,530,260,1378,0.8,1013,2.2
POA5044,44,1800,742,310,2071,0.8,1399,2.2
POA5045,44,1744,793,300,2024,0.8,1367,2.1
POA5046,41,1625,598,300,1508,0.8,1154,2.2
POA5047,38,1639,581,315,1466,0.8,1165,2.3
POA5048,46,1733,663,300,1776,0.8,1287,2.3
POA5049,43,1766,745,340,1862,0.8,1497,2.5
POA5050,45,1704,662,330,1882,0.8,1515,2.5
POA5051,41,1842,778,338,2127,0.8,1833,2.7
POA5052,45,1831,775,363,2183,0.8,1827,2.6
POA5061,41,2167,882,335,2589,0.8,1926,2.4
POA5062,42,2000,790,300,2377,0.8,1756,2.5
POA5063,40,1907,769,332,2242,0.9,1571,2.3
POA5064,46,2167,752,356,2345,0.8,1793,2.5
POA5065,43,2000,768,300,2201,0.9,1498,2.4
POA5066,43,2100,867,360,2582,0.8,2063,2.7
POA5067,39,1950,806,330,2208,0.8,1505,2.1
POA5068,42,1950,695,300,2051,0.8,1344,2.3
POA5069,39,2000,773,300,2343,0.8,1591,2.4
POA5070,40,1733,597,280,1613,0.8,1172,2.2
POA5072,41,1804,651,300,1887,0.8,1388,2.5
POA5073,41,1733,593,300,1654,0.8,1264,2.5
POA5074,41,1600,537,290,1445,0.8,1123,2.4
POA5075,42,1560,600,310,1548,0.8,1270,2.5
POA5076,42,1635,677,330,1900,0.8,1630,2.7
POA5081,43,2000,793,310,2319,0.8,1667,2.3
POA5082,37,1907,723,295,2066,0.9,1565,2.5
POA5083,37,1733,716,290,1912,0.9,1353,2.4
POA5084,34,1489,443,250,1102,0.9,912,2.6
POA5085,34,1700,608,300,1544,0.9,1293,2.5
POA5086,36,1582,574,275,1487,0.8,1212,2.4
POA5087,36,1638,587,270,1469,0.8,1176,2.3
POA5088,38,1430,550,275,1346,0.8,1072,2.3
POA5089,41,1602,725,330,1942,0.8,1701,2.7
POA5090,47,1500,533,290,1420,0.8,1077,2.3
