POA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
POA5000,4,0,3,0,527,526,39,3,0,0,1848,1894,559,33,32,3,1820,2447,715,60,86,4,665,1533,739,79,205,8,454,1482,596,63,203,23,225,1110,433,36,151,25,110,758,185,7,31,28,44,295,61,3,4,40,8,126,493,8,23,11,463,993,3818,292,741,144,6164,11162,3,0,0,0,552,559,47,5,5,3,1966,2025,592,33,41,3,1506,2172,487,40,90,0,436,1064,461,58,163,14,266,958,469,42,204,42,115,871,350,36,155,80,53,668,122,3,46,105,24,296,37,0,17,108,8,176,409,3,34,23,582,1049,2973,222,759,376,5504,9836,4,0,3,0,1076,1082,87,7,6,0,3814,3916,1153,67,74,10,3330,4622,1203,104,181,8,1099,2599,1198,140,369,17,720,2444,1068,105,411,66,345,1986,778,70,309,102,165,1426,298,9,79,135,65,583,102,3,20,156,18,294,901,10,56,30,1045,2044,6794,518,1502,523,11672,21005
POA5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5006,3,0,0,0,297,301,3,0,0,0,523,526,157,8,4,0,508,673,177,15,22,0,161,374,225,24,57,0,120,430,252,24,72,6,78,426,272,14,63,11,49,406,130,4,22,22,19,195,61,0,4,27,11,98,49,0,3,0,34,90,1324,88,251,55,1790,3505,0,0,0,0,371,374,21,0,0,0,501,527,214,10,17,4,450,694,178,15,37,4,129,365,240,17,79,11,86,441,280,15,76,22,62,449,250,17,90,85,33,465,98,3,33,86,18,232,25,0,8,123,15,166,43,0,3,0,51,102,1353,78,339,333,1716,3810,7,0,0,0,666,674,27,4,0,0,1019,1046,367,22,23,4,957,1365,356,31,63,4,290,739,469,45,137,11,202,865,530,36,145,25,142,879,519,29,149,93,81,872,224,7,55,104,32,428,89,0,8,142,25,264,94,0,7,3,85,188,2674,171,589,387,3502,7320
POA5007,0,0,0,0,141,141,3,3,0,0,337,346,182,11,7,0,595,794,209,24,33,4,233,499,163,23,57,0,170,416,149,14,99,14,104,380,95,12,53,6,53,216,66,8,15,26,15,138,48,0,3,40,7,103,8,0,0,0,25,31,928,94,269,88,1681,3068,0,0,0,0,162,162,11,0,0,0,353,362,215,17,10,3,512,764,201,22,39,5,156,424,168,27,91,11,164,460,144,23,104,37,85,383,91,11,50,33,22,211,62,0,26,82,3,174,25,3,5,139,8,176,20,0,0,0,21,46,932,105,331,308,1482,3161,0,0,0,0,297,297,15,3,0,0,691,712,396,29,20,3,1110,1555,417,45,77,5,387,927,330,50,148,11,333,875,290,35,198,47,192,770,186,25,106,42,69,425,123,8,44,109,21,310,70,3,14,176,15,274,34,0,0,0,44,80,1863,197,600,398,3165,6223
POA5008,0,0,0,0,412,413,22,6,0,0,539,563,383,11,17,0,753,1169,509,37,60,3,315,917,459,54,123,10,300,942,386,45,158,19,188,798,254,31,83,17,65,456,197,16,25,44,18,296,77,3,3,56,6,143,11,0,3,3,27,45,2288,201,478,149,2623,5740,3,0,0,0,341,345,34,3,0,0,492,530,475,13,32,0,581,1104,513,45,73,7,236,871,449,46,141,21,223,883,353,44,195,45,132,775,263,20,96,109,47,533,134,6,48,222,26,439,41,0,10,178,13,243,29,0,8,3,35,71,2303,185,605,587,2119,5793,3,0,0,0,751,761,58,8,0,0,1023,1089,863,26,50,5,1333,2270,1021,79,133,10,542,1787,905,99,266,35,523,1826,740,89,356,67,319,1568,524,52,183,125,114,991,330,23,72,265,45,735,120,6,14,226,17,386,41,3,5,3,64,118,4595,380,1082,732,4742,11537
POA5009,0,0,0,0,153,153,7,0,0,0,181,193,125,3,3,3,223,359,195,16,22,0,105,328,216,17,52,8,100,383,169,21,50,3,60,301,104,4,27,5,27,164,93,3,3,12,8,119,21,0,0,29,0,50,3,0,0,0,10,17,936,62,159,52,869,2072,0,0,0,0,149,147,5,0,0,0,151,160,165,3,0,0,149,313,189,19,28,3,103,336,206,13,63,4,83,369,166,15,56,15,40,295,114,0,39,27,8,198,61,4,14,78,0,154,14,0,0,61,4,72,10,0,0,3,6,14,928,63,201,193,693,2076,0,0,0,0,299,300,16,0,0,0,340,357,286,4,4,3,372,674,383,33,46,3,205,666,419,32,113,12,179,754,340,36,106,17,103,598,216,4,69,34,36,363,158,7,14,87,5,278,37,0,0,83,3,128,10,0,0,3,19,33,1863,122,361,246,1561,4150
POA5010,0,0,0,0,182,182,6,3,0,0,195,205,150,7,8,0,231,399,246,20,18,0,110,399,218,11,34,3,92,364,171,14,54,13,47,301,114,14,37,7,20,193,54,6,20,18,10,113,29,3,3,29,0,64,15,0,4,0,18,39,1005,82,175,73,912,2248,0,0,0,0,188,188,14,0,7,0,215,232,221,9,24,0,206,464,282,16,26,7,105,426,177,29,71,7,89,374,166,22,71,27,54,342,85,17,57,55,16,231,59,6,26,100,5,190,13,0,3,106,4,130,31,0,3,10,46,80,1044,95,280,314,929,2649,0,0,0,0,370,370,21,3,7,0,410,440,370,18,27,0,435,857,529,34,41,7,213,826,389,38,100,15,187,734,341,33,123,34,105,635,195,23,100,62,36,418,112,12,43,116,17,300,40,3,5,138,8,199,46,0,3,10,65,120,2050,173,452,384,1840,4897
POA5011,0,0,0,0,349,350,19,0,3,0,429,448,339,13,17,3,557,936,502,19,32,3,264,818,462,35,103,8,190,792,399,37,111,11,127,676,226,25,83,19,48,396,150,7,20,23,15,214,51,3,5,49,3,108,9,0,3,0,6,23,2161,138,378,112,1978,4764,4,0,0,0,317,325,30,0,0,0,395,429,470,28,22,0,492,1013,500,44,62,0,178,781,481,56,152,8,163,855,367,32,159,51,77,680,201,15,96,72,39,418,97,4,23,143,17,287,30,0,8,176,7,223,25,0,4,5,10,44,2194,177,528,461,1696,5057,4,0,0,0,669,671,45,0,0,0,827,876,809,46,41,3,1052,1950,1000,68,98,3,435,1602,940,91,251,14,349,1649,766,60,266,63,195,1353,426,37,177,84,85,815,244,15,48,166,35,501,77,3,16,224,13,331,40,0,6,5,17,66,4355,317,906,569,3676,9819
POA5012,0,0,0,0,375,374,23,0,0,0,476,502,341,13,24,4,526,903,458,31,41,0,220,751,407,41,67,3,176,699,306,41,75,7,127,558,205,20,67,13,45,347,129,11,27,16,11,187,34,0,6,26,4,66,29,0,0,0,23,56,1935,163,298,71,1979,4444,4,0,0,0,374,376,55,4,0,0,379,435,457,34,21,4,408,919,487,45,67,5,185,796,357,50,114,25,126,679,288,25,116,59,72,561,154,18,48,64,29,310,92,5,22,117,12,239,21,0,9,87,3,118,38,0,3,14,25,80,1944,173,405,387,1606,4514,7,0,0,0,747,754,84,0,0,0,851,936,790,45,44,8,933,1827,947,75,114,11,403,1543,769,93,184,33,301,1378,595,70,192,72,199,1127,353,37,115,79,71,657,219,12,49,133,19,427,56,0,8,116,7,185,62,0,3,17,47,127,3876,338,702,453,3585,8962
POA5013,0,0,0,0,346,342,11,0,0,0,339,350,211,10,11,0,467,704,300,45,33,4,276,654,324,36,130,3,253,745,313,39,134,15,158,656,202,22,79,27,59,396,110,10,33,14,17,180,40,3,4,37,9,96,10,0,0,0,8,21,1528,159,412,109,1933,4141,0,0,0,0,293,297,20,0,0,0,299,320,287,29,25,0,332,676,318,45,56,5,191,612,325,48,145,31,183,729,255,42,192,57,89,633,184,20,86,86,29,405,74,11,26,121,12,237,27,0,11,169,7,216,16,0,0,3,9,34,1498,191,541,479,1448,4155,0,0,0,0,636,637,35,0,0,0,634,666,500,43,29,0,806,1376,616,85,92,10,470,1268,652,79,268,36,431,1473,572,78,321,73,243,1289,386,40,169,118,92,806,184,15,54,137,28,415,67,3,15,204,18,308,28,0,0,4,20,57,3031,350,951,587,3379,8297
