POA_CODE_2016,Preschool_M,Preschool_F,Preschool_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infants_Prim_Other_Non_Govt_M,Infants_Prim_Other_Non_Govt_F,Infants_Prim_Other_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tech_Ftime_stud_15_24_yr_M,Tech_Ftime_stud_15_24_yr_F,Tech_Ftime_stud_15_24_yr_P,Tech_Ftime_stud_25_yr_over_M,Tech_Ftime_stud_25_yr_over_F,Tech_Ftime_stud_25_yr_over_P,Tech_Ptime_stud_15_24_yr_M,Tech_Ptime_stud_15_24_yr_F,Tech_Ptime_stud_15_24_yr_P,Tech_Ptime_stud_25_yr_over_M,Tech_Ptime_stud_25_yr_over_F,Tech_Ptime_stud_25_yr_over_P,Tech_Full_Ptime_stud_st_ns_M,Tech_Full_Ptime_stud_st_ns_F,Tech_Full_Ptime_stud_st_ns_P,Tech_Furth_Educ_Instit_Tot_M,Tech_Furth_Educ_Instit_Tot_F,Tech_Furth_Educ_Instit_Tot_P,Uni_oth_Inst_Ft_stu_15_24_M,Uni_oth_Inst_Ft_stu_15_24_F,Uni_oth_Inst_Ft_stu_15_24_P,Uni_oth_Instit_Ft_stu_25_M,Uni_oth_Instit_Ft_stu_25_F,Uni_oth_Instit_Ft_stu_25_P,Uni_oth_Instit_Pt_stu_15_24_M,Uni_oth_Instit_Pt_stu_15_24_F,Uni_oth_Instit_Pt_stu_15_24_P,Uni_oth_Instit_Pt_stu_25_M,Uni_oth_Instit_Pt_stu_25_F,Uni_oth_Instit_Pt_stu_25_P,Uni_oth_Inst_F_Pt_stu_st_ns_M,Uni_oth_Inst_F_Pt_stu_st_ns_F,Uni_oth_Inst_F_Pt_stu_st_ns_P,Uni_oth_Inst_Tot_M,Uni_oth_Inst_Tot_F,Uni_oth_Inst_Tot_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA5000,31,32,64,94,109,205,29,32,59,23,28,46,141,165,309,81,104,177,22,15,38,41,31,75,138,155,293,81,71,153,60,87,146,17,17,34,47,76,120,3,0,3,202,253,455,1511,1684,3193,529,459,991,42,60,100,141,181,323,8,6,13,2230,2386,4618,58,63,123,41,56,100,0,0,0,101,121,221,2176,1448,3619,1056,1127,2182,6083,5680,11761
POA5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5006,28,23,54,79,67,148,14,14,26,47,35,79,128,123,251,35,35,69,11,18,29,52,37,93,94,95,191,17,11,33,7,15,20,5,9,12,14,19,36,0,0,0,43,54,103,544,621,1166,161,101,262,14,14,33,42,60,109,4,0,7,774,807,1577,6,14,23,11,22,29,0,0,0,18,37,51,412,409,820,98,106,205,1599,1653,3253
POA5007,21,29,55,83,80,166,76,69,144,12,10,30,178,165,340,46,65,107,35,54,82,21,16,35,105,127,231,11,22,39,24,28,49,10,5,13,26,46,76,0,0,0,70,102,176,177,194,371,92,96,185,10,18,27,61,81,140,0,3,5,344,384,728,13,20,38,14,22,41,0,0,0,34,46,75,169,185,358,40,46,85,957,1089,2048
POA5008,66,74,144,262,264,524,201,179,374,56,35,91,514,477,994,180,126,308,138,139,274,30,28,60,345,295,638,52,36,83,41,47,92,18,15,36,57,73,127,0,0,0,170,177,347,264,274,539,116,115,229,27,27,56,67,107,167,0,9,8,468,531,1002,33,26,64,29,40,66,0,0,0,62,69,130,433,468,901,53,74,127,2119,2162,4278
POA5009,26,30,53,112,119,225,77,78,153,11,13,24,200,209,404,65,63,128,53,59,111,20,13,38,139,136,271,16,10,24,19,19,30,10,9,13,12,20,39,0,0,0,50,59,108,90,76,175,20,36,60,6,9,17,18,31,49,0,0,0,140,157,299,3,13,18,8,14,26,0,0,0,11,26,40,125,135,262,24,14,33,720,760,1480
POA5010,46,37,80,142,133,281,102,105,204,15,14,32,258,253,509,68,94,162,55,66,126,19,13,38,147,175,321,20,30,43,32,28,58,10,11,20,18,30,50,0,0,0,79,96,175,93,120,217,30,41,67,3,5,10,19,28,51,0,3,3,145,198,349,9,22,31,14,15,31,3,0,4,23,40,66,152,212,363,38,84,130,892,1096,1992
POA5011,68,68,138,241,195,432,221,237,459,35,32,70,499,463,968,151,129,275,121,135,259,31,41,72,304,301,602,17,24,41,20,32,57,14,13,28,34,59,91,0,3,3,91,131,224,167,201,369,72,57,127,14,20,33,53,82,135,4,0,4,310,367,678,18,23,44,29,39,65,0,0,0,50,54,106,346,372,716,26,48,83,1705,1807,3510
POA5012,82,82,168,272,262,538,210,188,397,29,37,66,510,488,998,179,186,364,126,131,253,36,21,52,343,336,671,49,32,80,40,60,94,14,15,33,31,87,116,0,0,0,133,189,325,197,240,438,75,74,149,17,18,33,33,50,84,0,0,0,319,380,701,27,42,65,27,48,74,0,0,0,51,86,138,370,367,740,58,78,142,1878,2014,3890
POA5013,59,44,98,228,174,406,157,165,325,29,29,65,417,373,790,133,156,289,110,94,207,20,27,47,259,277,536,27,18,44,16,42,66,15,18,33,39,59,95,0,0,0,101,147,244,112,138,248,40,29,65,11,11,28,29,40,70,0,0,6,193,221,417,19,19,33,15,35,52,0,0,0,32,50,82,333,314,640,29,38,68,1422,1458,2885
