POA_CODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA5000,0,13,19,19,25,42,51,64,36,274,3,6,13,10,8,3,9,6,8,65,117,449,821,580,639,449,328,158,105,3642,901,3895,4618,2596,2443,1988,1428,583,294,18740
POA5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA5006,0,3,0,3,0,5,24,28,21,88,0,3,0,0,0,3,3,7,3,18,45,91,150,77,119,116,117,71,73,858,548,1043,1368,738,865,877,867,428,260,7004
POA5007,3,5,5,12,23,49,92,126,128,450,0,3,0,3,7,15,17,25,39,116,7,26,84,57,66,47,31,29,29,374,139,705,1553,929,874,768,425,310,274,5981
POA5008,0,3,29,39,79,119,239,315,189,1017,0,3,24,29,32,43,54,78,32,298,52,72,148,121,125,106,95,95,53,865,381,1083,2265,1781,1820,1568,980,730,386,11001
POA5009,4,4,10,15,15,31,76,96,54,294,0,0,5,4,4,10,11,14,5,57,8,16,35,42,40,38,35,32,17,257,134,358,671,665,751,599,363,270,128,3939
POA5010,0,3,14,33,42,75,95,102,73,451,0,3,17,24,40,43,33,29,15,215,22,22,43,46,61,45,59,56,57,422,174,434,857,822,733,633,419,300,199,4567
POA5011,4,3,16,15,35,58,129,147,119,525,0,3,10,8,22,7,18,47,24,140,31,50,90,85,97,104,81,83,60,678,285,876,1948,1602,1644,1354,813,496,331,9349
POA5012,3,7,49,77,105,127,136,130,86,711,3,3,22,40,82,70,35,58,16,330,36,63,100,98,100,93,81,60,23,653,334,921,1815,1538,1369,1120,656,428,183,8379
POA5013,8,13,30,44,80,141,177,145,133,773,0,3,17,14,31,48,43,37,15,214,45,36,98,68,90,105,115,59,27,643,289,663,1374,1266,1470,1279,806,415,308,7875
