_CODE_2016,AREA_SQKM,Tot_P_P,Population_Density
5000,10.2519,15115,1474.36085
5005,0.2305,0,0
5006,5.0909,6950,1365.181009
5007,3.6055,7084,1964.776037
5008,6.1854,13681,2211.821386
5009,3.4541,5030,1456.24041
5010,5.8508,5853,1000.376017
5011,5.5261,11712,2119.397043
5012,4.3751,11170,2553.084501
5013,14.5776,9985,684.9549995
5014,6.1186,11767,1923.152355
5015,7.2668,5697,783.9764408
5016,4.8979,8851,1807.101002
5017,9.5023,5025,528.8193385
5018,3.1252,5567,1781.325995
5019,3.9321,9122,2319.879962
5020,1.5622,3112,1992.062476
5021,4.3836,5787,1320.147824
5022,7.7915,15743,2020.535199
5023,7.1329,16572,2323.318706
5024,7.9124,13846,1749.911531
5025,3.9453,8256,2092.616531
5031,5.695,9933,1744.161545
5032,5.702,12710,2229.042441
5033,3.651,8373,2293.344289
5034,4.045,10042,2482.571075
5035,3.0222,6103,2019.389848
5037,4.3684,10786,2469.096237
5038,5.7331,15262,2662.085085
5039,4.6336,8851,1910.177831
5040,1.7647,2504,1418.938063
5041,6.2103,13391,2156.256542
5042,8.6535,10837,1252.325649
5043,8.2392,18780,2279.347509
5044,4.1037,10875,2650.047518
5045,5.7359,15589,2717.794941
5046,4.0234,9086,2258.289009
5047,4.1823,8263,1975.707147
5048,5.8082,14225,2449.123653
5049,9.1543,9764,1066.60258
5050,6.5603,5602,853.9243632
5051,17.6845,14074,795.8381634
5052,16.0248,6369,397.446458
5061,4.0391,9695,2400.287193
5062,16.5077,14917,903.6389079
5063,3.8585,12308,3189.840612
5064,7.8875,9855,1249.445325
5065,4.2878,10202,2379.308736
5066,9.0577,11718,1293.705908
5067,3.9255,10144,2584.12941
5068,5.0515,12184,2411.956845
5069,3.8454,8292,2156.342643
5070,6.2151,14270,2296.020981
5072,14.2129,12666,891.162254
5073,7.5046,15238,2030.487967
5074,5.6525,12943,2289.783282
5075,5.6066,10630,1895.979738
5076,10.6715,9173,859.5792532
5081,4.1957,9279,2211.54992
5082,5.6358,14930,2649.135881
5083,2.8234,7489,2652.475738
5084,4.861,10057,2068.915861
5085,8.501,19974,2349.605929
5086,7.0281,16141,2296.637783
5087,5.0299,11378,2262.072805
5088,1.893,3296,1741.151611
5089,4.3298,6586,1521.086424
5090,5.0538,7887,1560.607859
5091,8.5918,7505,873.5072977
5092,9.4493,17569,1859.291164
5093,4.3878,9012,2053.876658
5094,30.8255,900,29.19660671
5095,11.5079,20525,1783.557382
5096,9.5243,13387,1405.562614
5097,6.991,13565,1940.351881
5098,6.1001,12321,2019.802954
5106,6.6876,201,30.05562534
5107,7.921,17097,2158.439591
5108,18.3572,40609,2212.156538
5109,16.1962,20856,1287.709463
5110,65.6776,8956,136.3630827
5111,18.7439,272,14.5113877
5112,14.8614,19421,1306.808241
5113,12.5056,18890,1510.523286
5114,152.8466,33959,222.1770062
5115,19.7061,10390,527.247908
5116,23.5589,9455,401.3345275
5117,14.0542,2923,207.9805325
5118,166.9375,18411,110.286784
5120,86.1985,1977,22.93543391
5121,32.9719,1673,50.74017573
5125,23.6636,19218,812.1334032
5126,5.8067,7180,1236.502661
5127,4.4199,7763,1756.374579
5131,21.3011,980,46.00701372
5132,19.7554,426,21.56372435
5133,14.1,390,27.65957447
5134,36.5354,431,11.79677792
5136,7.7715,532,68.45525317
5137,8.2627,579,70.07394677
5138,11.9523,294,24.59777616
5139,9.345,236,25.2541466
5140,3.7167,421,113.2725267
5141,13.1923,681,51.62102135
5142,3.4725,575,165.5867531
5144,10.2028,414,40.57709648
5150,1.9558,61,31.18928316
5151,4.0978,369,90.04831861
5152,32.833,6132,186.7633174
5153,176.1433,6428,36.49301449
5154,8.4056,3361,399.8524793
5155,15.0757,3824,253.65323
5156,7.3237,951,129.852397
5157,223.6686,2914,13.02820333
5158,23.8312,24735,1037.925073
5159,37.4231,32934,880.0446783
5160,9.5848,29,3.025623905
5161,7.7053,10154,1317.794246
5162,19.6861,34294,1742.041339
5163,34.6199,14125,408.0023339
5164,3.1934,5289,1656.228471
5165,2.8639,5383,1879.604735
5166,1.8617,1879,1009.292582
5167,4.2534,5705,1341.279917
5168,9.0287,5499,609.0577824
5169,15.2726,17084,1118.60456
5170,6.5506,1152,175.8617531
5171,115.916,5923,51.09734635
5172,170.8569,3932,23.01341064
5173,29.1294,12769,438.3543774
5174,52.345,2917,55.72643041
5201,139.5273,1944,13.93275725
5202,159.1826,868,5.452857285
5203,211.4116,1268,5.997778741
5204,296.6796,2824,9.518686152
5210,90.6108,1718,18.96021225
5211,459.0188,15276,33.27968266
5212,21.2672,2102,98.8376467
5213,35.4559,1156,32.60388257
5214,272.0239,8397,30.86861118
5220,2.8044,149,53.13079447
5221,38.5042,288,7.479703513
5222,385.6595,629,1.630972399
5223,3973.7629,3642,0.916511652
5231,99.4012,1227,12.34391537
5232,42.9974,421,9.791289706
5233,77.5345,1474,19.01089193
5234,43.6525,1298,29.73483764
5235,383.4232,2475,6.455008461
5236,129.8575,302,2.325626167
5237,198.108,357,1.802047368
5238,1487.1244,4084,2.746239656
5240,22.0768,485,21.96876359
5241,26.1921,2527,96.47947282
5242,31.6068,1621,51.28643203
5243,26.981,832,30.83651458
5244,223.481,4263,19.07544713
5245,31.6551,3084,97.42505947
5250,15.1988,3523,231.7946154
5251,102.369,14623,142.8459788
5252,115.3918,6516,56.4684839
5253,874.8933,18489,21.13286272
5254,666.2306,2387,3.582843538
5255,818.4928,9248,11.29881656
5256,180.1769,1355,7.520386909
5259,1808.2586,1110,0.613850253
5260,285.3978,1755,6.149311592
5261,1136.2253,368,0.323879428
5262,486.0558,412,0.847639304
5263,110.6966,137,1.237617054
5264,1613.5263,1250,0.774700728
5265,1080.5249,431,0.398880211
5266,2013.9485,624,0.309839105
5267,3257.9967,1959,0.601289743
5268,1753.5089,3544,2.021090398
5269,286.9141,258,0.899223844
5270,531.5749,608,1.143771085
5271,2810.9238,7428,2.642547621
5272,1923.2811,794,0.412836168
5273,316.5938,111,0.350606992
5275,3123.7221,2412,0.772155756
5276,543.9247,1181,2.171256426
5277,1201.6921,2914,2.424914003
5278,255.9375,521,2.035653236
5279,523.2743,527,1.007119975
5280,1958.323,7370,3.763424113
5290,26.7965,25512,952.0646353
5291,1741.3724,9171,5.266535751
5301,1980.3562,574,0.289846847
5302,4004.2821,852,0.212772222
5303,739.8952,211,0.285175522
5304,1682.473,770,0.457659647
5306,314.7244,76,0.241481118
5307,1073.8818,573,0.533578276
5308,1286.2451,145,0.112731236
5309,1288.1845,157,0.121876952
5310,443.0505,62,0.139938901
5311,3234.6573,418,0.129225436
5320,1820.4802,652,0.358147262
5321,176.2185,548,3.109775648
5322,91.681,1000,10.90738539
5330,1842.3889,3368,1.828061383
5331,83.815,317,3.782139235
5332,292.1294,403,1.379525649
5333,720.6351,5809,8.06094513
5340,679.1132,1432,2.108632257
5341,2497.386,7665,3.069209165
5342,213.2351,1124,5.271177212
5343,202.1922,4846,23.96729449
5344,31.468,984,31.26986145
5345,205.3057,3582,17.4471532
5346,15.3753,380,24.71496491
5350,32.1523,476,14.80453964
5351,284.0785,5864,20.64218165
5352,108.5768,5216,48.03972856
5353,1027.7626,3775,3.673027215
5354,891.7726,367,0.411539893
5355,158.1546,7594,48.01630809
5356,666.0608,810,1.216105196
5357,1117.9594,419,0.374789997
5360,34.4409,1118,32.4614049
5371,112.6509,1268,11.25601305
5372,88.8785,2214,24.9104114
5373,453.1664,3427,7.562343545
5374,1373.3476,1480,1.077658708
5381,652.6147,384,0.588402315
5400,171.4653,877,5.114737501
5401,269.0932,847,3.147608338
5410,88.1949,317,3.594312143
5411,102.5527,324,3.159351241
5412,218.3209,1207,5.528559107
