"","POA_CODE_2016","class","total"
"1","5000","CF_no_children_F",1467
"2","5005","CF_no_children_F",0
"3","5006","CF_no_children_F",816
"4","5007","CF_no_children_F",726
"5","5008","CF_no_children_F",1119
"6","5009","CF_no_children_F",478
"7","5010","CF_no_children_F",382
"8","5011","CF_no_children_F",1077
"9","5012","CF_no_children_F",736
"10","5013","CF_no_children_F",766
"11","5014","CF_no_children_F",1171
"12","5015","CF_no_children_F",628
"13","5016","CF_no_children_F",969
"14","5017","CF_no_children_F",466
"15","5018","CF_no_children_F",763
"16","5019","CF_no_children_F",961
"17","5020","CF_no_children_F",410
"18","5021","CF_no_children_F",925
"19","5022","CF_no_children_F",1745
"20","5023","CF_no_children_F",1584
"21","5024","CF_no_children_F",1621
"22","5025","CF_no_children_F",947
"23","5031","CF_no_children_F",889
"24","5032","CF_no_children_F",1268
"25","5033","CF_no_children_F",734
"26","5034","CF_no_children_F",1025
"27","5035","CF_no_children_F",625
"28","5037","CF_no_children_F",1035
"29","5038","CF_no_children_F",1646
"30","5039","CF_no_children_F",768
"31","5040","CF_no_children_F",314
"32","5041","CF_no_children_F",1186
"33","5042","CF_no_children_F",1101
"34","5043","CF_no_children_F",1849
"35","5044","CF_no_children_F",1202
"36","5045","CF_no_children_F",1935
"37","5046","CF_no_children_F",964
"38","5047","CF_no_children_F",862
"39","5048","CF_no_children_F",1596
"40","5049","CF_no_children_F",1232
"41","5050","CF_no_children_F",691
"42","5051","CF_no_children_F",1552
"43","5052","CF_no_children_F",763
"44","5061","CF_no_children_F",1054
"45","5062","CF_no_children_F",1489
"46","5063","CF_no_children_F",1179
"47","5064","CF_no_children_F",1069
"48","5065","CF_no_children_F",1016
"49","5066","CF_no_children_F",1215
"50","5067","CF_no_children_F",1108
"51","5068","CF_no_children_F",1221
"52","5069","CF_no_children_F",862
"53","5070","CF_no_children_F",1486
"54","5072","CF_no_children_F",1281
"55","5073","CF_no_children_F",1559
"56","5074","CF_no_children_F",1256
"57","5075","CF_no_children_F",1201
"58","5076","CF_no_children_F",996
"59","5081","CF_no_children_F",1024
"60","5082","CF_no_children_F",1339
"61","5083","CF_no_children_F",685
"62","5084","CF_no_children_F",655
"63","5085","CF_no_children_F",1717
"64","5086","CF_no_children_F",1514
"65","5087","CF_no_children_F",1183
"66","5088","CF_no_children_F",331
"67","5089","CF_no_children_F",791
"68","5090","CF_no_children_F",959
"69","5091","CF_no_children_F",921
"70","5092","CF_no_children_F",1947
"71","5093","CF_no_children_F",1018
"72","5094","CF_no_children_F",76
"73","5095","CF_no_children_F",1918
"74","5096","CF_no_children_F",1309
"75","5097","CF_no_children_F",1593
"76","5098","CF_no_children_F",1320
"77","5106","CF_no_children_F",3
"78","5107","CF_no_children_F",1370
"79","5108","CF_no_children_F",3108
"80","5109","CF_no_children_F",2115
"81","5110","CF_no_children_F",799
"82","5111","CF_no_children_F",0
"83","5112","CF_no_children_F",1494
"84","5113","CF_no_children_F",1316
"85","5114","CF_no_children_F",2805
"86","5115","CF_no_children_F",791
"87","5116","CF_no_children_F",989
"88","5117","CF_no_children_F",240
"89","5118","CF_no_children_F",1992
"90","5120","CF_no_children_F",172
"91","5121","CF_no_children_F",218
"92","5125","CF_no_children_F",2000
"93","5126","CF_no_children_F",850
"94","5127","CF_no_children_F",883
"95","5131","CF_no_children_F",132
"96","5132","CF_no_children_F",55
"97","5133","CF_no_children_F",52
"98","5134","CF_no_children_F",58
"99","5136","CF_no_children_F",51
"100","5137","CF_no_children_F",65
"101","5138","CF_no_children_F",40
"102","5139","CF_no_children_F",26
"103","5140","CF_no_children_F",44
"104","5141","CF_no_children_F",80
"105","5142","CF_no_children_F",63
"106","5144","CF_no_children_F",51
"107","5150","CF_no_children_F",10
"108","5151","CF_no_children_F",45
"109","5152","CF_no_children_F",733
"110","5153","CF_no_children_F",717
"111","5154","CF_no_children_F",412
"112","5155","CF_no_children_F",383
"113","5156","CF_no_children_F",116
"114","5157","CF_no_children_F",367
"115","5158","CF_no_children_F",2683
"116","5159","CF_no_children_F",3777
"117","5160","CF_no_children_F",3
"118","5161","CF_no_children_F",1094
"119","5162","CF_no_children_F",3576
"120","5163","CF_no_children_F",1460
"121","5164","CF_no_children_F",436
"122","5165","CF_no_children_F",553
"123","5166","CF_no_children_F",215
"124","5167","CF_no_children_F",636
"125","5168","CF_no_children_F",555
"126","5169","CF_no_children_F",1769
"127","5170","CF_no_children_F",132
"128","5171","CF_no_children_F",773
"129","5172","CF_no_children_F",481
"130","5173","CF_no_children_F",1167
"131","5174","CF_no_children_F",303
"132","5201","CF_no_children_F",250
"133","5202","CF_no_children_F",106
"134","5203","CF_no_children_F",169
"135","5204","CF_no_children_F",524
"136","5210","CF_no_children_F",220
"137","5211","CF_no_children_F",2632
"138","5212","CF_no_children_F",381
"139","5213","CF_no_children_F",159
"140","5214","CF_no_children_F",1454
"141","5220","CF_no_children_F",15
"142","5221","CF_no_children_F",51
"143","5222","CF_no_children_F",97
"144","5223","CF_no_children_F",473
"145","5231","CF_no_children_F",168
"146","5232","CF_no_children_F",58
"147","5233","CF_no_children_F",185
"148","5234","CF_no_children_F",155
"149","5235","CF_no_children_F",362
"150","5236","CF_no_children_F",32
"151","5237","CF_no_children_F",44
"152","5238","CF_no_children_F",638
"153","5240","CF_no_children_F",62
"154","5241","CF_no_children_F",297
"155","5242","CF_no_children_F",192
"156","5243","CF_no_children_F",116
"157","5244","CF_no_children_F",446
"158","5245","CF_no_children_F",376
"159","5250","CF_no_children_F",346
"160","5251","CF_no_children_F",1514
"161","5252","CF_no_children_F",648
"162","5253","CF_no_children_F",2105
"163","5254","CF_no_children_F",296
"164","5255","CF_no_children_F",1180
"165","5256","CF_no_children_F",197
"166","5259","CF_no_children_F",142
"167","5260","CF_no_children_F",243
"168","5261","CF_no_children_F",47
"169","5262","CF_no_children_F",55
"170","5263","CF_no_children_F",15
"171","5264","CF_no_children_F",183
"172","5265","CF_no_children_F",47
"173","5266","CF_no_children_F",83
"174","5267","CF_no_children_F",256
"175","5268","CF_no_children_F",406
"176","5269","CF_no_children_F",25
"177","5270","CF_no_children_F",81
"178","5271","CF_no_children_F",911
"179","5272","CF_no_children_F",129
"180","5273","CF_no_children_F",16
"181","5275","CF_no_children_F",367
"182","5276","CF_no_children_F",174
"183","5277","CF_no_children_F",356
"184","5278","CF_no_children_F",70
"185","5279","CF_no_children_F",80
"186","5280","CF_no_children_F",942
"187","5290","CF_no_children_F",2696
"188","5291","CF_no_children_F",1042
"189","5301","CF_no_children_F",96
"190","5302","CF_no_children_F",117
"191","5303","CF_no_children_F",13
"192","5304","CF_no_children_F",92
"193","5306","CF_no_children_F",5
"194","5307","CF_no_children_F",83
"195","5308","CF_no_children_F",19
"196","5309","CF_no_children_F",18
"197","5310","CF_no_children_F",7
"198","5311","CF_no_children_F",48
"199","5320","CF_no_children_F",106
"200","5321","CF_no_children_F",58
"201","5322","CF_no_children_F",149
"202","5330","CF_no_children_F",460
"203","5331","CF_no_children_F",46
"204","5332","CF_no_children_F",59
"205","5333","CF_no_children_F",733
"206","5340","CF_no_children_F",187
"207","5341","CF_no_children_F",921
"208","5342","CF_no_children_F",161
"209","5343","CF_no_children_F",545
"210","5344","CF_no_children_F",123
"211","5345","CF_no_children_F",433
"212","5346","CF_no_children_F",55
"213","5350","CF_no_children_F",52
"214","5351","CF_no_children_F",696
"215","5352","CF_no_children_F",675
"216","5353","CF_no_children_F",475
"217","5354","CF_no_children_F",43
"218","5355","CF_no_children_F",957
"219","5356","CF_no_children_F",93
"220","5357","CF_no_children_F",62
"221","5360","CF_no_children_F",137
"222","5371","CF_no_children_F",99
"223","5372","CF_no_children_F",239
"224","5373","CF_no_children_F",433
"225","5374","CF_no_children_F",198
"226","5381","CF_no_children_F",43
"227","5400","CF_no_children_F",89
"228","5401","CF_no_children_F",77
"229","5410","CF_no_children_F",32
"230","5411","CF_no_children_F",34
"231","5412","CF_no_children_F",182
"232","5413","CF_no_children_F",122
"233","5414","CF_no_children_F",16
"234","5415","CF_no_children_F",41
"235","5416","CF_no_children_F",26
"236","5417","CF_no_children_F",204
"237","5418","CF_no_children_F",13
"238","5419","CF_no_children_F",33
"239","5420","CF_no_children_F",16
"240","5421","CF_no_children_F",13
"241","5422","CF_no_children_F",207
"242","5431","CF_no_children_F",132
"243","5432","CF_no_children_F",30
"244","5433","CF_no_children_F",180
"245","5434","CF_no_children_F",60
"246","5440","CF_no_children_F",17
"247","5451","CF_no_children_F",111
"248","5452","CF_no_children_F",69
"249","5453","CF_no_children_F",691
"250","5454","CF_no_children_F",60
"251","5455","CF_no_children_F",3
"252","5460","CF_no_children_F",92
"253","5461","CF_no_children_F",297
"254","5462","CF_no_children_F",54
"255","5464","CF_no_children_F",88
"256","5470","CF_no_children_F",19
"257","5471","CF_no_children_F",11
"258","5472","CF_no_children_F",23
"259","5473","CF_no_children_F",115
"260","5480","CF_no_children_F",119
"261","5481","CF_no_children_F",104
"262","5482","CF_no_children_F",61
"263","5483","CF_no_children_F",48
"264","5485","CF_no_children_F",105
"265","5490","CF_no_children_F",20
"266","5491","CF_no_children_F",249
"267","5493","CF_no_children_F",7
"268","5495","CF_no_children_F",116
"269","5501","CF_no_children_F",731
"270","5502","CF_no_children_F",197
"271","5510","CF_no_children_F",20
"272","5520","CF_no_children_F",79
"273","5521","CF_no_children_F",19
"274","5522","CF_no_children_F",241
"275","5523","CF_no_children_F",255
"276","5540","CF_no_children_F",1643
"277","5550","CF_no_children_F",96
"278","5552","CF_no_children_F",42
"279","5554","CF_no_children_F",643
"280","5555","CF_no_children_F",92
"281","5556","CF_no_children_F",638
"282","5558","CF_no_children_F",796
"283","5560","CF_no_children_F",52
"284","5570","CF_no_children_F",93
"285","5571","CF_no_children_F",335
"286","5572","CF_no_children_F",22
"287","5573","CF_no_children_F",285
"288","5575","CF_no_children_F",376
"289","5576","CF_no_children_F",160
"290","5577","CF_no_children_F",78
"291","5580","CF_no_children_F",48
"292","5581","CF_no_children_F",117
"293","5582","CF_no_children_F",117
"294","5583","CF_no_children_F",134
"295","5600","CF_no_children_F",744
"296","5601","CF_no_children_F",62
"297","5602","CF_no_children_F",198
"298","5603","CF_no_children_F",51
"299","5604","CF_no_children_F",43
"300","5605","CF_no_children_F",274
"301","5606","CF_no_children_F",1559
"302","5607","CF_no_children_F",617
"303","5608","CF_no_children_F",1271
"304","5609","CF_no_children_F",206
"305","5630","CF_no_children_F",11
"306","5631","CF_no_children_F",134
"307","5632","CF_no_children_F",33
"308","5633","CF_no_children_F",43
"309","5640","CF_no_children_F",148
"310","5641","CF_no_children_F",137
"311","5642","CF_no_children_F",21
"312","5650","CF_no_children_F",23
"313","5651","CF_no_children_F",6
"314","5652","CF_no_children_F",85
"315","5653","CF_no_children_F",15
"316","5654","CF_no_children_F",32
"317","5655","CF_no_children_F",13
"318","5660","CF_no_children_F",6
"319","5661","CF_no_children_F",22
"320","5670","CF_no_children_F",68
"321","5671","CF_no_children_F",21
"322","5680","CF_no_children_F",286
"323","5690","CF_no_children_F",380
"324","5700","CF_no_children_F",1122
"325","5701","CF_no_children_F",3
"326","5710","CF_no_children_F",241
"327","5713","CF_no_children_F",0
"328","5715","CF_no_children_F",0
"329","5717","CF_no_children_F",0
"330","5719","CF_no_children_F",7
"331","5720","CF_no_children_F",22
"332","5722","CF_no_children_F",30
"333","5723","CF_no_children_F",165
"334","5724","CF_no_children_F",25
"335","5725","CF_no_children_F",305
"336","5730","CF_no_children_F",16
"337","5731","CF_no_children_F",28
"338","5732","CF_no_children_F",25
"339","5733","CF_no_children_F",12
"340","5734","CF_no_children_F",7
"341","5950","CF_no_children_F",0
"342","5960","CF_no_children_F",0
"343","5000","CF_no_children_P",2854
"344","5005","CF_no_children_P",0
"345","5006","CF_no_children_P",1607
"346","5007","CF_no_children_P",1437
"347","5008","CF_no_children_P",2232
"348","5009","CF_no_children_P",929
"349","5010","CF_no_children_P",780
"350","5011","CF_no_children_P",2152
"351","5012","CF_no_children_P",1493
"352","5013","CF_no_children_P",1514
"353","5014","CF_no_children_P",2330
"354","5015","CF_no_children_P",1243
"355","5016","CF_no_children_P",1898
"356","5017","CF_no_children_P",928
"357","5018","CF_no_children_P",1502
"358","5019","CF_no_children_P",1893
"359","5020","CF_no_children_P",807
"360","5021","CF_no_children_P",1827
"361","5022","CF_no_children_P",3440
"362","5023","CF_no_children_P",3154
"363","5024","CF_no_children_P",3214
"364","5025","CF_no_children_P",1880
"365","5031","CF_no_children_P",1766
"366","5032","CF_no_children_P",2507
"367","5033","CF_no_children_P",1479
"368","5034","CF_no_children_P",2011
"369","5035","CF_no_children_P",1228
"370","5037","CF_no_children_P",2041
"371","5038","CF_no_children_P",3263
"372","5039","CF_no_children_P",1517
"373","5040","CF_no_children_P",613
"374","5041","CF_no_children_P",2341
"375","5042","CF_no_children_P",2183
"376","5043","CF_no_children_P",3685
"377","5044","CF_no_children_P",2358
"378","5045","CF_no_children_P",3777
"379","5046","CF_no_children_P",1917
"380","5047","CF_no_children_P",1724
"381","5048","CF_no_children_P",3144
"382","5049","CF_no_children_P",2427
"383","5050","CF_no_children_P",1361
"384","5051","CF_no_children_P",3057
"385","5052","CF_no_children_P",1488
"386","5061","CF_no_children_P",2063
"387","5062","CF_no_children_P",2909
"388","5063","CF_no_children_P",2294
"389","5064","CF_no_children_P",2111
"390","5065","CF_no_children_P",1980
"391","5066","CF_no_children_P",2378
"392","5067","CF_no_children_P",2163
"393","5068","CF_no_children_P",2405
"394","5069","CF_no_children_P",1696
"395","5070","CF_no_children_P",2939
"396","5072","CF_no_children_P",2523
"397","5073","CF_no_children_P",3068
"398","5074","CF_no_children_P",2491
"399","5075","CF_no_children_P",2380
"400","5076","CF_no_children_P",1987
"401","5081","CF_no_children_P",2016
"402","5082","CF_no_children_P",2649
"403","5083","CF_no_children_P",1353
"404","5084","CF_no_children_P",1318
"405","5085","CF_no_children_P",3406
"406","5086","CF_no_children_P",3021
"407","5087","CF_no_children_P",2352
"408","5088","CF_no_children_P",654
"409","5089","CF_no_children_P",1576
"410","5090","CF_no_children_P",1897
"411","5091","CF_no_children_P",1828
"412","5092","CF_no_children_P",3871
"413","5093","CF_no_children_P",2038
"414","5094","CF_no_children_P",153
"415","5095","CF_no_children_P",3805
"416","5096","CF_no_children_P",2623
"417","5097","CF_no_children_P",3156
"418","5098","CF_no_children_P",2633
"419","5106","CF_no_children_P",3
"420","5107","CF_no_children_P",2732
"421","5108","CF_no_children_P",6281
"422","5109","CF_no_children_P",4203
"423","5110","CF_no_children_P",1612
"424","5111","CF_no_children_P",0
"425","5112","CF_no_children_P",2974
"426","5113","CF_no_children_P",2643
"427","5114","CF_no_children_P",5574
"428","5115","CF_no_children_P",1583
"429","5116","CF_no_children_P",1952
"430","5117","CF_no_children_P",468
"431","5118","CF_no_children_P",3934
"432","5120","CF_no_children_P",350
"433","5121","CF_no_children_P",434
"434","5125","CF_no_children_P",3952
"435","5126","CF_no_children_P",1682
"436","5127","CF_no_children_P",1752
"437","5131","CF_no_children_P",259
"438","5132","CF_no_children_P",113
"439","5133","CF_no_children_P",103
"440","5134","CF_no_children_P",113
"441","5136","CF_no_children_P",98
"442","5137","CF_no_children_P",129
"443","5138","CF_no_children_P",72
"444","5139","CF_no_children_P",46
