"","POA_CODE_2016","CF_no_children_F","CF_no_children_P","CF_ChU15_a_Total_F","CF_ChU15_a_Total_P","OPF_ChU15_a_Total_F","OPF_ChU15_a_Total_P"
"1","5000",1467,2854,347,1205,121,288
"2","5005",0,0,0,0,0,0
"3","5006",816,1607,239,879,41,113
"4","5007",726,1437,368,1389,107,283
"5","5008",1119,2232,943,3823,247,678
"6","5009",478,929,374,1473,82,258
"7","5010",382,780,470,1908,142,420
"8","5011",1077,2152,953,3721,216,590
"9","5012",736,1493,919,3794,321,1014
"10","5013",766,1514,645,2634,287,831
"11","5014",1171,2330,758,2975,290,813
"12","5015",628,1243,319,1229,170,453
"13","5016",969,1898,603,2361,198,526
"14","5017",466,928,290,1144,205,609
"15","5018",763,1502,332,1282,89,246
"16","5019",961,1893,559,2183,215,595
"17","5020",410,807,209,848,41,130
"18","5021",925,1827,312,1248,70,186
"19","5022",1745,3440,1187,4664,208,549
"20","5023",1584,3154,1100,4271,419,1233
"21","5024",1621,3214,1033,4113,165,413
"22","5025",947,1880,620,2495,118,322
"23","5031",889,1766,644,2449,167,456
"24","5032",1268,2507,1009,3890,165,439
"25","5033",734,1479,564,2165,138,366
"26","5034",1025,2011,804,3116,119,294
"27","5035",625,1228,473,1758,103,264
"28","5037",1035,2041,805,3095,146,390
"29","5038",1646,3263,1154,4346,235,617
"30","5039",768,1517,703,2723,167,459
"31","5040",314,613,161,648,39,122
"32","5041",1186,2341,1212,4805,195,508
"33","5042",1101,2183,781,3048,175,496
"34","5043",1849,3685,1174,4517,377,1028
"35","5044",1202,2358,781,3049,165,422
"36","5045",1935,3777,940,3584,229,556
"37","5046",964,1917,599,2276,166,389
"38","5047",862,1724,581,2258,182,489
"39","5048",1596,3144,992,3898,247,642
"40","5049",1232,2427,770,2984,183,490
"41","5050",691,1361,405,1608,76,213
"42","5051",1552,3057,1368,5464,193,509
"43","5052",763,1488,542,2148,83,225
"44","5061",1054,2063,757,2978,129,313
"45","5062",1489,2909,1240,5014,195,529
"46","5063",1179,2294,950,3662,185,494
"47","5064",1069,2111,772,3095,113,301
"48","5065",1016,1980,876,3495,146,369
"49","5066",1215,2378,1076,4371,155,415
"50","5067",1108,2163,622,2356,150,377
"51","5068",1221,2405,887,3438,183,477
"52","5069",862,1696,647,2533,111,266
"53","5070",1486,2939,1020,3904,189,503
"54","5072",1281,2523,993,3925,195,552
"55","5073",1559,3068,1242,4931,240,647
"56","5074",1256,2491,1010,3948,227,650
"57","5075",1201,2380,789,3178,182,485
"58","5076",996,1987,739,2954,117,321
"59","5081",1024,2016,655,2634,112,292
"60","5082",1339,2649,1275,4946,179,455
"61","5083",685,1353,667,2537,112,289
"62","5084",655,1318,707,2911,236,789
"63","5085",1717,3406,1766,6864,414,1191
"64","5086",1514,3021,1380,5315,345,969
"65","5087",1183,2352,946,3535,210,575
"66","5088",331,654,242,955,78,224
"67","5089",791,1576,552,2234,103,279
"68","5090",959,1897,496,1985,146,400
"69","5091",921,1828,612,2455,104,283
"70","5092",1947,3871,1426,5654,360,1005
"71","5093",1018,2038,685,2749,215,661
"72","5094",76,153,67,282,19,54
"73","5095",1918,3805,1834,7196,417,1166
"74","5096",1309,2623,1048,4349,333,974
"75","5097",1593,3156,1019,4038,284,793
"76","5098",1320,2633,940,3809,286,863
"77","5106",3,3,0,0,0,0
"78","5107",1370,2732,1469,6104,470,1465
"79","5108",3108,6281,3079,13012,1450,4396
"80","5109",2115,4203,1471,6147,612,1808
"81","5110",799,1612,784,3276,286,901
"82","5111",0,0,0,0,0,0
"83","5112",1494,2974,1159,5023,727,2237
"84","5113",1316,2643,1002,4414,1033,3225
"85","5114",2805,5574,2882,12062,1342,4097
"86","5115",791,1583,902,3724,504,1539
"87","5116",989,1952,686,2760,347,1020
"88","5117",240,468,331,1413,28,82
"89","5118",1992,3934,1366,5597,393,1135
"90","5120",172,350,172,705,33,100
"91","5121",218,434,119,508,30,69
"92","5125",2000,3952,1665,6739,422,1164
"93","5126",850,1682,622,2460,141,399
"94","5127",883,1752,564,2253,180,495
"95","5131",132,259,77,315,10,29
"96","5132",55,113,37,162,4,9
"97","5133",52,103,33,131,0,5
"98","5134",58,113,37,142,9,17
"99","5136",51,98,54,208,7,26
"100","5137",65,129,49,189,7,26
"101","5138",40,72,24,110,0,3
"102","5139",26,46,26,97,0,0
"103","5140",44,79,54,193,10,20
"104","5141",80,152,53,230,7,22
"105","5142",63,130,52,205,3,15
"106","5144",51,112,31,120,4,3
"107","5150",10,18,3,11,0,0
"108","5151",45,81,28,131,0,5
"109","5152",733,1435,588,2375,75,192
"110","5153",717,1409,558,2252,71,187
"111","5154",412,808,310,1306,39,107
"112","5155",383,746,367,1462,83,190
"113","5156",116,227,91,353,16,40
"114","5157",367,734,225,933,34,90
"115","5158",2683,5276,2278,8956,449,1234
"116","5159",3777,7467,2738,10920,550,1567
"117","5160",3,9,0,3,0,0
"118","5161",1094,2191,812,3153,261,732
"119","5162",3576,7115,2526,10061,1023,2878
"120","5163",1460,2902,907,3677,504,1458
"121","5164",436,864,280,1146,229,665
"122","5165",553,1098,290,1147,214,580
"123","5166",215,423,94,373,78,213
"124","5167",636,1261,402,1569,126,355
"125","5168",555,1093,400,1605,172,512
"126","5169",1769,3504,1433,5720,555,1594
"127","5170",132,257,90,351,20,52
"128","5171",773,1535,464,1858,80,220
"129","5172",481,951,326,1341,52,151
"130","5173",1167,2289,1062,4309,480,1342
"131","5174",303,600,227,921,67,189
"132","5201",250,492,152,616,43,117
"133","5202",106,213,74,306,11,30
"134","5203",169,339,70,305,23,63
"135","5204",524,1039,124,499,54,164
"136","5210",220,428,157,626,36,101
"137","5211",2632,5198,771,3117,300,878
"138","5212",381,752,94,365,40,101
"139","5213",159,319,88,347,17,58
"140","5214",1454,2864,383,1571,164,433
"141","5220",15,33,15,56,0,0
"142","5221",51,92,12,63,5,18
"143","5222",97,195,33,116,12,28
"144","5223",473,919,245,984,63,166
"145","5231",168,324,98,403,12,44
"146","5232",58,118,22,101,3,18
"147","5233",185,365,114,450,20,54
"148","5234",155,305,113,472,18,69
"149","5235",362,712,181,730,48,135
"150","5236",32,66,22,80,4,9
"151","5237",44,85,23,83,14,37
"152","5238",638,1263,215,878,87,244
"153","5240",62,124,38,165,4,14
"154","5241",297,596,203,881,47,138
"155","5242",192,384,131,508,25,68
"156","5243",116,220,49,198,15,47
"157","5244",446,877,346,1413,61,161
"158","5245",376,746,225,922,38,94
"159","5250",346,672,349,1432,70,184
"160","5251",1514,2981,1208,4911,360,1052
"161","5252",648,1272,643,2553,141,401
"162","5253",2105,4183,1133,4677,531,1595
"163","5254",296,595,189,783,31,105
"164","5255",1180,2312,713,2939,185,540
"165","5256",197,393,62,244,30,88
"166","5259",142,285,68,284,22,65
"167","5260",243,483,95,399,59,158
"168","5261",47,91,28,121,8,26
"169","5262",55,99,36,142,6,19
"170","5263",15,37,5,29,0,0
"171","5264",183,346,68,281,27,76
"172","5265",47,90,39,158,12,26
"173","5266",83,165,56,242,4,11
"174","5267",256,496,166,715,22,65
"175","5268",406,790,263,1102,44,137
"176","5269",25,53,16,78,4,14
"177","5270",81,161,54,232,0,0
"178","5271",911,1793,596,2473,124,363
"179","5272",129,244,55,233,14,33
