"","POA_CODE_2016","M_0_149_CFNC","M_0_149_CF_C_und15","M_0_149_CFNC_und15","M_0_149_1PF_C_und15","M_0_149_1PFNC_und15","M_0_149_OthF","M_0_149_Tot","M_150_299_CFNC","M_150_299_CF_C_und15","M_150_299_CFNC_und15","M_150_299_1PF_C_und15","M_150_299_1PFNC_und15","M_150_299_OthF","M_150_299_Tot","M_300_449_CFNC","M_300_449_CF_C_und15","M_300_449_CFNC_und15","M_300_449_1PF_C_und15","M_300_449_1PFNC_und15","M_300_449_OthF","M_300_449_Tot","M_450_599_CFNC","M_450_599_CF_C_und15","M_450_599_CFNC_und15","M_450_599_1PF_C_und15","M_450_599_1PFNC_und15","M_450_599_OthF","M_450_599_Tot","M_600_799_CFNC","M_600_799_CF_C_und15","M_600_799_CFNC_und15","M_600_799_1PF_C_und15","M_600_799_1PFNC_und15","M_600_799_OthF","M_600_799_Tot","M_800_999_CFNC","M_800_999_CF_C_und15","M_800_999_CFNC_und15","M_800_999_1PF_C_und15","M_800_999_1PFNC_und15","M_800_999_OthF","M_800_999_Tot","M_1000_1199_CFNC","M_1000_1199_CF_C_und15","M_1000_1199_CFNC_und15","M_1000_1199_1PF_C_und15","M_1000_1199_1PFNC_und15","M_1000_1199_OthF","M_1000_1199_Tot","M_1200_1399_CFNC","M_1200_1399_CF_C_und15","M_1200_1399_CFNC_und15","M_1200_1399_1PF_C_und15","M_1200_1399_1PFNC_und15","M_1200_1399_OthF","M_1200_1399_Tot","M_1400_1599_CFNC","M_1400_1599_CF_C_und15","M_1400_1599_CFNC_und15","M_1400_1599_1PF_C_und15","M_1400_1599_1PFNC_und15","M_1400_1599_OthF","M_1400_1599_Tot","M_1600_1799_CFNC","M_1600_1799_CF_C_und15","M_1600_1799_CFNC_und15","M_1600_1799_1PF_C_und15","M_1600_1799_1PFNC_und15","M_1600_1799_OthF","M_1600_1799_Tot","M_1800_1999_CFNC","M_1800_1999_CF_C_und15","M_1800_1999_CFNC_und15","M_1800_1999_1PF_C_und15","M_1800_1999_1PFNC_und15","M_1800_1999_OthF","M_1800_1999_Tot","M_2000_2199_CFNC","M_2000_2199_CF_C_und15","M_2000_2199_CFNC_und15","M_2000_2199_1PF_C_und15","M_2000_2199_1PFNC_und15","M_2000_2199_OthF","M_2000_2199_Tot","M_2200_2399_CFNC","M_2200_2399_CF_C_und15","M_2200_2399_CFNC_und15","M_2200_2399_1PF_C_und15","M_2200_2399_1PFNC_und15","M_2200_2399_OthF","M_2200_2399_Tot","M_2400_2599_CFNC","M_2400_2599_CF_C_und15","M_2400_2599_CFNC_und15","M_2400_2599_1PF_C_und15","M_2400_2599_1PFNC_und15","M_2400_2599_OthF","M_2400_2599_Tot","M_2600_2999_CFNC","M_2600_2999_CF_C_und15","M_2600_2999_CFNC_und15","M_2600_2999_1PF_C_und15","M_2600_2999_1PFNC_und15","M_2600_2999_OthF","M_2600_2999_Tot","M_3000_3999_CFNC","M_3000_3999_CF_C_und15","M_3000_3999_CFNC_und15","M_3000_3999_1PF_C_und15","M_3000_3999_1PFNC_und15","M_3000_3999_OthF","M_3000_3999_Tot","M_4000_4999_CFNC","M_4000_4999_CF_C_und15","M_4000_4999_CFNC_und15","M_4000_4999_1PF_C_und15","M_4000_4999_1PFNC_und15","M_4000_4999_OthF","M_4000_4999_Tot","M_5000over_CFNC","M_5000over_CF_C_und15","M_5000over_CFNC_und15","M_5000over_1PF_C_und15","M_5000over_1PFNC_und15","M_5000over_OthF","M_5000over_Tot","M_NS_CFNC","M_NS_CF_C_und15","M_NS_CFNC_und15","M_NS_1PF_C_und15","M_NS_1PFNC_und15","M_NS_OthF","M_NS_Tot","Tot_CFNC","Tot_CF_C_und15","Tot_CFNC_und15","Tot_1PF_C_und15","Tot_1PFNC_und15","Tot_OthF","Tot_Tot"
"1","5000",24,4,0,0,6,3,33,0,0,3,0,0,0,3,3,0,0,0,0,0,3,4,0,0,0,0,0,4,10,7,3,0,3,0,19,7,3,0,3,0,0,18,17,7,0,0,0,0,26,31,5,3,6,3,0,42,24,8,0,4,3,3,41,27,18,0,0,0,4,43,21,6,3,0,4,0,31,42,15,9,0,3,3,77,11,7,0,0,3,0,26,9,3,0,3,0,0,17,30,13,8,0,3,4,52,36,3,3,3,3,0,50,12,4,0,0,0,0,18,13,8,5,0,0,0,25,0,7,5,0,0,0,15,326,105,42,24,35,18,549
"2","5005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","5006",10,3,5,0,0,0,28,3,0,0,0,0,0,4,3,0,0,0,0,0,4,3,0,0,0,0,0,3,10,3,3,0,0,0,14,5,0,4,0,0,0,8,4,3,0,0,0,0,12,5,4,3,0,0,0,14,7,8,0,0,0,0,11,11,0,7,0,0,0,18,9,0,0,0,0,0,7,12,5,3,0,0,0,25,3,0,0,0,0,0,13,3,5,3,0,0,0,14,10,0,3,0,3,0,12,19,11,3,0,0,0,31,11,6,9,0,0,0,31,12,15,9,3,3,0,46,7,7,3,0,0,0,15,157,78,54,11,18,3,319
"4","5007",3,3,5,3,3,0,16,0,3,0,0,0,0,5,3,8,3,0,0,0,14,5,3,0,0,0,0,13,8,5,9,0,0,0,27,12,3,6,0,8,0,26,12,14,5,4,3,0,36,14,22,0,0,0,0,40,24,16,0,3,0,0,47,21,15,5,4,0,3,49,16,17,0,3,0,0,41,25,19,7,3,3,0,56,14,11,3,0,3,0,25,10,9,0,0,3,0,21,19,24,4,3,0,3,51,14,19,4,0,0,0,39,5,10,0,0,0,0,17,6,0,0,0,0,0,11,4,0,9,0,0,0,17,209,201,69,36,36,10,552
"5","5008",9,11,10,0,10,0,48,8,6,4,0,0,0,14,7,11,12,0,4,0,32,3,19,6,0,3,0,31,10,18,11,7,10,0,56,15,20,19,0,13,0,70,27,28,17,6,7,7,91,28,60,9,4,4,0,102,31,42,7,6,9,0,92,31,52,16,7,9,3,116,19,39,11,5,0,0,80,42,67,20,3,7,0,136,19,33,0,0,3,0,58,9,19,3,0,3,0,34,25,50,7,0,3,3,81,24,40,9,3,6,0,76,9,10,0,0,0,0,19,3,3,0,0,0,0,5,10,9,9,7,12,3,51,339,514,168,63,109,15,1205
"6","5009",4,14,7,0,0,0,24,5,0,3,0,3,0,8,5,3,4,0,3,0,22,0,3,3,0,3,0,12,3,3,3,8,7,0,22,15,3,3,0,3,0,26,15,8,9,0,4,3,35,11,21,14,0,4,0,45,7,15,6,3,0,0,32,14,22,5,3,5,0,44,12,20,0,0,0,0,35,11,26,7,3,0,0,50,7,18,3,0,0,0,33,3,11,0,0,0,0,15,13,17,3,0,5,0,45,6,11,0,0,0,0,23,0,4,4,0,0,0,4,7,4,0,0,0,0,10,3,8,3,4,0,0,18,146,206,77,25,40,8,509
"7","5010",5,7,4,3,0,0,28,0,0,3,0,0,0,7,0,3,3,0,0,0,12,7,0,3,0,0,0,7,8,10,3,0,4,0,20,6,10,3,0,4,0,33,9,21,12,8,8,0,54,19,30,5,4,0,3,59,17,27,11,3,0,0,67,8,37,5,3,3,0,59,9,31,4,3,0,0,42,15,36,16,11,0,0,81,5,11,3,0,0,0,29,0,11,4,3,0,0,19,4,17,0,0,0,0,18,9,11,4,0,0,0,20,6,4,0,0,0,0,14,0,4,0,0,0,0,3,0,12,3,0,3,0,16,131,268,99,41,35,14,584
"8","5011",7,7,11,0,5,0,37,3,3,5,0,0,0,15,12,8,13,0,3,0,30,14,5,7,0,0,0,32,12,14,8,0,7,3,49,20,23,10,4,0,0,58,18,23,17,7,6,0,75,31,31,12,5,6,0,86,29,45,14,14,9,0,113,35,55,20,3,7,3,119,24,47,17,5,0,0,91,53,81,17,4,4,0,162,23,30,7,0,0,0,62,13,24,10,7,0,0,56,37,51,20,0,3,0,115,44,65,22,3,4,0,132,8,12,7,3,3,0,30,9,13,4,0,0,0,29,12,17,7,0,3,0,34,400,563,213,57,71,16,1326
"9","5012",10,17,11,7,5,5,45,3,0,0,0,0,0,3,4,3,7,0,0,0,19,3,10,8,3,4,0,24,7,14,9,5,10,0,37,17,15,10,8,7,3,62,16,24,12,3,11,0,66,30,48,14,8,4,3,106,23,54,15,8,3,3,106,29,57,26,7,10,4,128,23,48,13,11,3,3,96,24,62,15,0,8,0,108,8,18,9,3,0,3,39,6,11,0,3,0,0,18,7,29,10,0,0,0,51,11,22,3,0,0,0,31,3,6,0,0,0,0,6,0,0,0,0,0,0,4,8,18,10,0,5,3,41,230,450,164,68,63,27,998
"10","5013",12,8,8,3,12,0,46,3,6,0,0,3,0,9,4,3,9,4,3,0,28,7,3,11,5,8,0,40,8,9,12,7,13,0,50,15,18,19,10,17,0,76,31,32,11,10,9,3,88,32,47,14,18,14,3,136,30,29,4,20,11,5,104,39,42,17,10,14,3,127,26,38,9,8,9,3,96,31,44,13,4,3,0,104,9,19,3,3,3,0,44,7,13,0,0,0,0,17,4,12,0,0,4,0,27,0,17,3,0,0,0,28,3,3,4,0,0,0,9,3,3,0,0,0,0,3,15,8,9,4,3,3,45,288,380,151,103,134,18,1079
