"","POA_CODE_2016","class","total"
"1",5005,"kids",0
"2",5950,"kids",0
"3",5960,"kids",0
"4",5005,"teenagers",0
"5",5950,"teenagers",0
"6",5960,"teenagers",0
"7",5000,"adults",15097
"8",5005,"adults",0
"9",5006,"adults",4157
"10",5007,"adults",4116
"11",5008,"adults",7051
"12",5009,"adults",2456
"13",5010,"adults",2910
"14",5011,"adults",6107
"15",5012,"adults",5750
"16",5013,"adults",4819
"17",5014,"adults",5625
"18",5015,"adults",2885
"19",5016,"adults",3980
"20",5017,"adults",2223
"21",5018,"adults",2245
"22",5019,"adults",4056
"23",5022,"adults",6775
"24",5023,"adults",7856
"25",5024,"adults",5980
"26",5025,"adults",3673
"27",5031,"adults",5617
"28",5032,"adults",6344
"29",5033,"adults",4551
"30",5034,"adults",4809
"31",5035,"adults",3254
"32",5037,"adults",5416
"33",5038,"adults",8153
"34",5039,"adults",4420
"35",5040,"adults",916
"36",5041,"adults",5894
"37",5042,"adults",5797
"38",5043,"adults",9015
"39",5044,"adults",4413
"40",5045,"adults",7511
"41",5046,"adults",4228
"42",5047,"adults",4003
"43",5048,"adults",5712
"44",5049,"adults",4151
"45",5050,"adults",2185
"46",5051,"adults",5955
"47",5052,"adults",2530
"48",5061,"adults",4361
"49",5062,"adults",6167
"50",5063,"adults",5891
"51",5065,"adults",4268
"52",5066,"adults",4609
"53",5067,"adults",5122
"54",5068,"adults",5225
"55",5069,"adults",4058
"56",5070,"adults",6801
"57",5072,"adults",5605
"58",5073,"adults",6936
"59",5074,"adults",5954
"60",5075,"adults",4613
"61",5076,"adults",4080
"62",5081,"adults",4165
"63",5082,"adults",7591
"64",5083,"adults",3769
"65",5084,"adults",5433
"66",5085,"adults",10992
"67",5086,"adults",8273
"68",5087,"adults",5947
"69",5088,"adults",1624
"70",5089,"adults",2905
"71",5091,"adults",3245
"72",5092,"adults",8161
"73",5093,"adults",4058
"74",5094,"adults",435
"75",5095,"adults",11520
"76",5096,"adults",6275
"77",5097,"adults",5875
"78",5098,"adults",5423
"79",5106,"adults",173
"80",5107,"adults",8304
"81",5108,"adults",19759
"82",5109,"adults",9372
"83",5110,"adults",4360
"84",5111,"adults",247
"85",5112,"adults",8864
"86",5113,"adults",8575
"87",5114,"adults",16580
"88",5115,"adults",5409
"89",5116,"adults",3997
"90",5117,"adults",1360
"91",5118,"adults",7945
"92",5120,"adults",914
"93",5121,"adults",702
"94",5125,"adults",8796
"95",5126,"adults",3232
"96",5127,"adults",3513
"97",5131,"adults",399
"98",5132,"adults",170
"99",5133,"adults",158
"100",5134,"adults",161
"101",5136,"adults",223
"102",5137,"adults",226
"103",5138,"adults",112
"104",5139,"adults",82
"105",5140,"adults",193
"106",5141,"adults",280
"107",5142,"adults",221
"108",5151,"adults",164
"109",5152,"adults",2386
"110",5153,"adults",2682
"111",5154,"adults",1220
"112",5155,"adults",1688
"113",5156,"adults",402
"114",5157,"adults",1150
"115",5158,"adults",11484
"116",5159,"adults",14205
"117",5161,"adults",4612
"118",5162,"adults",15446
"119",5163,"adults",6232
"120",5164,"adults",2272
"121",5165,"adults",2425
"122",5166,"adults",794
"123",5167,"adults",2492
"124",5168,"adults",2579
"125",5169,"adults",7906
"126",5170,"adults",508
"127",5171,"adults",2246
"128",5172,"adults",1604
"129",5173,"adults",5656
"130",5174,"adults",1339
"131",5201,"adults",868
"132",5202,"adults",364
"133",5210,"adults",714
"134",5220,"adults",70
"135",5223,"adults",1529
"136",5231,"adults",515
"137",5232,"adults",182
"138",5233,"adults",586
"139",5234,"adults",549
"140",5235,"adults",948
"141",5236,"adults",144
"142",5237,"adults",148
"143",5240,"adults",195
"144",5241,"adults",1076
"145",5242,"adults",660
"146",5243,"adults",352
"147",5244,"adults",1770
"148",5250,"adults",1516
"149",5251,"adults",6505
"150",5252,"adults",3133
"151",5253,"adults",8328
"152",5254,"adults",1037
"153",5255,"adults",3560
"154",5259,"adults",452
"155",5261,"adults",151
"156",5262,"adults",174
"157",5263,"adults",53
"158",5265,"adults",195
"159",5266,"adults",267
"160",5267,"adults",779
"161",5268,"adults",1571
"162",5269,"adults",101
"163",5270,"adults",257
"164",5271,"adults",3298
"165",5272,"adults",305
"166",5273,"adults",50
"167",5277,"adults",1239
"168",5278,"adults",219
"169",5280,"adults",2783
"170",5290,"adults",10829
"171",5291,"adults",4022
"172",5302,"adults",316
"173",5303,"adults",115
"174",5304,"adults",385
"175",5308,"adults",68
"176",5309,"adults",60
"177",5310,"adults",30
"178",5311,"adults",175
"179",5321,"adults",303
"180",5322,"adults",406
"181",5333,"adults",2297
"182",5340,"adults",845
"183",5341,"adults",3278
"184",5342,"adults",441
"185",5343,"adults",2042
"186",5344,"adults",432
"187",5350,"adults",196
"188",5351,"adults",2514
"189",5352,"adults",2123
"190",5353,"adults",1526
"191",5355,"adults",2954
"192",5356,"adults",363
"193",5360,"adults",477
"194",5371,"adults",594
"195",5372,"adults",1031
"196",5373,"adults",1341
"197",5400,"adults",500
"198",5401,"adults",324
"199",5410,"adults",132
"200",5411,"adults",126
"201",5416,"adults",91
"202",5418,"adults",44
"203",5420,"adults",32
"204",5421,"adults",66
"205",5440,"adults",193
"206",5452,"adults",169
"207",5453,"adults",1978
"208",5454,"adults",147
"209",5455,"adults",27
"210",5460,"adults",291
"211",5461,"adults",994
"212",5462,"adults",201
"213",5464,"adults",241
"214",5471,"adults",34
"215",5490,"adults",68
"216",5491,"adults",725
"217",5493,"adults",30
"218",5501,"adults",3397
"219",5502,"adults",671
"220",5510,"adults",44
"221",5540,"adults",6468
"222",5550,"adults",410
"223",5552,"adults",162
"224",5554,"adults",2054
"225",5560,"adults",160
"226",5572,"adults",59
"227",5600,"adults",2713
"228",5603,"adults",255
"229",5606,"adults",6022
"230",5607,"adults",2092
"231",5608,"adults",6097
"232",5609,"adults",924
"233",5630,"adults",60
"234",5631,"adults",427
"235",5632,"adults",122
"236",5633,"adults",139
"237",5640,"adults",495
"238",5641,"adults",442
"239",5642,"adults",117
"240",5650,"adults",77
"241",5651,"adults",41
"242",5652,"adults",332
"243",5653,"adults",29
"244",5654,"adults",94
"245",5655,"adults",38
"246",5660,"adults",27
"247",5661,"adults",56
"248",5671,"adults",84
"249",5680,"adults",1027
"250",5690,"adults",1849
"251",5700,"adults",5040
"252",5710,"adults",1455
"253",5713,"adults",18
"254",5715,"adults",25
"255",5717,"adults",21
"256",5720,"adults",208
"257",5723,"adults",1470
"258",5724,"adults",284
"259",5725,"adults",2978
"260",5731,"adults",740
"261",5732,"adults",234
"262",5733,"adults",248
"263",5734,"adults",124
"264",5950,"adults",0
"265",5960,"adults",0
"266",5005,"seniors",0
"267",5020,"seniors",1225
"268",5021,"seniors",2722
"269",5064,"seniors",3840
"270",5090,"seniors",3200
"271",5144,"seniors",164
"272",5150,"seniors",31
"273",5160,"seniors",12
"274",5203,"seniors",587
"275",5204,"seniors",1554
"276",5211,"seniors",7743
"277",5212,"seniors",1168
"278",5213,"seniors",441
"279",5214,"seniors",4376
"280",5221,"seniors",152
"281",5222,"seniors",324
"282",5238,"seniors",1954
"283",5245,"seniors",1331
"284",5256,"seniors",615
"285",5260,"seniors",711
"286",5264,"seniors",542
"287",5275,"seniors",1004
"288",5276,"seniors",530
"289",5279,"seniors",202
"290",5301,"seniors",213
"291",5306,"seniors",26
"292",5307,"seniors",249
"293",5320,"seniors",328
"294",5330,"seniors",1333
"295",5331,"seniors",135
"296",5332,"seniors",159
"297",5345,"seniors",1467
"298",5346,"seniors",140
"299",5354,"seniors",170
"300",5357,"seniors",202
"301",5374,"seniors",575
"302",5381,"seniors",169
"303",5412,"seniors",541
"304",5413,"seniors",318
"305",5414,"seniors",65
"306",5415,"seniors",104
"307",5417,"seniors",668
"308",5419,"seniors",89
"309",5422,"seniors",824
"310",5431,"seniors",413
"311",5432,"seniors",77
"312",5433,"seniors",533
"313",5434,"seniors",460
"314",5451,"seniors",298
"315",5470,"seniors",51
"316",5472,"seniors",79
"317",5473,"seniors",300
"318",5480,"seniors",350
"319",5481,"seniors",285
"320",5482,"seniors",218
"321",5483,"seniors",153
"322",5485,"seniors",241
"323",5493,"seniors",30
"324",5495,"seniors",353
"325",5520,"seniors",229
"326",5521,"seniors",60
"327",5522,"seniors",844
"328",5523,"seniors",734
"329",5555,"seniors",220
"330",5556,"seniors",1904
"331",5558,"seniors",2296
"332",5570,"seniors",328
"333",5571,"seniors",1006
"334",5573,"seniors",838
"335",5575,"seniors",1118
"336",5576,"seniors",473
"337",5577,"seniors",237
"338",5580,"seniors",155
"339",5581,"seniors",353
"340",5582,"seniors",376
"341",5583,"seniors",446
"342",5601,"seniors",182
"343",5602,"seniors",628
"344",5604,"seniors",139
"345",5605,"seniors",869
"346",5670,"seniors",213
"347",5701,"seniors",14
"348",5719,"seniors",37
"349",5722,"seniors",138
"350",5730,"seniors",96
"351",5950,"seniors",0
"352",5960,"seniors",0
