POA_CODE_2016,kids,adults,seniors
5000,999,1231,15097
5005,0,0,0
5006,685,688,4157
5007,785,311,4116
5008,2151,774,7051
5009,827,307,2456
5010,1066,398,2910
5011,2021,678,6107
5012,2228,757,5750
5013,1625,646,4819
5014,1790,643,5625
5015,792,298,2885
5016,1365,508,3980
5017,866,312,2223
5018,723,316,2245
5019,1359,486,4056
5020,498,150,1210
5021,661,279,1978
5022,2478,952,6775
5023,2564,972,7856
5024,2112,834,5980
5025,1313,471,3673
5031,1315,523,5617
5032,1962,684,6344
5033,1187,415,4551
5034,1596,595,4809
5035,940,290,3254
5037,1614,587,5416
5038,2278,729,8153
5039,1531,446,4420
5040,363,296,916
5041,2489,875,5894
5042,1679,739,5797
5043,2598,1096,9015
5044,1634,714,4413
5045,1996,724,7511
5046,1228,486,4228
5047,1304,485,4003
5048,2169,749,5712
5049,1634,544,4151
5050,865,382,2185
5051,2796,932,5955
5052,1072,435,2530
5061,1574,644,4361
5062,2618,1078,6167
5063,1978,709,5891
5064,1611,819,3646
5065,1818,632,4268
5066,2213,913,4609
5067,1326,611,5122
5068,1834,910,5225
5069,1326,501,4058
5070,2054,699,6801
5072,2092,871,5605
5073,2560,983,6936
5074,2165,719,5954
5075,1741,616,4613
5076,1487,630,4080
5081,1430,605,4165
5082,2496,817,7591
5083,1303,374,3769
5084,1816,598,5433
5085,3705,1037,10992
5086,2914,908,8273
5087,1857,548,5947
5088,568,151,1624
5089,1181,439,2905
5090,1116,401,2998
5091,1276,500,3245
5092,3088,1026,8161
5093,1582,560,4058
5094,157,92,435
5095,3898,1265,11520
5096,2568,848,6275
5097,2286,788,5875
5098,2206,664,5423
5106,0,36,173
5107,3537,1139,8304
5108,8445,2666,19759
5109,3828,1325,9372
5110,2027,532,4360
5111,0,36,247
5112,3803,1316,8864
5113,4298,1221,8575
5114,8191,2417,16580
5115,2829,643,5409
5116,1906,646,3997
5117,711,226,1360
5118,3296,1254,7945
5120,418,93,914
5121,266,79,702
5125,3687,1419,8796
5126,1381,423,3232
5127,1278,577,3513
5131,158,71,399
5132,80,22,170
5133,68,34,158
5134,73,31,161
5136,107,34,223
5137,102,40,226
5138,51,17,112
5139,44,14,82
5140,94,41,193
5141,140,51,280
5142,108,21,221
5144,52,24,156
5150,6,0,26
5151,63,31,164
5152,1263,368,2386
5153,1157,489,2682
