POA_CODE_2016,Couples,Families,Single Parents
5000,2854,1205,288
5005,0,0,0
5006,1607,879,113
5007,1437,1389,283
5008,2232,3823,678
5009,929,1473,258
5010,780,1908,420
5011,2152,3721,590
5012,1493,3794,1014
5013,1514,2634,831
5014,2330,2975,813
5015,1243,1229,453
5016,1898,2361,526
5017,928,1144,609
5018,1502,1282,246
5019,1893,2183,595
5020,807,848,130
5021,1827,1248,186
5022,3440,4664,549
5023,3154,4271,1233
5024,3214,4113,413
5025,1880,2495,322
5031,1766,2449,456
5032,2507,3890,439
5033,1479,2165,366
5034,2011,3116,294
5035,1228,1758,264
5037,2041,3095,390
5038,3263,4346,617
5039,1517,2723,459
5040,613,648,122
5041,2341,4805,508
5042,2183,3048,496
5043,3685,4517,1028
5044,2358,3049,422
5045,3777,3584,556
5046,1917,2276,389
5047,1724,2258,489
5048,3144,3898,642
5049,2427,2984,490
5050,1361,1608,213
5051,3057,5464,509
5052,1488,2148,225
5061,2063,2978,313
5062,2909,5014,529
5063,2294,3662,494
5064,2111,3095,301
5065,1980,3495,369
5066,2378,4371,415
5067,2163,2356,377
5068,2405,3438,477
5069,1696,2533,266
5070,2939,3904,503
5072,2523,3925,552
5073,3068,4931,647
5074,2491,3948,650
5075,2380,3178,485
5076,1987,2954,321
5081,2016,2634,292
5082,2649,4946,455
5083,1353,2537,289
5084,1318,2911,789
5085,3406,6864,1191
5086,3021,5315,969
5087,2352,3535,575
5088,654,955,224
5089,1576,2234,279
5090,1897,1985,400
5091,1828,2455,283
5092,3871,5654,1005
5093,2038,2749,661
5094,153,282,54
5095,3805,7196,1166
5096,2623,4349,974
5097,3156,4038,793
5098,2633,3809,863
5106,3,0,0
5107,2732,6104,1465
5108,6281,13012,4396
5109,4203,6147,1808
5110,1612,3276,901
5111,0,0,0
5112,2974,5023,2237
5113,2643,4414,3225
5114,5574,12062,4097
5115,1583,3724,1539
5116,1952,2760,1020
5117,468,1413,82
5118,3934,5597,1135
5120,350,705,100
5121,434,508,69
5125,3952,6739,1164
5126,1682,2460,399
5127,1752,2253,495
5131,259,315,29
5132,113,162,9
5133,103,131,5
5134,113,142,17
5136,98,208,26
5137,129,189,26
5138,72,110,3
5139,46,97,0
5140,79,193,20
5141,152,230,22
5142,130,205,15
5144,112,120,3
5150,18,11,0
5151,81,131,5
5152,1435,2375,192
5153,1409,2252,187
5154,808,1306,107
5155,746,1462,190
5156,227,353,40
5157,734,933,90
5158,5276,8956,1234
5159,7467,10920,1567
5160,9,3,0
5161,2191,3153,732
5162,7115,10061,2878
5163,2902,3677,1458
5164,864,1146,665
5165,1098,1147,580
5166,423,373,213
5167,1261,1569,355
5168,1093,1605,512
5169,3504,5720,1594
5170,257,351,52
5171,1535,1858,220
5172,951,1341,151
5173,2289,4309,1342
5174,600,921,189
5201,492,616,117
5202,213,306,30
5203,339,305,63
5204,1039,499,164
5210,428,626,101
5211,5198,3117,878
5212,752,365,101
5213,319,347,58
5214,2864,1571,433
5220,33,56,0
5221,92,63,18
5222,195,116,28
5223,919,984,166
5231,324,403,44
5232,118,101,18
5233,365,450,54
5234,305,472,69
5235,712,730,135
5236,66,80,9
5237,85,83,37
5238,1263,878,244
5240,124,165,14
5241,596,881,138
5242,384,508,68
5243,220,198,47
5244,877,1413,161
5245,746,922,94
5250,672,1432,184
5251,2981,4911,1052
5252,1272,2553,401
5253,4183,4677,1595
5254,595,783,105
5255,2312,2939,540
5256,393,244,88
5259,285,284,65
5260,483,399,158
5261,91,121,26
5262,99,142,19
5263,37,29,0
5264,346,281,76
5265,90,158,26
5266,165,242,11
5267,496,715,65
5268,790,1102,137
5269,53,78,14
5270,161,232,0
5271,1793,2473,363
5272,244,233,33
5273,27,55,0
5275,723,644,94
5276,350,269,28
5277,692,927,164
5278,144,129,46
5279,153,143,42
5280,1844,2064,393
5290,5313,7518,2198
5291,2060,3291,311
5301,182,186,28
5302,224,260,21
5303,30,78,0
5304,178,217,27
5306,16,18,10
5307,165,150,35
5308,43,58,3
5309,34,41,3
5310,14,16,0
5311,100,144,8
5320,207,76,53
5321,117,50,17
5322,297,247,44
5330,901,962,222
5331,97,108,15
5332,116,98,48
5333,1455,1698,382
5340,374,392,60
5341,1814,2059,562
5342,309,306,83
5343,1076,1239,466
5344,252,306,50
5345,860,912,262
5346,101,104,22
5350,100,179,26
5351,1386,2111,287
5352,1317,1524,262
5353,939,1085,216
5354,82,54,10
5355,1886,2513,400
5356,187,250,28
5357,121,86,25
5360,263,462,34
5371,197,548,44
5372,457,936,148
5373,860,1000,252
5374,381,440,72
5381,84,109,15
5400,177,341,15
5401,154,264,64
5410,56,80,10
5411,73,126,15
5412,357,233,116
5413,236,234,41
5414,32,33,4
5415,77,67,0
5416,52,77,16
5417,406,424,59
5418,28,25,5
5419,70,66,6
5420,33,30,0
5421,32,23,5
5422,406,293,175
5431,257,237,33
5432,61,34,0
5433,347,279,81
5434,121,104,8
5440,36,61,3
5451,218,179,17
5452,135,166,13
5453,1355,1477,301
5454,120,118,30
5455,9,30,0
5460,176,217,58
5461,586,794,141
5462,96,220,19
5464,168,225,26
5470,33,27,3
5471,22,33,6
5472,43,38,10
5473,231,204,58
5480,236,253,6
5481,208,131,21
5482,122,153,3
5483,88,117,4
5485,194,159,24
5490,42,51,6
5491,474,552,60
5493,21,12,6
5495,222,78,15
5501,1466,2473,419
5502,394,508,58
5510,34,33,3
5520,160,134,53
5521,36,51,6
5522,484,271,47
5523,506,557,119
5540,3256,3871,1407
5550,201,294,75
5552,91,126,10
5554,1262,1434,421
5555,177,110,14
5556,1249,805,292
5558,1576,1002,280
5560,97,143,29
5570,183,66,21
5571,659,377,61
5572,45,39,10
5573,567,556,108
5575,734,531,89
5576,308,270,58
5577,163,111,14
5580,95,112,9
5581,234,73,9
5582,230,87,39
5583,259,167,21
5600,1467,1801,299
5601,132,121,19
5602,392,371,43
5603,103,147,28
5604,83,22,10
5605,536,400,74
5606,3040,4026,1036
5607,1207,1676,195
5608,2510,3158,1692
5609,398,773,177
5630,22,55,7
5631,262,393,50
5632,57,121,5
5633,83,106,3
5640,288,308,41
5641,268,402,35
5642,43,112,5
5650,43,69,4
5651,7,33,0
5652,171,271,43
5653,22,37,0
5654,56,81,7
5655,27,49,0
5660,11,20,0
5661,41,57,5
5670,134,175,15
5671,40,45,3
5680,552,647,80
5690,756,1125,340
5700,2204,2701,1173
5701,6,0,4
5710,475,773,167
5713,0,5,0
5715,3,19,4
5717,3,3,0
5719,13,6,0
5720,50,18,4
5722,57,64,15
5723,335,360,122
5724,56,106,51
5725,585,1778,176
5730,28,18,3
5731,49,84,26
5732,43,33,13
5733,22,41,23
5734,21,49,23
5950,0,0,0
5960,0,0,0
