POA_CODE_2016,AUD 1-500,AUD 500-1249,AUD 1250-2499,AUD 2500-6000
5000,48425,422800,1286625,2466000
5005,0,0,0,0
5006,18200,191525,696125,2456750
5007,35550,348775,947250,1407250
5008,90400,892175,1914625,2159500
5009,30725,316125,868375,792000
5010,49500,452475,782875,570250
5011,54325,687075,2045000,2373500
5012,99625,857225,1542750,874000
5013,75200,731100,1471500,969000
5014,68750,824175,2009500,1882750
5015,32800,391625,919000,972750
5016,37000,500200,1530875,2040250
5017,42150,427225,776000,496250
5018,20775,385350,1067125,1413750
5019,52325,513375,1428750,2123250
5020,6525,200825,523375,979000
5021,30450,420500,949625,1800750
5022,48950,779650,2293750,5535750
5023,120125,1221575,2725375,2256500
5024,61775,901675,2271000,3878750
5025,43100,579775,1368375,2050000
5031,54025,494975,1423625,2222000
5032,55650,794850,2103875,2938000
5033,45350,512600,1354750,1115000
5034,24350,380675,1338875,4138250
5035,24875,346875,928125,1408000
5037,43700,662475,1657750,1960500
5038,76975,975175,2688750,2553250
5039,40150,496025,1433125,1909750
5040,10875,157750,392125,686000
5041,41025,615850,1971625,4884250
5042,55275,757875,1679375,1528000
5043,102800,1340300,2932000,2472000
5044,31225,579400,1626000,3660000
5045,60850,734375,2320000,4889500
5046,52150,568725,1545250,1537250
5047,41200,585075,1416375,1333500
5048,55250,835975,2129875,3858000
5049,47150,584975,1749000,2917500
5050,22425,322775,942875,1656250
5051,34575,675950,2566625,5179500
5052,12375,293200,1135375,2505750
5061,28575,332975,1156250,4970250
5062,41150,584800,1989750,6704250
5063,33900,473300,1606125,4576500
5064,34900,399825,1224750,4403500
5065,29125,442925,1292750,4136250
5066,35925,416900,1472125,6203250
5067,30150,399075,1273750,3713500
5068,50325,570900,1549750,4353500
5069,29300,328925,1010250,3629500
5070,64625,881025,2043625,3457000
5072,53975,700800,1782500,3963000
5073,72300,1030675,2496250,3637750
5074,80750,916350,2251500,2015750
5075,54025,762650,1845500,2162500
5076,35875,535950,1756750,2693250
5081,29975,342400,1196875,3933000
5082,49225,680850,2112875,4854750
5083,24175,401200,1203000,2046500
5084,78750,728450,1123000,788500
5085,104875,1186400,3229250,3395750
5086,92625,1114700,2782625,2709750
5087,66225,806575,1915625,1885000
5088,15775,281000,624250,334500
5089,20450,406975,1281250,2043250
5090,36575,614375,1377625,1054750
5091,25525,549075,1509000,1741500
5092,82425,1320425,3533000,2747750
5093,58550,755850,1733500,1071000
5094,9175,84575,133125,44250
5095,101050,1219775,3642500,3946250
5096,83300,1007100,2461875,1844750
5097,56525,973450,2832375,2420000
5098,82225,1012100,2180375,1514500
5106,0,0,0,0
5107,114000,1429925,2976375,1478000
5108,341500,3419700,6539000,2761000
5109,137400,1686925,3653250,2513500
5110,70075,683625,1527375,880000
5111,0,0,0,0
5112,173525,1638750,2330250,1331000
5113,229625,1807625,1822000,460500
5114,205350,2491450,6290125,3886500
5115,74850,769275,1939375,804500
5116,61650,779575,1555875,1345250
5117,7350,156025,604625,724750
5118,90875,1213050,3318625,3529250
5120,9450,126800,347625,295250
5121,9175,143675,288500,189500
5125,68525,1124600,3562250,5575000
5126,27125,464275,1614500,1442000
5127,30100,490450,1567125,2105750
5131,5675,51525,196750,250500
5132,2700,19000,83125,140500
5133,1800,20100,75625,146250
5134,2025,35350,66125,150750
5136,2025,23000,95500,145000
5137,3150,30300,98000,219750
5138,0,17075,62625,130000
5139,0,5775,34125,72250
5140,675,10875,68625,171750
5141,1350,38975,103625,251750
5142,1350,28750,77375,217000
5144,0,26725,61625,174750
5150,0,4500,10500,34500
5151,2475,11150,51750,167500
5152,11400,261000,901125,2933000
5153,17375,330550,1123500,2068500
5154,9300,157175,486625,1560750
5155,8025,153750,783750,1171250
5156,2250,51875,161500,346250
5157,7650,132825,538750,915250
5158,72500,1506275,5454375,5623000
5159,118600,2009925,6902875,7963250
5160,0,0,0,0
5161,53125,870325,2054875,1142000
5162,181550,2918550,6439000,3921000
5163,105300,1288850,2348500,1245500
5164,55600,475350,606250,194250
5165,37375,487025,738125,473750
5166,14450,181650,262750,128250
5167,30400,414250,1008250,843250
5168,49425,435125,956750,580000
5169,97625,1293475,3303500,2296250
5170,3600,91100,189250,193000
5171,34825,402725,1073750,1307250
5172,15275,271000,722125,943750
5173,81600,997150,2184375,1233000
5174,17625,231600,486000,358500
5201,7875,134875,358375,388500
5202,6000,57450,154500,94750
5203,8900,98600,202250,146500
5204,22350,313275,420500,216500
5210,9225,123325,365500,218500
5211,118775,1737175,2092000,1288000
5212,16750,246775,256125,163500
5213,2700,102200,218000,136750
5214,58575,962400,1030000,537500
5220,0,8925,13500,8250
5221,3750,30325,30875,0
5222,5850,62150,69875,30000
5223,24850,284250,549875,340000
5231,4275,49900,268375,333750
