POA_CODE_2016,total.people,total.people.male,total.people.female,total.age.0-14,total.age.15-19,total.age.20-54,total.age.54-100,age.predominant.class,age.predominant.class.value,total.family.weekly.income.1-500,total.family.weekly.income.500-1249,total.family.weekly.income.1250-2499,total.family.weekly.income.2500-6000,average.family.weekly.income,averaga.family.weekly.income.class,family.comp.couples.no.children,family.comp.couples.children.under.15y,family.comp.one.parent.children.under.15y,family.com.predominant.class,family.com.predominant.class.value
5000,21997,11633,10371,999,1231,15097,4680,adults,15097,48425,422800,1286625,2466000,2173.880597,very high,2854,1205,288,family.comp.couples.no.children,2854
5005,0,0,0,0,0,0,0,kids,0,0,0,0,0,0,NA,0,0,0,family.comp.couples.no.children,0
5006,7999,3853,4147,685,688,4157,2475,adults,4157,18200,191525,696125,2456750,2747.222222,very high,1607,879,113,family.comp.couples.no.children,1607
5007,7011,3447,3561,785,311,4116,1799,adults,4116,35550,348775,947250,1407250,1927.392681,high,1437,1389,283,family.comp.couples.no.children,1437
5008,13682,6844,6840,2151,774,7051,3704,adults,7051,90400,892175,1914625,2159500,1702.019522,high,2232,3823,678,family.comp.couples.children.under.15y,3823
5009,4977,2503,2477,827,307,2456,1377,adults,2456,30725,316125,868375,792000,1743.896612,high,929,1473,258,family.comp.couples.children.under.15y,1473
5010,5962,2786,3180,1066,398,2910,1587,adults,2910,49500,452475,782875,570250,1452.701644,low,780,1908,420,family.comp.couples.children.under.15y,1908
5011,11850,5799,6045,2021,678,6107,3027,adults,6107,54325,687075,2045000,2373500,1890.07326,high,2152,3721,590,family.comp.couples.children.under.15y,3721
5012,11190,5586,5606,2228,757,5750,2450,adults,5750,99625,857225,1542750,874000,1396.935818,low,1493,3794,1014,family.comp.couples.children.under.15y,3794
5013,9923,4971,4956,1625,646,4819,2835,adults,4819,75200,731100,1471500,969000,1498.984303,medium,1514,2634,831,family.comp.couples.children.under.15y,2634
5014,11739,5673,6067,1790,643,5625,3680,adults,5625,68750,824175,2009500,1882750,1722.525198,high,2330,2975,813,family.comp.couples.children.under.15y,2975
5015,5617,2749,2865,792,298,2885,1631,adults,2885,32800,391625,919000,972750,1752.023449,high,1243,1229,453,family.comp.couples.no.children,1243
5016,8697,4106,4591,1365,508,3980,2849,adults,3980,37000,500200,1530875,2040250,1978.009148,very high,1898,2361,526,family.comp.couples.children.under.15y,2361
