Suburb,Post Code,LGA
Adelaide,5000,City of Adelaide
North Adelaide,5006,City of Adelaide
Bowden,5007,City of Charles Sturt
Brompton,5007,City of Charles Sturt
Hindmarsh,5007,City of Charles Sturt
Welland,5007,City of Charles Sturt
West Hindmarsh,5007,City of Charles Sturt
Croydon,5008,City of Charles Sturt
Devon Park,5008,City of Charles Sturt
Renown Park,5008,City of Charles Sturt
Ridleyton,5008,City of Charles Sturt
West Croydon,5008,City of Charles Sturt
Croydon Park,5008,City of Port Adelaide Enfield
Devon Park,5008,City of Port Adelaide Enfield
Dudley Park,5008,City of Port Adelaide Enfield
Allenby Gardens,5009,City of Charles Sturt
Beverley,5009,City of Charles Sturt
Kilkenny,5009,City of Charles Sturt
Angle Park,5010,City of Port Adelaide Enfield
Ferryden Park,5010,City of Port Adelaide Enfield
Regency Park,5010,City of Port Adelaide Enfield
Woodville,5011,City of Charles Sturt
Woodville Park,5011,City of Charles Sturt
Woodville South,5011,City of Charles Sturt
Woodville West,5011,City of Charles Sturt
Athol Park,5012,City of Charles Sturt
Woodville North,5012,City of Charles Sturt
Mansfield Park,5012,City of Port Adelaide Enfield
Woodville Gardens,5012,City of Port Adelaide Enfield
Pennington,5013,City of Charles Sturt
Rosewater,5013,City of Charles Sturt
Gillman,5013,City of Port Adelaide Enfield
Ottoway,5013,City of Port Adelaide Enfield
Rosewater,5013,City of Port Adelaide Enfield
Wingfield,5013,City of Port Adelaide Enfield
Albert Park,5014,City of Charles Sturt
Cheltenham,5014,City of Charles Sturt
Hendon,5014,City of Charles Sturt
Royal Park,5014,City of Charles Sturt
Alberton,5014,City of Port Adelaide Enfield
Queenstown,5014,City of Port Adelaide Enfield
Birkenhead,5015,City of Port Adelaide Enfield
Ethelton,5015,City of Port Adelaide Enfield
Glanville,5015,City of Port Adelaide Enfield
Port Adelaide,5015,City of Port Adelaide Enfield
Largs Bay,5016,City of Port Adelaide Enfield
Largs North,5016,City of Port Adelaide Enfield
Peterhead,5016,City of Port Adelaide Enfield
Osborne,5017,City of Port Adelaide Enfield
Taperoo,5017,City of Port Adelaide Enfield
North Haven,5018,City of Port Adelaide Enfield
Outer Harbor,5018,City of Port Adelaide Enfield
Semaphore Park,5019,City of Charles Sturt
Exeter,5019,City of Port Adelaide Enfield
Semaphore,5019,City of Port Adelaide Enfield
Semaphore South,5019,City of Port Adelaide Enfield
West Lakes Shore,5020,City of Charles Sturt
West Lakes,5021,City of Charles Sturt
Grange,5022,City of Charles Sturt
Henley Beach,5022,City of Charles Sturt
Henley Beach South,5022,City of Charles Sturt
Tennyson,5022,City of Charles Sturt
Findon,5023,City of Charles Sturt
Seaton,5023,City of Charles Sturt
Fulham Gardens,5024,City of Charles Sturt
West Beach,5024,City of Charles Sturt
Fulham,5024,City of West Torrens
West Beach,5024,City of West Torrens
Flinders Park,5025,City of Charles Sturt
Kidman Park,5025,City of Charles Sturt
Mile End,5031,City of West Torrens
Mile End South,5031,City of West Torrens
Thebarton,5031,City of West Torrens
Torrensville,5031,City of West Torrens
Brooklyn Park,5032,City of West Torrens
Lockleys,5032,City of West Torrens
Underdale,5032,City of West Torrens
Cowandilla,5033,City of West Torrens
Hilton,5033,City of West Torrens
Marleston,5033,City of West Torrens
Richmond,5033,City of West Torrens
West Richmond,5033,City of West Torrens
Clarence Park,5034,City of Unley
Goodwood,5034,City of Unley
Kings Park,5034,City of Unley
Millswood,5034,City of Unley
Wayville,5034,City of Unley
Black Forest,5035,City of Unley
Everard Park,5035,City of Unley
Forestville,5035,City of Unley
Ashford,5035,City of West Torrens
Keswick,5035,City of West Torrens
Keswick Terminal,5035,City of West Torrens
Glandore,5037,City of Marion
Glandore,5037,City of West Torrens
Kurralta Park,5037,City of West Torrens
Netley,5037,City of West Torrens
North Plympton,5037,City of West Torrens
