Name,Zip,Price
Adelaide Airport,5950, NaN 
Blewitt Springs,5171, NaN 
Bowden,5007, NaN 
Brown Hill Creek,5062, NaN 
Buckland Park,5120, NaN 
Cherry Gardens,5157, NaN 
Croydon,5008, NaN 
Dorset Vale,5157, NaN 
Dry Creek,5094, NaN 
Dudley Park,5008, NaN 
Eastwood,5063, NaN 
Edinburgh North,5113, NaN 
Edinburgh,5111, NaN 
Exeter,5019, NaN 
Fitzroy,5082, NaN 
Gepps Cross,5094, NaN 
Gillman,5013, NaN 
Glandore,5037, NaN 
Globe Derby Park,5110, NaN 
Gould Creek,5114, NaN 
Green Fields,5107, NaN 
Hackney,5069, NaN 
Heathpool,5068, NaN 
Hindmarsh,5007, NaN 
Houghton,5131, NaN 
Kensington,5068, NaN 
Kent Town,5067, NaN 
Keswick Terminal,5035, NaN 
Keswick,5035, NaN 
Leawood Gardens,5150, NaN 
Lonsdale,5160, NaN 
Mile End South,5031, NaN 
Outer Harbor,5018, NaN 
Parafield,5106, NaN 
Regency Park,5010, NaN 
Rose Park,5067, NaN 
Salisbury South,5106, NaN 
Sampson Flat,5114, NaN 
Stepney,5069, NaN 
Tatachilla,5171, NaN 
The Range,5172, NaN 
Thorngate,5082, NaN 
Tusmore,5065, NaN 
Wayville,5034, NaN 
Whites Valley,5172, NaN 
Willunga South,5172, NaN 
Trinity Gardens,5068," $1,200,000 "
Kensington Park,5068," $1,862,500 "
Penfield Gardens,5121," $1,850,000 "
Toorak Gardens,5065," $1,823,375 "
Tennyson,5022," $1,513,000 "
Marion,5043," $1,463,071 "
Torrensville,5031," $1,458,938 "
Lower Mitcham,5062," $1,452,500 "
Glen Osmond,5064," $1,407,500 "
North Adelaide,5006," $1,399,167 "
Hazelwood Park,5066," $1,377,250 "
Walkerville,5081," $1,349,750 "
Largs Bay,5016," $1,317,750 "
Brighton,5048," $1,304,063 "
Netherby,5062," $1,300,000 "
Skye,5072," $1,260,000 "
Erindale,5066," $1,238,000 "
Auldana,5072," $1,214,833 "
Unley Park,5061," $1,200,000 "
Westbourne Park,5041," $1,175,000 "
Rosslyn Park,5072," $1,172,000 "
Norwood,5067," $1,165,320 "
Malvern,5061," $1,163,333 "
Myrtle Bank,5064," $1,146,200 "
St Georges,5064," $1,144,750 "
Springfield,5062," $1,100,000 "
St Peters,5069," $1,094,000 "
Burnside,5066," $1,059,857 "
Medindie Gardens,5081," $1,050,000 "
Glenunga,5064," $1,045,000 "
North Brighton,5048," $1,034,389 "
Kensington Gardens,5068," $1,029,750 "
Hawthorn,5062," $1,023,571 "
Glenside,5065," $1,012,000 "
Gilberton,5081," $987,500 "
Glenelg South,5045," $980,000 "
Linden Park,5065," $948,333 "
Kingston Park,5049," $935,867 "
Royston Park,5070," $929,667 "
Dulwich,5065," $923,500 "
Semaphore,5019," $912,875 "
Stonyfell,5066," $902,083 "
Henley Beach,5022," $897,654 "
Thebarton,5031," $895,000 "
