_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
5000,7919,7194,15115,174,166,343,196,205,392,494,515,1011,1768,1944,3714,2094,1838,3936,1015,718,1731,805,549,1347,676,554,1228,496,442,941,158,185,347,56,78,129,7413,6836,14251,509,352,863,120,74,188,5,6,9,3,3,7,126,84,206,3236,2602,5835,3809,3919,7723,3617,3111,6729,3177,3438,6619,3879,3397,7274,19,23,41,174,177,354,418,441,858,1332,1499,2831,801,827,1624,5229,5187,10416,513,424,943,377,316,693,128,94,220,110,79,190,35,25,53,5580,5638,11212,5002,3605,8603
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,3392,3567,6950,80,87,166,158,153,316,258,312,574,500,488,988,645,627,1264,349,294,644,387,401,782,372,387,762,382,435,814,174,216,391,85,163,247,3197,3389,6580,193,176,370,11,27,42,0,0,5,0,0,0,16,30,43,2019,2189,4213,1010,1030,2042,2353,2557,4909,706,687,1390,2508,2710,5223,26,19,43,147,136,284,223,278,503,363,376,736,235,226,468,2320,2385,4710,221,259,474,148,199,345,41,44,89,31,42,78,5,12,15,2558,2614,5176,1196,1424,2623
5007,3511,3571,7084,170,160,326,216,235,456,140,156,298,363,375,740,826,777,1603,518,432,952,440,466,903,388,400,787,216,206,426,134,173,315,102,176,282,3322,3404,6725,189,161,352,40,52,91,0,3,3,0,0,0,44,58,102,2200,2220,4421,1113,1142,2256,2251,2261,4510,1064,1113,2172,2788,2844,5634,18,28,49,201,211,415,113,135,246,206,205,409,225,287,515,1927,1930,3853,336,314,655,280,271,550,115,114,230,205,254,467,44,79,118,3098,3173,6267,314,343,655
5008,6856,6824,13681,380,392,773,726,665,1388,423,333,758,560,535,1096,1183,1098,2283,931,876,1812,950,884,1836,793,788,1580,467,535,1006,294,455,748,150,254,399,6573,6572,13152,281,244,531,116,106,221,6,5,5,7,4,9,127,116,239,4014,3940,7948,2358,2394,4757,3753,3601,7355,2670,2804,5479,5440,5581,11020,49,62,113,668,601,1269,311,271,579,271,279,552,335,404,738,3027,3047,6078,824,637,1456,649,574,1223,233,273,504,453,601,1055,102,185,287,6417,6340,12753,374,425,803
5009,2534,2498,5030,138,134,275,281,276,558,148,143,296,202,161,365,363,329,689,336,339,677,396,373,770,311,306,613,169,201,370,120,152,279,57,83,136,2422,2410,4837,109,87,193,26,33,60,0,0,0,0,0,0,28,33,63,1658,1650,3303,731,712,1446,1601,1565,3160,811,810,1618,2138,2086,4231,14,22,43,255,258,519,116,116,232,97,84,181,91,135,220,1097,1115,2213,348,283,630,268,256,519,90,88,178,123,182,305,26,29,53,2376,2352,4726,105,111,221
5010,2748,3103,5853,188,166,355,352,361,704,181,189,370,209,229,438,391,463,858,397,435,828,363,368,739,295,339,635,200,236,431,110,191,305,64,125,194,2658,3004,5664,86,99,191,38,63,101,0,0,0,0,0,0,38,63,101,1351,1408,2754,1232,1484,2719,1062,1139,2202,1553,1791,3340,2226,2414,4638,28,25,56,320,326,645,138,163,296,98,111,210,118,176,292,1104,1231,2328,272,242,514,261,303,561,125,147,271,175,288,459,92,123,214,2546,2816,5360,201,275,473
5011,5796,5916,11712,372,343,720,649,634,1286,351,320,673,445,439,885,964,1031,1996,842,780,1624,807,844,1660,674,670,1345,385,402,785,191,256,447,97,205,305,5540,5726,11269,251,188,444,96,71,166,4,0,7,4,0,6,107,70,176,3926,3911,7839,1565,1713,3281,3839,3858,7695,1667,1805,3478,4840,4931,9773,54,68,125,607,589,1193,283,254,539,174,196,366,231,291,519,2541,2786,5334,782,714,1495,643,523,1174,208,215,417,229,301,525,45,93,140,5388,5563,10949,383,433,814
5012,5594,5578,11170,418,413,835,707,680,1394,382,370,751,507,449,954,916,920,1836,770,795,1568,719,678,1396,564,564,1126,356,322,676,189,249,435,71,130,198,5373,5381,10755,221,197,413,120,96,224,4,6,8,0,4,5,130,107,236,2439,2346,4783,2811,2896,5708,1934,1838,3768,3342,3443,6787,4276,4256,8529,63,73,144,633,619,1252,298,310,609,217,207,425,226,347,576,2301,2268,4573,535,432,960,606,525,1136,246,255,504,311,430,742,118,210,332,5273,5292,10565,251,236,484
5013,5024,4961,9985,278,280,564,544,517,1062,346,290,638,352,324,682,719,679,1397,657,618,1280,761,731,1496,676,643,1320,408,407,818,178,236,420,97,216,310,4766,4772,9533,261,189,446,154,153,312,4,7,7,3,3,3,164,162,325,3104,2927,6032,1555,1689,3244,2983,2899,5880,1730,1789,3519,4272,4241,8510,49,42,89,500,473,974,243,237,481,120,135,256,148,223,367,1710,1842,3552,706,548,1261,669,600,1269,282,271,552,351,452,802,94,122,213,4640,4604,9247,295,311,608
