_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
5000,29,1733,474,380,1793,1,1093,1.9
5005,0,0,0,0,0,0,0,0
5006,37,1950,779,360,2397,0.9,1693,1.9
5007,36,1645,646,320,1682,0.8,1270,2.1
5008,38,1600,497,260,1412,0.9,1109,2.4
5009,40,1600,582,285,1524,0.8,1203,2.4
5010,37,1517,439,183,1195,0.9,974,2.6
5011,36,1733,665,300,1668,0.9,1326,2.4
5012,34,1517,433,248,1142,1,970,2.7
5013,40,1387,476,230,1269,0.9,982,2.4
5014,42,1543,589,250,1510,0.8,1085,2.2
5015,41,1500,681,290,1524,0.8,1134,2.1
5016,43,1668,676,290,1786,0.8,1306,2.3
5017,41,1446,483,220,1201,0.8,917,2.3
5018,49,1700,666,330,1748,0.8,1388,2.4
5019,45,1733,638,260,1732,0.8,1235,2.2
5020,48,1733,701,350,1845,0.8,1498,2.5
5021,54,1863,664,325,1655,0.7,1293,2.2
5022,44,1868,743,295,2085,0.8,1488,2.3
5023,40,1600,531,270,1372,0.8,1051,2.3
5024,45,1800,649,300,1746,0.8,1345,2.4
5025,43,1798,605,320,1649,0.8,1324,2.5
5031,36,1733,595,300,1702,0.9,1279,2.3
5032,39,1660,639,275,1693,0.8,1260,2.4
5033,36,1647,583,280,1470,0.9,1137,2.2
5034,39,2000,812,310,2322,0.9,1692,2.4
5035,37,1600,687,270,1688,0.9,1260,2.2
5037,37,1672,606,280,1567,0.9,1198,2.3
5038,36,1600,636,280,1568,0.9,1182,2.2
5039,37,1798,608,265,1730,0.8,1194,2.4
5040,45,2000,522,151,1832,0.8,1257,2.4
5041,41,1858,738,290,2156,0.9,1636,2.6
5042,35,1600,517,290,1399,0.8,1134,2.4
5043,39,1600,532,260,1378,0.8,1016,2.2
5044,45,1800,748,310,2071,0.8,1399,2.2
5045,44,1777,785,300,2024,0.8,1367,2.1
5046,41,1625,602,300,1508,0.8,1159,2.2
5047,38,1638,585,315,1466,0.8,1168,2.3
5048,46,1733,670,300,1776,0.8,1290,2.3
5049,44,1763,752,340,1862,0.8,1502,2.5
5050,46,1707,666,330,1882,0.8,1512,2.5
5051,41,1842,778,340,2127,0.8,1837,2.7
5052,45,1831,779,360,2183,0.8,1829,2.6
5061,42,2167,888,335,2589,0.8,1931,2.4
5062,43,2000,803,300,2377,0.8,1769,2.5
5063,40,1937,787,335,2242,0.9,1579,2.3
5064,46,2167,765,359,2345,0.8,1799,2.5
5065,44,2000,779,300,2201,0.9,1498,2.4
5066,44,2100,880,360,2582,0.8,2070,2.7
5067,39,1950,823,330,2208,0.8,1510,2.1
5068,43,1950,705,300,2051,0.8,1349,2.3
5069,40,2000,789,300,2343,0.8,1599,2.4
5070,41,1733,599,283,1613,0.8,1174,2.2
5072,41,1806,658,300,1887,0.8,1394,2.5
5073,41,1733,596,300,1654,0.8,1267,2.5
5074,41,1600,539,290,1445,0.8,1124,2.4
5075,42,1560,602,310,1548,0.8,1272,2.5
5076,43,1647,679,330,1900,0.8,1632,2.7
5081,43,2000,804,305,2319,0.8,1675,2.3
5082,37,1907,728,295,2066,0.9,1571,2.5
5083,37,1733,720,290,1912,0.9,1363,2.4
5084,34,1493,444,250,1102,0.9,915,2.6
5085,34,1700,613,300,1544,0.9,1296,2.5
5086,36,1593,576,275,1487,0.8,1214,2.4
5087,36,1647,592,270,1469,0.8,1179,2.3
5088,38,1421,551,275,1346,0.8,1075,2.3
5089,42,1602,726,330,1942,0.8,1705,2.7
5090,47,1500,535,290,1420,0.8,1081,2.3
5091,42,1560,686,310,1724,0.8,1439,2.6
5092,39,1452,613,300,1510,0.8,1284,2.5
5093,40,1430,539,285,1359,0.8,1171,2.5
5094,40,1269,471,258,1114,0.9,1022,2.7
5095,33,1625,654,325,1614,0.8,1412,2.6
5096,37,1300,576,278,1419,0.8,1214,2.6
5097,41,1500,639,300,1630,0.8,1332,2.5
5098,41,1408,517,280,1345,0.8,1116,2.5
5106,38,0,119,0,0,0.9,471,1.2
5107,35,1387,489,260,1269,0.9,1142,2.8
5108,34,1300,483,250,1191,0.8,1028,2.6
5109,39,1343,542,270,1336,0.8,1120,2.5
5110,34,1471,540,300,1305,0.9,1191,2.8
5111,22,0,1084,0,0,0,0,0
5112,38,1170,452,200,1066,0.8,836,2.4
5113,33,1000,431,220,904,0.8,764,2.4
5114,31,1386,599,270,1406,0.8,1252,2.8
5115,28,1400,629,275,1329,0.8,1208,2.7
5116,37,1430,570,270,1342,0.8,1082,2.4
5117,37,1790,708,255,1954,0.8,1799,3.2
5118,42,1500,613,260,1623,0.8,1269,2.5
5120,39,1779,537,250,1564,0.8,1237,2.8
5121,44,1473,508,298,1258,0.8,1088,2.5
5125,40,1625,723,300,1894,0.8,1570,2.6
5126,38,1517,709,300,1714,0.8,1490,2.6
5127,41,1519,698,290,1824,0.8,1490,2.6
5131,47,1733,706,310,1853,0.8,1680,2.9
5132,45,1950,755,150,2066,0.8,1952,2.8
5133,46,1900,725,290,2125,0.8,1906,3
5134,46,2000,660,277,1612,0.9,1421,2.7
5136,43,1733,681,275,1812,0.9,1607,2.8
5137,45,1950,768,300,2031,0.8,1818,2.9
5138,46,1863,768,280,2111,0.9,1888,2.6
5139,48,1733,764,225,2100,0.8,1542,2.4
5140,38,2019,995,450,2466,0.7,2208,2.8
5141,43,1916,727,330,2131,0.8,1862,2.8
5142,44,1833,719,330,2059,0.8,1653,2.6
5144,51,2000,769,236,2067,0.8,1625,2.5
5150,54,2246,674,0,1875,0.8,2125,2.7
5151,44,2167,881,305,2403,0.8,2109,2.8
5152,45,2000,849,390,2398,0.8,1968,2.6
5153,44,1733,727,300,1953,0.8,1685,2.7
5154,45,2000,851,400,2364,0.8,2103,2.8
5155,41,1660,816,358,2089,0.8,1727,2.6
5156,43,1733,797,320,2101,0.8,1818,2.7
5157,47,1625,722,200,1952,0.8,1729,2.7
5158,39,1582,718,340,1815,0.8,1593,2.7
5159,41,1561,688,330,1798,0.8,1540,2.7
5160,47,0,362,0,649,1,466,2
5161,39,1365,596,300,1395,0.8,1162,2.4
5162,39,1338,570,280,1368,0.8,1113,2.4
5163,40,1300,506,255,1214,0.8,1014,2.5
5164,39,1200,444,200,978,0.7,770,2.2
5165,40,1348,531,290,1157,0.8,957,2.2
5166,43,1179,505,275,1076,0.7,891,2.2
5167,43,1517,591,300,1459,0.8,1172,2.4
5168,37,1374,546,250,1312,0.7,1050,2.4
5169,35,1599,609,310,1453,0.8,1232,2.6
5170,44,1394,614,300,1439,0.7,1152,2.4
5171,47,1625,625,290,1654,0.8,1315,2.5
5172,44,1625,674,280,1714,0.8,1439,2.6
5173,36,1431,574,295,1315,0.8,1090,2.5
5174,39,1404,563,280,1331,0.8,1117,2.5
5201,42,1590,696,261,1706,0.8,1478,2.6
5202,43,1500,616,200,1437,0.8,1269,2.5
5203,53,1200,487,220,1260,0.7,909,2.3
5204,58,1083,482,250,1090,0.7,840,2
5210,41,1647,605,290,1443,0.8,1317,2.7
5211,57,1300,482,255,1074,0.7,846,2.1
5212,60,1200,495,250,1036,0.7,869,2.1
5213,47,1404,599,255,1395,0.7,1122,2.3
5214,58,1200,473,250,1017,0.7,813,2.1
5220,36,972,677,180,1406,0.7,1093,2.1
5221,57,867,453,180,974,0.8,762,2.1
5222,54,1083,497,180,1090,0.7,877,1.9
5223,47,1083,566,160,1259,0.7,973,2.2
5231,45,1767,695,290,1907,0.8,1724,2.7
5232,48,1500,756,135,2176,0.8,2026,2.8
5233,46,1625,615,260,1649,0.8,1419,2.6
