_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
5000,4,0,3,0,486,494,37,3,0,0,1728,1768,434,22,36,0,1600,2094,363,48,64,0,535,1015,235,57,146,0,361,805,262,50,161,20,188,676,229,20,126,22,92,496,80,3,25,21,36,158,29,0,0,15,4,56,1674,208,560,80,5037,7558,0,0,0,0,516,515,41,3,5,0,1890,1944,478,22,38,3,1300,1838,303,39,71,0,309,718,226,32,94,14,177,549,249,36,156,29,88,554,211,23,124,47,42,442,60,4,41,60,15,185,19,0,12,47,8,78,1590,155,533,200,4351,6825,3,0,3,0,1001,1011,81,8,6,0,3618,3714,917,40,65,4,2903,3936,669,79,136,0,846,1731,459,93,240,17,537,1347,511,82,313,50,274,1228,439,42,253,69,138,941,141,10,65,81,51,347,47,0,11,60,15,129,3266,359,1092,280,9383,14375
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,3,0,0,0,258,258,3,0,0,0,496,500,134,8,4,0,497,645,149,16,24,0,157,349,194,24,58,0,109,387,215,15,70,4,72,372,249,11,60,12,49,382,115,4,20,20,19,174,57,0,4,19,11,85,1117,85,245,50,1658,3148,0,0,0,0,314,312,18,0,0,0,472,488,158,14,17,3,437,627,144,9,31,4,114,294,222,19,76,7,76,401,229,13,63,19,62,387,229,11,87,75,37,435,91,3,33,76,18,216,25,0,8,114,15,163,1118,68,317,299,1532,3322,7,0,0,0,571,574,20,0,0,0,964,988,290,20,18,3,930,1264,296,22,55,4,271,644,411,45,137,7,184,782,449,26,133,20,130,762,473,23,154,86,87,814,203,7,53,94,32,391,83,0,8,131,25,247,2234,152,561,350,3191,6476
5007,0,0,0,0,140,140,3,3,0,0,354,363,183,6,14,0,621,826,214,23,34,4,244,518,164,27,69,0,179,440,152,16,95,9,107,388,99,9,48,10,54,216,66,8,14,26,15,134,52,0,6,38,7,102,938,97,288,91,1723,3128,0,0,0,0,156,156,11,0,0,0,360,375,222,17,15,3,525,777,208,22,37,5,162,432,167,26,89,11,172,466,147,25,105,36,88,400,94,9,55,32,22,206,57,0,26,85,0,173,25,3,5,140,8,176,932,105,333,311,1491,3174,0,0,0,0,298,298,15,3,0,0,716,740,408,21,20,3,1144,1603,423,42,77,5,406,952,333,48,162,11,346,903,299,41,201,49,194,787,192,23,102,37,75,426,128,8,45,111,16,315,72,3,11,177,15,282,1873,199,623,397,3214,6302
5008,0,0,0,0,420,423,18,6,0,0,533,560,392,10,19,0,761,1183,522,37,65,0,317,931,458,48,125,10,306,950,388,43,158,15,187,793,256,37,90,18,66,467,196,17,23,49,21,294,77,3,3,54,6,150,2302,196,489,150,2616,5751,3,0,0,0,334,333,36,0,0,0,500,535,481,13,27,0,576,1098,515,43,73,9,241,876,447,45,142,21,231,884,360,41,200,46,132,788,261,21,105,111,49,535,136,6,47,230,27,455,48,0,11,187,13,254,2280,178,614,604,2092,5770,3,0,0,0,756,758,50,5,0,0,1033,1096,868,24,52,5,1336,2283,1031,82,138,10,551,1812,902,95,269,35,533,1836,753,90,366,61,317,1580,515,51,197,127,115,1006,328,21,71,282,47,748,120,6,17,242,17,399,4583,377,1102,758,4705,11518
5009,0,0,0,0,148,148,7,0,0,0,192,202,129,3,3,3,227,363,197,12,22,0,104,336,213,18,54,8,107,396,173,19,50,3,61,311,108,4,25,5,31,169,97,3,3,13,9,120,21,0,0,26,0,57,949,59,163,53,880,2104,0,0,0,0,144,143,9,0,0,0,155,161,167,4,0,0,148,329,198,19,28,3,95,339,205,19,61,4,88,373,171,15,53,21,40,306,119,4,38,27,10,201,59,4,10,77,0,152,14,0,0,68,4,83,941,61,197,198,690,2088,0,0,0,0,291,296,15,0,0,0,345,365,296,9,4,3,382,689,393,30,47,3,206,677,420,34,115,12,189,770,342,34,110,21,105,613,224,5,66,34,38,370,158,7,15,93,6,279,37,0,0,93,3,136,1890,122,358,255,1569,4196
5010,0,0,0,0,181,181,6,3,0,0,201,209,156,8,8,0,219,391,253,18,19,0,106,397,221,13,36,3,94,363,174,11,48,13,54,295,115,14,40,7,20,200,58,6,22,15,10,110,29,3,3,29,0,64,1008,78,175,73,877,2213,0,0,0,0,189,189,14,0,4,0,213,229,220,11,23,0,210,463,281,13,23,7,104,435,176,32,65,8,90,368,165,21,74,23,51,339,84,16,63,54,20,236,59,0,21,99,5,191,13,0,3,105,4,125,1018,91,273,312,884,2583,0,0,0,0,370,370,22,3,4,0,406,438,378,16,33,0,430,858,536,33,44,7,209,828,399,39,98,15,181,739,343,35,119,34,102,635,204,24,105,63,38,431,117,10,42,118,17,305,40,3,5,142,8,194,2027,166,449,385,1765,4790
5011,0,0,0,0,348,351,19,0,3,0,430,445,342,18,20,3,590,964,522,21,30,3,267,842,478,37,105,8,187,807,400,28,113,12,117,674,224,21,76,17,48,385,130,5,20,19,15,191,45,3,5,47,3,97,2161,128,369,109,2001,4768,4,0,0,0,315,320,32,0,3,0,402,439,481,25,26,4,496,1031,508,44,56,0,169,780,482,58,147,10,160,844,359,26,159,48,76,670,195,16,93,65,32,402,84,4,22,125,18,256,26,0,10,163,9,205,2157,174,515,423,1676,4941,4,0,0,0,665,673,45,0,7,0,836,885,819,42,48,3,1086,1996,1033,62,93,3,430,1624,961,87,247,14,343,1660,764,56,269,64,191,1345,421,32,165,86,85,785,215,9,42,148,26,447,66,3,13,206,11,305,4317,303,883,530,3673,9707
5012,0,0,0,0,373,382,28,0,0,0,476,507,344,13,24,4,533,916,481,30,42,0,223,770,424,47,68,3,179,719,311,38,69,10,131,564,205,24,65,10,45,356,126,11,27,19,11,189,34,0,9,26,4,71,1953,161,299,75,1973,4461,4,0,0,0,372,370,60,4,0,0,384,449,459,30,21,4,404,920,496,45,69,5,176,795,362,45,112,25,131,678,279,23,120,59,80,564,150,15,55,70,32,322,88,0,20,122,15,249,18,0,9,97,3,130,1912,171,409,391,1590,4478,7,0,0,0,748,751,83,0,0,0,867,954,804,43,41,8,940,1836,975,75,112,11,398,1568,787,88,185,29,306,1396,593,65,187,69,207,1126,353,44,123,85,75,676,214,14,45,142,19,435,57,0,15,125,7,198,3870,326,703,467,3569,8938
5013,0,0,0,0,344,346,11,0,0,0,343,352,218,9,11,0,487,719,307,42,36,4,271,657,338,31,129,3,257,761,320,37,139,17,156,676,208,20,78,30,66,408,107,10,30,16,17,178,40,3,4,38,9,97,1561,151,419,114,1957,4196,0,0,0,0,290,290,21,0,0,0,305,324,292,32,22,0,336,679,319,42,58,8,193,618,325,51,149,31,179,731,262,42,192,64,87,643,179,16,96,91,31,407,70,11,27,122,10,236,28,0,11,167,7,216,1494,194,553,479,1445,4156,0,0,0,0,642,638,33,0,0,0,647,682,505,40,36,0,822,1397,627,87,96,7,466,1280,662,76,275,36,444,1496,582,86,328,77,250,1320,388,38,177,120,93,818,181,15,52,137,31,420,67,3,15,212,18,310,3052,343,969,594,3396,8356
