_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
5000,30,25,59,95,94,193,24,27,52,15,19,39,137,145,277,68,76,145,22,11,32,40,33,75,129,120,245,72,69,146,57,79,139,14,19,28,33,65,102,3,0,3,180,236,421,1476,1678,3159,528,451,977,40,56,98,125,142,264,8,6,13,2170,2337,4511,57,61,122,31,45,78,0,0,0,86,107,199,1158,690,1850,3897,3664,7563
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,31,22,47,66,67,128,8,15,21,39,32,69,113,110,222,28,24,49,8,17,27,51,38,89,86,78,162,17,16,33,5,17,20,4,3,9,15,21,39,0,0,0,41,49,93,485,564,1056,161,100,260,18,13,36,41,64,104,4,0,7,712,746,1458,6,6,18,10,22,33,0,0,0,13,35,46,363,339,703,1354,1377,2735
5007,21,29,55,87,80,166,77,69,146,12,10,30,178,164,337,50,64,109,35,55,84,21,9,34,108,128,228,15,19,33,23,28,48,10,3,15,30,47,80,0,0,0,76,105,176,181,199,381,89,98,188,15,17,29,60,82,141,0,3,5,348,398,747,20,21,40,15,25,36,0,0,0,35,41,78,199,207,412,970,1072,2039
5008,66,74,146,269,265,533,200,171,376,56,40,98,526,476,1000,181,121,307,131,139,274,35,28,64,345,292,639,51,38,86,46,50,94,16,19,36,50,73,128,0,0,0,168,177,346,266,274,536,109,114,225,27,29,49,71,103,173,0,7,9,465,523,993,35,30,59,30,40,63,0,0,0,63,68,130,455,476,936,2093,2092,4188
5009,26,30,53,111,119,230,75,73,152,11,13,24,200,211,407,64,56,127,53,59,109,20,13,38,138,135,270,14,10,28,19,18,36,10,9,12,12,22,38,0,0,0,53,61,115,96,77,175,19,40,61,9,10,15,25,30,50,0,0,0,150,157,309,9,13,19,12,14,25,0,0,0,14,26,38,136,147,290,716,761,1480
5010,46,39,80,149,134,285,102,100,201,15,14,32,264,253,517,64,91,156,55,72,128,19,13,38,142,178,322,17,28,51,29,32,62,12,6,15,18,29,51,0,0,0,76,98,175,101,117,219,26,39,71,3,5,10,17,30,45,0,3,3,152,199,345,8,26,38,11,18,22,3,0,4,21,41,61,169,222,389,865,1026,1889
5011,64,73,139,236,197,434,228,237,467,40,32,75,501,466,975,150,128,279,123,132,255,31,39,70,305,298,607,17,24,41,23,35,56,15,14,35,34,61,94,0,3,3,95,138,234,172,199,369,75,58,127,14,24,38,59,87,141,4,0,4,321,360,678,25,23,40,31,36,64,0,0,0,51,57,110,324,321,648,1668,1714,3383
5012,83,79,161,274,264,533,210,191,401,29,33,59,505,489,999,184,185,366,129,130,257,36,21,52,343,332,673,51,31,86,37,60,93,13,15,30,29,85,114,0,0,0,134,188,326,195,240,431,80,78,149,14,17,34,29,50,86,0,0,0,322,384,699,25,42,68,30,48,78,0,0,0,56,86,141,392,377,774,1836,1943,3784
5013,54,45,102,229,171,398,157,166,321,29,33,61,417,369,785,130,154,288,113,94,207,20,27,47,265,274,537,25,17,44,19,46,63,15,18,33,39,59,97,0,0,0,100,143,241,114,140,253,40,28,67,10,16,28,24,46,71,0,0,6,194,230,421,10,19,31,15,35,49,0,0,0,32,51,84,358,330,690,1420,1440,2864
