_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
5000,316,1456,1559,693,421,378,279,77,26,5204,35,58,89,54,110,84,50,16,7,489,7,22,54,53,81,64,51,22,5,352,3,18,19,13,27,25,12,3,3,112,0,7,12,15,11,20,16,12,9,99,3,4,7,6,3,5,3,3,0,35,49,191,353,185,156,101,80,29,11,1163,409,1759,2092,1015,802,676,496,158,56,7451,362,1662,1567,561,351,309,239,84,29,5155,22,55,32,59,72,90,60,18,8,411,13,16,31,23,52,53,69,26,7,293,3,17,9,5,6,9,11,3,9,83,3,9,8,4,8,9,12,23,9,76,0,4,3,3,5,0,0,4,3,25,46,176,190,62,59,74,47,31,12,689,450,1931,1840,718,542,552,440,185,78,6730,679,3120,3123,1248,767,687,521,160,49,10359,57,114,116,111,179,173,109,30,15,896,16,44,83,76,128,120,114,51,13,644,6,31,29,18,36,33,29,10,9,198
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,171,419,530,275,255,267,244,97,58,2317,11,11,24,19,46,39,32,19,4,205,3,0,17,11,24,15,42,17,3,136,0,0,3,0,3,0,13,3,0,27,0,3,0,0,0,3,5,11,0,27,0,0,0,0,0,0,0,0,0,5,20,55,72,36,56,41,44,29,15,374,205,497,645,349,387,372,381,174,85,3093,246,442,527,248,280,253,225,105,47,2373,3,11,23,15,39,49,65,18,15,238,3,5,8,8,22,32,59,27,26,185,0,0,0,0,3,3,11,5,6,36,0,0,0,0,0,0,9,16,13,44,0,0,0,0,0,3,0,3,0,12,14,38,61,21,50,45,65,38,51,382,263,491,621,294,401,387,435,216,157,3269,410,862,1060,527,535,522,464,208,107,4689,11,21,42,33,85,86,96,38,21,441,3,3,29,25,43,55,96,43,27,325,3,0,7,0,4,6,21,14,7,65
5007,41,295,673,360,242,189,77,20,7,1916,7,25,52,54,75,66,16,3,3,306,3,17,25,48,55,53,43,16,7,262,0,9,17,9,12,28,20,14,6,106,0,3,3,7,13,19,47,61,49,198,0,0,0,0,4,8,3,6,11,44,3,14,50,43,36,32,17,15,17,217,64,362,819,518,440,388,216,134,102,3045,61,318,676,328,263,167,60,23,9,1919,6,27,31,35,66,87,27,7,3,296,4,6,16,29,55,65,34,17,17,245,3,3,0,7,15,16,8,24,20,96,0,0,3,7,12,30,52,70,85,248,0,0,0,3,5,11,11,21,28,79,3,18,45,25,45,22,11,22,23,210,83,377,776,436,468,401,206,173,176,3084,109,616,1350,689,509,355,146,44,21,3833,13,51,85,89,147,155,47,17,7,602,6,21,45,81,112,114,72,34,20,503,3,10,16,16,32,41,24,32,21,197
5008,140,419,848,630,432,329,144,28,16,2996,27,43,123,129,215,149,55,19,7,766,18,30,80,75,140,134,70,27,8,578,5,9,22,14,43,49,33,24,7,206,0,3,10,13,36,64,96,129,70,431,0,3,12,6,11,14,16,22,10,101,26,47,87,67,73,52,52,36,22,452,217,557,1180,926,947,793,466,289,150,5523,111,447,866,628,462,313,131,38,28,3022,17,34,70,67,175,156,45,29,6,593,5,22,50,57,92,132,80,50,17,510,3,3,15,16,28,49,55,37,20,225,0,0,17,27,37,60,148,187,119,596,0,0,9,20,24,22,30,52,19,179,26,25,67,64,59,61,53,59,43,448,166,534,1091,877,885,788,537,456,254,5580,259,865,1713,1254,895,640,274,68,49,6019,42,76,196,195,388,304,99,44,14,1350,24,57,131,131,234,262,148,77,30,1090,13,12,36,32,77,94,83,57,25,431
5009,49,165,264,216,199,120,54,18,7,1090,4,18,37,55,95,84,16,3,4,321,3,15,30,25,55,55,32,18,4,239,6,0,11,3,12,16,7,14,8,68,0,0,3,5,8,10,31,45,16,122,0,0,0,4,0,8,4,4,3,26,4,6,21,29,25,15,22,20,8,151,63,202,363,336,396,310,169,123,57,2017,45,140,265,261,197,132,46,15,8,1107,8,11,14,33,88,67,21,9,4,260,4,6,16,19,42,43,56,23,10,215,0,0,0,3,11,12,8,21,16,69,4,0,8,5,8,19,43,53,41,183,0,0,0,0,5,5,4,11,3,29,3,8,21,14,19,21,21,18,10,138,68,162,327,342,369,303,201,154,83,1999,93,300,532,474,392,255,101,38,10,2194,15,30,55,87,186,150,41,19,6,581,6,20,45,46,98,93,83,47,19,458,6,0,11,8,18,33,17,33,21,142
5010,49,159,275,252,163,101,49,26,7,1086,17,17,33,45,61,46,13,3,3,243,4,8,39,30,47,47,29,8,4,234,3,3,13,16,30,20,7,3,3,101,3,3,3,10,13,35,41,31,26,173,0,0,7,9,17,23,17,12,5,92,8,11,19,25,33,23,33,24,9,188,86,206,391,393,366,295,194,110,64,2106,69,179,336,281,167,103,65,11,7,1211,10,14,38,28,55,42,14,5,3,214,5,12,37,40,51,63,29,22,7,265,0,5,9,22,18,31,15,14,3,122,0,0,16,20,28,45,62,72,48,282,0,3,6,12,26,27,20,26,12,123,15,12,29,26,31,28,32,36,48,253,95,223,464,432,370,335,233,191,125,2472,117,335,609,533,328,206,115,39,12,2295,20,35,74,73,110,92,34,13,8,455,6,22,70,74,99,117,63,34,16,497,3,11,22,34,47,48,21,21,12,226
5011,92,348,704,571,398,268,116,26,10,2532,14,45,116,113,183,165,63,10,3,709,8,19,76,86,122,140,84,32,16,568,3,4,19,12,27,33,29,23,9,159,3,0,8,15,21,28,51,57,34,215,0,0,6,6,5,0,10,17,9,45,14,24,43,47,57,47,32,22,13,307,138,446,961,842,812,674,384,193,97,4550,104,355,827,600,469,243,100,38,17,2768,17,25,88,84,189,176,53,18,11,654,6,21,46,37,89,134,101,25,24,476,3,0,6,12,22,32,43,25,21,164,0,3,7,4,14,29,65,85,79,292,0,3,3,3,15,4,9,28,22,86,17,27,50,36,40,38,32,30,25,299,147,430,1027,780,840,661,404,256,205,4751,197,699,1530,1170,872,513,216,67,29,5300,30,69,199,189,369,337,117,33,14,1368,13,43,116,120,210,271,187,54,38,1046,10,7,25,26,48,63,71,49,35,327
5012,88,361,632,508,283,218,118,39,11,2262,25,48,109,64,114,70,30,4,3,470,14,36,72,85,126,92,67,25,8,527,8,11,16,23,49,50,21,23,3,215,0,5,22,33,47,56,57,47,34,297,0,3,9,16,32,26,18,20,0,118,18,41,51,46,61,44,42,31,6,340,162,497,908,771,718,561,356,189,71,4230,116,324,685,507,280,212,85,25,4,2235,13,44,65,55,94,59,14,12,6,364,22,26,52,65,96,95,64,25,18,464,4,13,25,31,40,46,23,26,16,213,0,3,27,47,58,68,74,85,54,422,0,4,17,24,50,40,20,37,14,211,17,30,53,54,46,44,40,36,18,341,172,441,915,796,674,564,321,245,132,4257,208,682,1313,1015,562,426,203,66,16,4497,36,93,173,126,206,129,48,20,8,838,36,61,126,149,226,183,124,49,26,990,9,18,41,56,95,92,40,49,23,428
5013,89,217,422,343,274,214,93,36,15,1698,17,50,114,133,169,120,44,10,5,662,15,40,78,89,158,121,72,27,10,612,12,16,29,22,49,52,33,19,9,240,4,7,11,22,44,80,88,50,44,338,0,3,7,6,12,21,19,14,3,89,27,20,66,46,49,59,65,30,11,379,168,351,721,657,761,671,408,178,97,4011,79,249,465,377,327,176,82,33,25,1815,17,37,78,87,121,123,36,5,11,503,10,12,52,65,132,131,83,30,29,549,4,8,16,25,43,55,34,17,21,234,0,7,16,26,37,66,100,99,98,441,0,3,9,4,20,28,25,21,13,122,12,13,42,31,48,56,62,29,13,314,120,321,676,619,733,641,407,236,216,3978,169,467,882,723,603,389,168,64,42,3515,36,83,185,220,294,244,78,16,16,1160,30,59,125,158,289,256,148,52,38,1160,11,20,41,49,92,112,70,37,30,468
