_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
5000,3,14,14,16,20,37,25,35,18,180,3,6,8,6,8,3,5,5,3,53,94,367,544,253,214,170,131,61,21,1854,852,3684,3927,1729,1345,1228,936,344,129,14186
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,0,3,0,0,0,4,16,24,11,73,0,0,0,0,0,3,3,4,3,15,38,95,126,58,109,89,105,67,70,752,471,986,1268,643,782,762,816,391,246,6361
5007,3,5,5,14,23,48,92,131,134,455,0,3,0,3,11,18,17,25,42,118,7,33,97,60,78,50,26,35,35,424,144,731,1597,952,900,784,426,315,282,6134
5008,0,3,29,45,74,130,238,317,190,1021,0,3,25,24,33,41,47,81,31,281,48,72,148,127,135,110,107,96,63,903,379,1083,2276,1803,1833,1580,1000,744,399,11102
5009,4,4,11,15,11,27,80,97,56,305,0,0,5,4,4,13,6,14,5,53,8,12,40,46,41,41,34,36,23,284,128,362,692,680,767,606,370,275,136,4023
5010,0,3,15,36,41,77,103,101,72,453,0,3,18,24,43,45,36,32,15,214,21,28,44,53,62,46,63,57,57,440,175,430,852,823,731,635,430,305,194,4575
5011,3,3,18,19,37,53,115,142,115,512,0,3,11,8,24,7,15,42,25,139,26,50,92,88,99,87,63,60,44,610,282,880,1990,1624,1651,1339,785,446,305,9299
5012,3,7,46,78,110,123,133,131,89,720,3,6,26,40,81,71,40,59,16,325,41,65,101,105,106,94,84,64,24,678,338,934,1826,1564,1394,1121,676,431,197,8483
5013,6,7,33,47,80,144,182,144,139,782,0,3,17,12,32,56,44,37,16,212,45,36,112,73,100,117,129,59,27,696,292,677,1392,1280,1491,1312,818,420,310,7990
5014,6,3,20,16,30,87,188,258,181,784,0,4,3,3,11,17,32,50,21,139,50,34,98,76,109,103,134,91,45,737,271,707,1714,1507,1695,1590,1062,714,368,9628
5015,0,0,8,10,18,36,68,61,36,228,0,0,0,4,5,3,7,12,3,37,14,33,56,34,62,55,64,28,10,354,139,348,879,788,924,820,525,222,81,4722
