_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
5000,263,776,271,38,25,32,18,3,4,1436,37,99,43,19,11,9,4,0,0,228,41,170,100,51,45,49,14,8,0,482,20,101,114,59,69,52,53,22,8,497,19,91,74,32,50,54,58,23,4,415,21,85,132,50,35,29,28,12,0,397,9,68,151,50,32,34,21,13,10,391,3,71,150,55,38,39,29,11,0,386,6,52,179,70,58,54,43,10,0,477,3,24,147,62,31,28,23,7,3,334,0,11,119,64,41,27,18,7,3,295,0,7,86,61,48,33,12,8,0,265,4,3,118,128,84,62,37,5,3,440,3,3,46,66,65,75,52,11,7,331,54,203,359,190,157,105,85,32,5,1191,494,1768,2094,1015,805,676,496,158,56,7558,275,898,332,75,53,43,20,4,8,1700,53,140,51,29,12,17,9,3,0,316,64,190,103,46,41,49,26,9,6,527,18,136,93,39,38,48,42,24,11,442
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,116,114,41,13,13,9,5,11,0,307,46,64,13,0,3,6,10,4,0,150,35,86,33,14,7,13,9,4,5,212,17,49,26,14,5,11,25,12,5,164,5,31,28,14,5,14,20,7,3,138,8,23,41,11,13,13,24,10,8,150,0,28,31,15,14,12,23,7,10,140,0,15,63,27,18,21,27,9,4,192,0,11,63,31,30,21,36,24,3,221,0,8,58,23,28,20,20,9,4,168,0,5,53,29,29,25,17,7,3,170,0,3,36,34,19,19,21,5,3,141,0,3,60,43,49,39,37,6,4,250,0,3,20,40,93,105,73,25,15,364,30,61,70,31,60,35,44,28,17,370,258,500,645,349,387,372,382,174,85,3148,104,110,66,37,21,27,14,4,4,385,78,61,7,4,6,8,17,0,0,193,73,96,27,14,4,17,20,13,7,274,13,40,31,11,15,21,28,24,6,176
5007,67,74,48,23,17,17,3,3,5,251,31,27,6,4,3,11,7,4,0,90,16,61,40,25,24,30,22,13,0,229,8,29,28,29,39,46,47,45,19,280,3,31,37,22,24,49,39,31,33,265,3,26,52,35,44,33,27,11,3,228,0,27,70,22,17,14,19,7,5,192,0,25,92,33,35,41,14,4,0,246,3,30,93,71,52,49,14,0,0,305,0,16,77,50,24,23,6,0,0,198,0,4,88,44,48,22,3,0,0,204,0,3,50,42,29,19,3,0,0,148,0,0,54,55,39,13,0,0,0,156,0,0,20,26,15,8,3,0,0,69,4,14,54,47,37,35,11,24,30,260,140,363,826,518,440,388,216,134,102,3128,58,64,74,33,31,17,16,0,0,297,43,21,10,9,3,13,3,0,0,107,32,60,36,21,26,40,19,18,4,254,10,24,34,17,45,40,45,35,8,270
5008,174,105,82,39,44,30,23,13,3,509,107,50,23,13,16,18,14,10,4,248,52,89,97,67,90,93,61,41,31,622,18,48,65,49,67,87,118,113,38,592,15,44,70,38,66,84,85,63,35,501,6,53,71,33,64,46,35,22,12,336,3,43,121,75,74,66,26,8,0,415,3,40,147,106,95,86,24,3,7,508,0,18,140,114,105,67,19,0,6,480,0,12,92,75,79,65,10,0,0,330,0,3,91,82,63,45,12,0,0,295,0,4,48,56,49,25,0,0,0,185,0,0,37,79,56,33,3,0,0,211,0,0,14,31,12,7,0,0,3,75,36,45,90,71,77,52,39,24,15,446,423,560,1183,931,950,793,467,294,150,5751,139,86,131,69,47,69,24,17,7,588,68,67,30,22,25,20,7,9,0,251,51,87,87,70,93,110,67,48,38,646,12,64,63,76,69,96,162,131,44,718
5009,86,34,25,13,17,17,4,6,0,193,32,17,4,0,9,10,3,3,0,82,7,27,22,20,24,25,25,11,5,159,13,22,16,11,13,23,33,41,17,193,0,14,28,9,27,30,28,20,13,154,8,19,32,12,9,22,17,20,3,134,0,16,34,31,31,33,14,3,10,169,0,20,45,47,43,30,14,8,3,209,0,9,52,52,61,41,8,4,3,228,0,11,22,33,41,23,3,0,0,131,0,3,25,31,26,11,0,0,0,106,0,0,20,9,21,14,0,0,0,72,0,0,13,31,39,19,6,0,0,107,0,0,8,3,13,3,0,0,0,30,11,14,17,21,26,19,6,15,4,139,148,202,363,336,396,311,169,120,57,2104,59,24,38,19,22,31,13,3,0,215,57,16,12,4,18,25,4,7,3,142,16,24,20,21,24,30,23,23,3,182,3,27,19,24,31,27,43,39,8,233
5010,100,40,23,20,16,20,8,6,5,236,35,25,6,5,5,9,3,0,0,95,13,35,36,15,36,49,21,8,7,217,0,11,24,20,35,67,73,44,21,302,3,6,23,31,20,25,27,20,6,169,0,22,33,28,29,15,11,3,0,142,0,21,50,48,32,24,13,3,4,194,0,18,64,57,45,20,5,0,0,220,0,9,60,63,48,23,5,0,0,203,0,0,25,20,26,12,0,0,0,84,0,3,17,13,9,11,4,0,0,58,0,0,10,20,10,3,0,0,0,46,0,3,10,20,8,4,0,0,0,52,0,0,0,10,8,0,0,0,0,20,16,8,19,22,26,19,25,21,20,179,181,209,391,397,363,295,200,110,64,2213,101,52,61,47,30,27,14,9,8,348,41,16,15,17,10,10,3,0,0,120,23,37,30,56,41,57,22,17,7,295,3,22,32,35,43,80,82,68,28,404
5011,183,63,41,35,28,33,18,0,0,401,67,25,13,10,13,15,14,3,0,148,37,60,44,43,35,39,32,21,8,319,13,31,35,41,43,48,72,54,19,350,14,28,56,29,32,53,78,39,28,356,8,44,69,42,47,47,42,19,9,327,6,47,105,53,63,55,25,12,6,373,0,45,130,97,94,77,25,12,8,486,0,25,140,101,126,81,25,5,0,502,3,24,99,103,73,55,7,0,0,370,0,5,85,75,64,45,7,0,0,278,0,0,37,72,48,25,0,0,0,196,0,3,55,75,63,40,10,3,0,247,0,3,11,19,31,9,0,0,0,73,23,35,47,60,60,51,32,14,13,336,351,445,964,842,807,674,385,191,97,4768,135,54,89,56,40,48,22,9,3,447,86,30,29,11,21,22,16,0,0,209,48,52,65,37,44,53,46,27,10,384,22,28,48,32,54,60,81,73,30,432
5012,210,98,67,29,41,31,23,7,0,503,78,56,25,10,23,14,11,6,0,224,28,91,77,57,97,93,43,23,5,514,16,39,51,35,68,97,102,72,26,507,4,24,45,37,47,68,71,25,21,350,3,46,60,48,40,37,16,15,5,271,0,50,133,93,80,52,16,11,4,441,3,33,134,124,80,36,11,3,0,425,0,19,103,113,84,47,13,3,0,377,0,6,64,61,30,17,3,0,0,182,0,3,45,49,28,13,4,0,0,141,0,3,22,28,21,8,0,0,0,83,0,0,15,26,20,13,0,0,0,77,0,0,9,14,6,0,0,0,0,35,35,42,52,48,59,34,33,20,10,329,382,507,916,770,719,564,356,189,71,4461,169,78,140,82,57,72,21,12,4,638,92,54,29,35,29,18,5,4,0,269,49,71,97,105,91,108,41,20,15,601,13,42,58,72,80,115,100,88,32,598
5013,162,48,39,29,34,31,17,8,18,389,69,30,14,8,10,16,8,0,0,161,41,52,77,49,67,88,47,26,14,464,10,20,30,41,64,77,127,70,22,460,11,17,44,35,61,78,56,34,25,355,3,41,49,36,49,45,34,9,8,285,12,44,71,61,71,62,20,6,3,350,0,36,102,84,129,66,14,0,4,438,0,19,101,100,87,63,14,0,0,393,0,8,46,58,52,31,6,0,0,204,0,4,38,44,33,21,4,0,0,155,0,0,18,15,22,15,3,0,0,83,0,0,25,30,31,17,0,0,0,96,0,3,4,10,4,0,0,0,0,23,39,35,63,46,46,59,45,21,13,359,346,352,719,657,761,676,408,178,97,4196,130,33,60,65,61,49,22,20,36,469,72,34,22,19,24,22,12,3,4,207,34,56,46,48,87,90,39,28,27,450,16,39,58,45,66,106,132,68,22,551
