_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
5000,10,97,341,136,103,91,73,11,3,865,4,46,290,113,69,48,58,8,4,637,3,20,250,117,74,74,32,5,3,573,0,6,136,108,80,63,30,9,4,441,4,11,181,189,135,101,54,20,8,696,3,7,64,92,92,109,76,22,3,463,104,389,540,259,215,162,142,62,18,1900,1011,3714,3936,1731,1347,1228,941,347,129,14375
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,4,28,144,55,52,52,75,39,9,453,0,11,116,39,61,54,39,16,7,339,0,8,103,46,61,52,41,21,9,347,0,3,82,46,56,37,29,16,8,283,0,5,109,66,89,66,57,16,7,421,3,3,28,73,143,146,96,33,22,554,48,95,127,55,109,79,111,64,74,763,574,988,1264,644,782,762,814,391,247,6476
5007,3,58,195,124,95,76,22,4,3,577,0,25,164,96,56,48,5,0,0,401,0,11,171,84,74,39,4,3,0,372,0,3,89,62,51,37,3,0,0,246,0,0,77,82,65,26,5,0,0,251,0,0,27,34,24,15,3,3,0,104,15,39,107,76,79,56,33,56,108,560,298,740,1603,952,903,787,426,315,282,6302
5008,0,45,288,198,197,144,29,7,11,917,0,18,187,128,124,101,16,0,3,581,0,8,159,143,115,78,14,0,3,517,0,4,72,89,91,40,5,0,0,306,0,4,57,109,86,53,3,0,0,310,0,0,23,35,18,9,4,0,3,94,76,72,154,140,134,105,74,71,41,869,758,1096,2283,1812,1836,1580,1006,748,399,11518
5009,0,20,90,97,99,72,21,10,3,407,0,13,54,55,59,24,8,0,0,215,0,5,44,61,56,25,3,0,0,193,0,0,25,23,37,24,0,0,0,113,0,0,19,47,43,15,6,0,0,134,0,0,13,8,15,3,3,0,0,38,19,22,42,40,46,43,24,30,16,276,296,365,689,677,770,613,370,279,136,4196
5010,0,14,89,99,77,36,8,4,3,325,0,4,53,49,41,14,0,0,0,164,0,3,31,33,31,19,3,0,0,122,0,0,13,34,15,6,3,0,0,75,0,3,13,29,18,8,0,0,0,71,0,0,0,8,5,0,0,0,0,21,27,22,43,42,50,40,52,45,69,400,370,438,858,828,739,635,431,305,194,4790
5011,0,63,279,175,222,142,37,6,3,934,3,27,188,173,131,93,15,3,0,636,3,9,162,126,120,89,14,0,0,524,0,0,66,118,93,41,5,0,0,326,0,3,73,102,97,58,7,3,0,348,0,3,11,28,37,17,0,0,0,103,49,59,106,108,102,76,52,41,37,630,673,885,1996,1624,1660,1345,785,447,305,9707
5012,3,29,197,164,123,62,18,10,3,594,0,15,100,92,56,29,3,0,0,298,0,3,84,87,49,25,3,0,0,244,0,3,33,38,34,17,0,0,0,125,0,3,21,34,29,13,0,0,0,97,0,0,8,20,11,7,4,0,0,46,66,70,106,101,109,88,71,47,23,668,751,954,1836,1568,1396,1126,676,435,198,8938
5013,0,33,169,164,145,109,26,3,0,650,0,14,78,100,80,51,12,0,0,333,0,4,74,70,59,39,6,0,4,258,0,3,34,31,38,25,3,0,0,138,0,0,24,31,45,18,0,0,0,125,0,3,8,12,3,3,3,0,3,31,66,54,110,79,83,115,86,40,31,664,638,682,1397,1280,1496,1320,818,420,310,8356
