_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
5000,456,0,0,0,0,0,0,58,515,1694,21,3,0,0,0,0,221,1944,950,50,8,0,0,0,0,137,1147,491,86,22,7,0,0,0,88,694,241,95,46,16,0,0,0,40,436,129,68,45,8,0,5,0,32,284,104,43,62,15,4,0,0,24,257,105,65,64,17,5,5,3,26,291,75,51,81,29,8,3,0,32,281,64,53,83,23,10,5,3,26,268,75,33,106,38,9,6,3,30,286,32,24,42,38,10,0,0,14,157,21,9,35,18,7,0,3,16,120,8,11,12,16,10,3,0,7,70,12,9,22,11,6,9,4,9,78,4454,594,627,250,84,27,23,763,6825
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,289,0,0,0,0,0,0,26,312,449,8,0,0,0,0,0,33,488,275,15,4,0,0,0,0,39,334,202,41,20,3,4,0,0,23,294,79,24,31,6,0,0,0,14,155,57,21,25,15,4,0,0,16,138,55,28,47,13,3,0,0,22,174,71,26,64,30,9,3,0,26,221,39,19,56,26,7,5,0,18,170,60,36,66,25,10,0,0,19,218,39,23,91,30,13,7,0,31,240,38,15,47,42,13,4,3,21,197,25,15,43,28,9,3,0,19,142,10,8,19,23,8,4,0,6,79,25,10,38,29,12,7,4,33,163,1695,291,560,275,94,33,16,364,3322
5007,151,0,0,0,0,0,0,10,156,336,3,3,0,0,0,0,38,375,361,26,6,3,0,0,0,30,430,211,80,30,3,0,0,3,23,348,111,41,56,7,3,3,0,13,239,56,39,71,20,4,0,0,12,197,78,46,62,15,4,3,0,18,227,73,39,55,29,6,5,3,28,239,61,35,64,27,13,4,3,7,209,42,19,64,33,3,4,5,9,186,20,18,33,28,7,3,3,8,122,8,13,25,16,13,0,0,4,86,3,7,22,23,10,3,7,5,79,0,9,19,31,7,4,11,9,90,15,16,44,36,19,10,12,30,176,1534,387,563,278,96,36,45,233,3174
5008,289,0,0,0,0,0,0,46,333,464,19,3,3,0,0,0,45,535,406,69,31,12,3,0,3,40,557,242,112,107,23,14,4,0,36,542,117,85,131,47,18,6,3,31,441,92,69,154,66,22,4,5,22,443,100,67,157,69,18,11,9,27,455,89,63,155,71,11,11,3,31,432,92,70,144,65,30,4,10,25,437,70,52,111,53,26,3,9,22,345,41,30,104,59,26,7,9,23,303,33,17,79,50,28,11,9,7,230,20,19,75,69,32,9,10,18,251,17,11,42,48,30,19,26,19,208,19,26,74,44,20,20,14,20,254,2100,713,1376,686,276,113,98,414,5770
5009,126,0,0,0,0,0,0,18,143,137,6,3,0,0,0,0,22,161,96,21,9,0,5,0,0,15,149,66,47,43,10,0,4,0,6,181,33,35,52,16,3,0,5,8,153,35,41,67,21,4,4,4,12,188,39,20,81,42,7,3,0,10,201,33,23,67,19,7,3,0,10,164,27,24,61,28,13,3,0,15,176,19,18,45,27,15,0,0,11,131,21,9,36,27,11,0,0,6,107,8,8,37,23,7,3,0,3,93,3,3,27,23,17,3,4,6,89,8,3,21,7,8,3,8,4,59,5,5,15,28,12,3,3,8,83,666,267,572,278,109,29,26,148,2088
5010,174,0,0,0,0,0,0,20,189,191,14,4,0,0,0,0,24,229,130,46,21,6,0,0,3,17,220,85,66,50,16,3,3,3,15,249,37,42,75,19,7,3,4,11,210,39,36,89,30,12,0,4,6,229,30,29,74,40,15,4,3,5,204,36,29,51,22,10,4,3,16,166,28,29,63,28,15,6,0,11,191,30,13,44,25,20,6,3,10,149,18,12,47,37,16,10,0,10,143,11,16,22,14,10,10,3,5,90,6,7,26,18,19,5,12,16,107,3,15,22,14,16,5,10,3,86,9,12,29,6,10,8,14,33,125,824,360,633,273,151,67,71,199,2583
5011,290,3,0,0,0,0,0,26,320,370,21,4,3,0,0,0,45,439,344,78,31,3,4,0,0,31,491,229,133,99,30,4,3,5,34,535,95,80,155,42,4,3,4,19,396,77,50,165,50,16,8,0,18,382,80,80,154,78,11,0,5,16,429,66,54,168,69,25,9,6,25,418,63,37,120,73,20,3,7,25,355,43,38,119,72,26,5,0,16,316,46,32,88,56,18,4,3,8,247,24,12,41,52,12,4,3,10,157,8,14,30,39,14,13,9,9,142,3,9,35,28,13,6,5,12,114,17,22,53,42,24,13,14,15,205,1761,657,1264,628,197,66,58,301,4941
5012,319,5,0,0,0,0,0,46,370,353,33,13,3,0,0,0,48,449,240,86,48,16,5,3,0,36,437,157,116,124,36,11,5,0,29,487,78,77,152,58,19,7,8,22,419,56,70,121,62,32,8,9,26,381,74,63,115,62,30,12,10,23,388,37,39,93,56,28,7,8,14,288,35,43,89,55,20,8,3,25,279,43,32,83,57,23,13,4,25,280,29,26,56,33,25,9,0,15,193,12,16,30,30,16,3,9,16,126,9,17,35,35,15,11,14,8,143,5,8,20,17,26,8,20,9,110,7,14,27,32,15,8,15,12,130,1455,630,1006,546,270,104,121,351,4478
5013,249,4,3,0,0,0,0,36,290,266,17,9,3,0,0,0,24,324,187,59,34,8,6,0,0,19,319,125,89,77,23,14,3,5,23,362,72,48,105,39,19,4,3,16,305,52,55,112,46,25,14,7,15,317,85,57,112,59,20,8,5,11,356,77,60,98,57,31,12,8,29,377,57,55,121,65,27,9,3,23,367,39,35,87,53,24,5,4,22,282,30,29,69,67,18,11,15,29,251,9,15,47,41,20,10,14,14,160,8,7,30,26,22,15,11,11,137,9,10,24,23,9,6,10,8,106,18,26,58,46,15,13,23,13,216,1296,569,987,556,240,109,108,296,4156
