_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
5000,1467,2854,0,0,18,84,3,14,327,1104,347,1205,14,50,41,126,53,154,104,321,454,1528,0,0,11,43,3,7,106,246,121,288,15,44,60,130,81,166,158,335,281,625,142,293,2340,5304
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,816,1607,0,3,36,160,3,9,195,706,239,879,17,76,59,206,62,184,144,469,377,1345,0,8,10,36,0,3,32,69,41,113,8,30,30,59,60,121,95,205,138,321,36,79,1374,3347
5007,726,1437,0,3,29,147,7,32,334,1207,368,1389,23,86,43,159,83,276,149,522,522,1913,0,0,12,57,3,23,85,207,107,283,16,54,43,89,118,250,177,390,288,674,67,141,1606,4162
5008,1119,2232,24,144,130,613,23,93,772,2971,943,3823,82,358,132,460,299,949,512,1777,1455,5599,8,26,37,119,16,43,194,492,247,678,25,75,80,180,302,652,403,903,652,1580,105,231,3330,9641
5009,478,929,10,61,44,201,3,19,319,1192,374,1473,34,156,56,200,104,337,196,694,573,2168,0,0,26,90,0,9,58,161,82,258,10,30,30,66,104,220,141,315,220,574,39,82,1309,3749
5010,382,780,10,68,75,344,22,101,360,1391,470,1908,28,132,66,238,103,335,202,710,670,2617,4,13,20,81,7,25,108,306,142,420,15,58,36,72,128,291,182,427,323,846,44,87,1419,4329
5011,1077,2152,15,75,123,529,28,127,792,2993,953,3721,76,327,134,472,231,734,446,1532,1394,5257,4,22,43,144,4,19,164,396,216,590,22,61,66,150,207,448,297,657,513,1244,81,176,3060,8830
5012,736,1493,37,195,144,714,28,117,721,2765,919,3794,77,323,127,434,189,618,390,1380,1311,5169,16,73,50,204,25,77,229,660,321,1014,31,105,73,181,213,466,316,757,637,1769,81,186,2760,8619
5013,766,1514,18,92,110,527,29,149,488,1865,645,2634,60,282,90,323,206,659,361,1266,1000,3905,5,26,48,184,26,82,202,536,287,831,36,118,65,157,276,611,376,888,661,1721,72,152,2490,7286
5014,1171,2330,16,99,98,450,26,117,611,2302,758,2975,78,314,101,358,286,908,468,1580,1219,4553,8,30,36,133,21,73,223,577,290,813,31,80,67,140,291,617,384,843,672,1654,60,129,3128,8667
5015,628,1243,9,34,33,165,15,66,266,960,319,1229,25,109,39,131,84,271,151,507,473,1735,0,3,24,76,13,52,127,331,170,453,19,61,40,75,130,278,186,413,356,865,27,60,1488,3907
5016,969,1898,9,55,84,351,17,82,495,1870,603,2361,60,247,94,298,190,587,338,1128,939,3487,3,19,24,66,8,35,159,405,198,526,20,52,53,115,159,343,234,514,425,1046,46,93,2382,6526
5017,466,928,5,12,47,208,16,75,221,855,290,1144,16,68,35,126,121,387,173,588,461,1736,5,39,35,118,17,65,139,384,205,609,13,35,28,66,136,295,180,394,380,998,32,65,1340,3724
5018,763,1502,3,24,47,201,17,87,259,981,332,1282,46,190,77,272,217,677,340,1138,672,2423,0,3,13,52,0,10,69,176,89,246,10,26,37,75,77,171,122,277,212,517,22,43,1669,4480
5019,961,1893,6,42,60,258,17,94,475,1789,559,2183,45,188,87,303,169,527,309,1026,868,3202,8,45,33,101,11,25,166,420,215,595,22,70,51,107,183,388,259,569,477,1165,49,108,2353,6374
5020,410,807,4,8,27,115,4,12,177,698,209,848,27,116,34,107,104,341,167,568,378,1409,0,0,3,10,3,15,38,107,41,130,5,22,16,38,31,75,60,132,102,262,5,16,905,2495
5021,925,1827,13,78,61,263,11,44,228,871,312,1248,47,171,71,246,177,547,296,966,602,2213,0,4,10,31,7,18,51,137,70,186,12,25,25,44,86,182,120,262,189,448,22,48,1741,4539
5022,1745,3440,20,99,192,849,25,114,948,3607,1187,4664,140,559,206,721,338,1044,688,2319,1871,6981,3,9,29,97,14,46,166,401,208,549,37,107,79,175,194,407,314,697,521,1244,68,136,4199,11799
5023,1584,3154,21,134,139,632,39,186,896,3325,1100,4271,106,445,135,459,369,1171,601,2070,1703,6346,23,100,73,267,21,84,299,782,419,1233,38,117,112,259,435,948,584,1322,1002,2554,121,261,4416,12316
5024,1621,3214,12,67,161,732,43,192,820,3120,1033,4113,136,573,191,670,352,1136,682,2377,1719,6491,0,5,20,71,3,16,135,320,165,413,36,115,52,117,217,451,303,678,471,1100,51,112,3868,10913
5025,947,1880,13,82,95,405,21,86,498,1927,620,2495,65,265,106,376,254,817,419,1454,1040,3952,0,11,14,50,4,16,94,252,118,322,26,78,33,76,159,356,212,509,331,837,39,81,2354,6746
5031,889,1766,7,31,85,359,15,68,544,1993,644,2449,45,202,83,301,171,542,303,1043,946,3490,3,22,23,95,14,44,133,299,167,456,20,59,56,136,188,402,262,588,436,1052,95,196,2361,6501
5032,1268,2507,9,71,122,536,16,87,860,3200,1009,3890,108,452,144,491,285,911,536,1859,1547,5750,3,13,24,81,7,29,135,325,165,439,24,89,69,146,200,419,299,654,467,1091,71,153,3358,9494
5033,734,1479,9,45,60,271,10,52,490,1793,564,2165,36,146,70,232,137,439,234,819,801,2978,0,4,13,60,6,17,118,291,138,366,18,60,41,97,161,345,227,506,365,875,66,151,1967,5480
5034,1025,2011,4,38,98,446,15,72,682,2560,804,3116,74,299,167,560,148,462,386,1317,1196,4441,0,5,14,48,0,12,99,234,119,294,13,47,39,80,117,241,175,375,288,671,52,108,2561,7234
5035,625,1228,3,23,34,172,12,38,416,1524,473,1758,25,129,68,227,88,271,178,625,651,2378,3,7,9,40,3,7,83,204,103,264,3,13,25,46,83,173,109,237,211,500,37,79,1522,4189
5037,1035,2041,16,81,80,390,9,42,698,2584,805,3095,65,259,120,408,174,541,351,1215,1157,4308,5,14,18,57,9,23,120,297,146,390,23,74,48,123,152,316,230,509,372,898,74,165,2645,7405
5038,1646,3263,18,86,119,517,16,68,1009,3671,1154,4346,82,336,141,483,236,747,450,1567,1612,5912,8,29,28,75,8,32,194,475,235,617,29,91,86,189,235,491,345,767,581,1383,107,225,3948,10788
