_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
5000,89,13,19,34,158,14,7,8,7,31,12,3,3,6,28,10,4,9,3,25,36,6,22,6,69,28,14,24,8,71,69,12,17,5,102,66,23,32,18,131,103,28,21,15,169,87,25,20,12,146,68,14,12,5,98,87,21,16,3,127,192,75,34,9,306,133,37,6,3,181,76,20,8,8,111,72,24,6,3,106,174,65,8,3,242,130,57,21,0,208,11,4,5,6,23,1467,454,281,142,2340
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,5,7,0,4,19,4,0,0,0,8,5,3,0,0,6,0,0,3,0,4,17,0,6,0,33,10,0,3,0,21,38,11,9,3,52,27,14,15,0,55,49,14,16,3,82,55,11,11,5,86,40,15,3,5,57,44,18,11,0,68,111,41,9,0,159,71,30,3,3,110,54,29,8,0,89,49,25,8,0,84,185,108,12,0,310,42,61,21,0,129,7,0,0,0,9,816,377,138,36,1374
5007,16,3,4,0,25,9,3,0,0,14,4,3,4,0,14,0,0,9,0,15,31,10,21,3,58,20,8,22,3,50,67,22,30,4,123,46,22,29,15,109,46,25,45,7,118,55,39,25,10,127,36,36,18,3,94,29,36,11,3,81,114,71,18,9,208,73,87,6,6,173,61,41,0,0,102,29,28,3,0,60,35,39,3,0,75,49,53,23,0,130,14,3,10,0,23,726,522,288,67,1606
5008,10,11,11,0,39,10,3,3,0,20,10,12,18,5,48,4,10,24,0,47,62,24,45,10,137,35,39,63,13,148,190,61,76,12,333,66,82,82,14,246,101,109,70,18,306,84,139,48,10,280,62,119,29,4,210,63,104,28,3,203,123,197,33,5,359,90,156,18,4,267,56,107,6,4,177,26,56,3,0,80,26,79,6,5,110,71,129,67,3,262,20,18,14,3,55,1119,1455,652,105,3330
5009,7,3,3,0,15,6,0,3,0,6,5,0,5,3,15,0,3,8,0,10,29,6,11,3,52,24,13,24,0,56,71,21,24,7,121,32,34,20,4,88,31,41,20,7,104,38,43,30,3,108,29,42,10,0,83,28,54,10,0,90,56,102,17,6,185,34,62,4,5,101,21,38,3,0,59,9,22,3,0,34,14,27,0,0,39,35,60,15,3,108,9,6,9,0,19,478,573,220,39,1309
5010,15,11,9,3,34,8,0,3,0,12,7,5,13,0,24,0,4,17,0,27,28,18,25,3,75,21,22,31,4,74,73,43,43,3,166,37,51,47,9,138,37,69,34,8,147,31,81,28,3,146,12,56,18,0,85,18,41,7,4,70,31,87,8,3,139,27,64,6,0,92,7,35,0,0,43,0,10,3,0,14,3,15,0,0,25,14,59,15,0,90,8,4,6,3,21,382,670,323,44,1419
5011,20,9,7,0,33,6,0,3,3,13,14,0,10,0,22,3,3,19,0,29,39,12,32,7,85,27,23,48,6,99,114,29,55,10,201,84,49,61,7,207,84,100,69,9,265,111,117,41,12,277,71,105,38,4,215,69,101,24,3,202,152,232,22,8,416,107,174,17,0,299,61,117,3,3,185,36,59,4,0,100,25,85,0,0,115,50,159,47,7,254,8,13,9,3,36,1077,1394,513,81,3060
5012,27,28,21,3,70,12,10,10,0,29,10,15,30,3,66,10,8,28,0,47,48,45,57,3,147,27,48,64,3,143,146,72,88,14,317,58,109,75,12,252,69,145,58,12,283,56,129,41,7,233,38,141,33,3,212,42,101,22,4,167,66,157,25,9,251,37,95,12,4,145,17,39,0,0,57,0,23,3,0,32,7,23,3,0,34,43,123,47,7,215,23,12,12,3,53,736,1311,637,81,2760
5013,14,9,13,0,38,6,0,8,0,17,3,14,34,0,49,5,6,26,0,37,40,17,51,3,111,18,19,59,0,98,141,52,67,8,265,55,75,69,15,210,82,101,73,9,261,61,95,67,7,233,36,92,36,3,179,45,70,28,4,148,93,136,30,5,259,50,81,9,5,149,25,50,3,0,84,6,25,3,0,35,3,18,4,0,31,70,124,61,3,264,15,6,12,0,38,766,1000,661,72,2490
5014,12,3,9,3,25,10,0,0,0,21,10,3,15,3,31,7,3,23,0,28,60,8,43,3,112,24,7,67,0,99,202,39,84,6,333,86,55,81,10,233,95,101,84,10,281,75,95,54,7,230,61,99,47,3,220,85,105,32,0,224,181,186,40,3,407,91,164,8,3,269,40,74,5,0,119,26,50,3,0,79,20,67,3,0,92,68,151,61,0,274,19,13,16,0,49,1171,1219,672,60,3128
