_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
5000,2289,2598,754,81,37,5762,247,6014
5005,0,0,0,0,0,0,0,0
5006,345,1299,740,142,55,2584,85,2667
5007,359,1319,881,233,61,2852,101,2952
5008,681,2007,1670,491,215,5058,186,5250
5009,181,750,662,207,89,1888,68,1953
5010,282,730,654,183,79,1931,83,2011
5011,419,1723,1566,443,217,4364,159,4522
5012,494,1449,1232,369,153,3687,171,3860
5013,516,1384,1187,426,169,3682,175,3859
5014,576,1931,1573,461,219,4757,174,4932
5015,309,1146,797,167,87,2499,75,2576
5016,293,1341,1295,364,175,3470,99,3570
5017,258,834,625,182,60,1964,85,2051
5018,109,718,850,347,151,2176,51,2226
5019,390,1576,1239,355,146,3709,123,3831
5020,53,389,506,143,79,1172,35,1207
5021,122,920,911,292,131,2373,61,2433
5022,453,2330,2315,695,315,6101,158,6253
5023,799,2753,2097,619,255,6522,251,6776
5024,330,1865,2067,631,332,5219,150,5368
5025,211,1082,1225,361,211,3088,79,3164
5031,563,1648,1192,333,125,3853,116,3969
5032,484,2011,1723,522,227,4968,147,5110
5033,364,1498,1035,271,98,3266,116,3377
5034,342,1587,1354,391,146,3822,95,3916
5035,296,1179,727,187,88,2483,66,2551
5037,459,1843,1333,362,166,4157,147,4306
5038,679,2836,2090,521,213,6330,197,6528
5039,453,1362,1180,311,157,3465,114,3584
5040,88,306,384,99,41,927,36,959
5041,285,1646,1948,581,278,4731,107,4843
5042,391,1688,1333,373,175,3953,164,4112
5043,1020,3495,2332,603,225,7670,289,7955
5044,390,1662,1617,450,206,4317,128,4451
5045,702,2847,2271,534,222,6576,195,6772
5046,437,1602,1198,341,127,3701,106,3809
5047,320,1349,1117,307,111,3208,119,3325
5048,474,2314,2012,548,216,5563,151,5721
5049,142,1219,1657,501,193,3717,90,3812
5050,64,664,859,297,152,2029,32,2063
5051,129,1339,2431,705,349,4955,89,5043
5052,54,663,1039,339,174,2267,39,2311
5061,278,1386,1432,410,197,3692,81,3776
5062,321,1826,2258,658,339,5403,129,5526
5063,436,2070,1695,366,150,4708,127,4840
5064,185,1199,1455,451,193,3488,87,3578
5065,374,1727,1404,360,152,4015,95,4108
5066,136,1263,1884,605,271,4154,85,4239
5067,558,1936,1359,270,113,4231,110,4338
5068,497,2136,1648,442,198,4915,124,5040
5069,279,1298,1156,341,155,3231,72,3302
5070,685,2565,1803,494,204,5755,191,5944
5072,360,1804,1811,528,241,4737,129,4873
5073,456,2225,2153,605,263,5708,161,5864
5074,500,1980,1680,479,242,4888,167,5049
5075,234,1445,1523,447,241,3882,101,3985
5076,85,985,1399,513,287,3274,76,3344
5081,307,1345,1279,427,179,3532,100,3635
5082,483,1975,2069,596,289,5415,146,5557
