_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
5000,..,2513,2513,1596,705,2305,439,330,770,222,106,326,52,22,76,11,13,23,2326,3690,6014
5005,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,..,1042,1042,903,146,1053,245,53,300,151,35,184,52,5,54,14,4,19,1374,1292,2667
5007,..,1022,1022,858,196,1050,357,103,455,272,34,313,70,7,79,27,0,27,1586,1365,2952
5008,..,1609,1609,1359,225,1579,810,92,901,676,46,722,268,11,283,139,8,148,3258,1992,5250
5009,..,564,564,558,82,641,285,14,306,288,3,298,102,9,105,43,3,40,1279,679,1953
5010,..,573,573,492,41,533,318,22,341,335,5,338,120,4,122,102,4,100,1360,650,2011
5011,..,1304,1304,1312,142,1454,683,35,720,692,17,707,233,5,235,97,0,97,3018,1506,4522
5012,..,1026,1026,888,113,998,644,20,665,638,23,659,284,8,292,209,8,218,2665,1193,3860
5013,..,1291,1291,1028,115,1141,548,27,578,509,4,510,194,0,196,145,0,150,2418,1434,3859
5014,..,1703,1703,1474,140,1612,695,18,713,595,6,601,219,0,219,84,0,84,3060,1865,4932
5015,..,987,987,805,104,912,312,11,325,267,3,266,69,0,69,28,0,28,1472,1102,2576
5016,..,1112,1112,1162,89,1251,520,15,540,473,0,471,148,0,148,46,0,46,2351,1214,3570
5017,..,654,654,635,69,700,302,4,307,262,0,265,87,0,87,40,0,40,1326,727,2051
5018,..,539,539,837,39,873,365,4,370,323,0,323,91,0,91,25,0,25,1647,582,2226
5019,..,1357,1357,1224,120,1338,491,15,501,454,7,459,129,0,129,43,0,43,2333,1497,3831
5020,..,289,289,445,16,458,177,3,175,191,0,191,62,0,62,19,0,19,896,309,1207
5021,..,685,685,997,33,1034,306,3,311,273,3,275,98,0,98,33,0,33,1711,725,2433
5022,..,1915,1915,1993,147,2139,799,27,819,978,10,987,308,0,308,85,3,81,4160,2102,6253
5023,..,2163,2163,2048,207,2248,1071,37,1108,837,12,847,268,3,278,126,4,126,4351,2422,6776
5024,..,1397,1397,1834,111,1950,745,32,783,847,6,856,302,0,305,83,0,83,3819,1555,5368
5025,..,756,756,1063,57,1114,507,15,524,534,7,539,167,0,168,63,0,60,2334,838,3164
5031,..,1210,1210,1081,201,1288,547,135,683,495,60,556,145,21,169,56,8,66,2331,1645,3969
5032,..,1586,1586,1462,173,1633,750,30,781,764,14,780,237,5,245,84,6,92,3294,1815,5110
5033,..,1173,1173,878,161,1041,488,79,564,398,17,414,126,7,138,47,3,56,1942,1441,3377
5034,..,1105,1105,1151,168,1322,538,64,602,634,20,653,183,3,189,42,0,43,2545,1366,3916
5035,..,869,869,722,123,846,374,25,400,291,12,306,94,4,95,31,0,35,1513,1035,2551
5037,..,1408,1408,1169,161,1329,625,80,705,531,39,566,208,5,212,75,3,84,2607,1699,4306
5038,..,2250,2250,1834,283,2119,924,68,993,789,35,827,237,8,247,86,7,91,3876,2653,6528
5039,..,1192,1192,928,140,1062,505,48,552,516,26,541,169,6,173,60,3,60,2175,1407,3584
5040,..,268,268,335,11,345,144,9,146,144,0,140,36,0,36,20,0,20,672,292,959
5041,..,1186,1186,1368,99,1469,778,42,816,959,12,970,316,3,322,74,0,73,3502,1341,4843
5042,..,1149,1149,1239,176,1411,572,87,655,499,40,542,219,25,243,100,9,112,2625,1486,4112
5043,..,2913,2913,2308,312,2623,1029,124,1150,816,36,848,281,13,296,119,0,121,4559,3401,7955
5044,..,1512,1512,1384,98,1483,560,24,588,606,6,617,201,0,201,40,3,49,2798,1647,4451
5045,..,2525,2525,2233,235,2471,762,40,806,697,19,714,210,0,212,41,3,48,3942,2824,6772
5046,..,1306,1306,1147,135,1282,531,53,588,460,13,474,115,4,122,39,0,39,2290,1518,3809
5047,..,979,979,1054,120,1172,494,61,557,399,11,416,126,9,141,60,3,66,2147,1180,3325
5048,..,1818,1818,1908,142,2048,709,43,751,762,10,767,254,0,255,70,0,74,3704,2013,5721
5049,..,860,860,1394,89,1478,621,29,653,586,9,588,165,0,165,61,0,66,2829,983,3812
5050,..,448,448,731,41,770,315,19,332,352,3,353,122,0,124,38,3,41,1555,508,2063
5051,..,930,930,1706,75,1778,782,10,791,1082,9,1093,355,3,364,84,0,84,4018,1027,5043
5052,..,450,450,821,31,848,384,9,393,432,0,435,133,0,133,43,0,40,1813,492,2311
5061,..,1010,1010,1223,115,1343,513,52,563,564,16,581,222,4,226,43,3,46,2571,1205,3776
5062,..,1416,1416,1719,108,1825,759,20,780,1017,6,1026,367,0,372,100,0,100,3961,1561,5526
5063,..,1610,1610,1384,179,1559,613,60,676,698,18,713,220,5,232,52,3,49,2970,1868,4840
5064,..,916,916,1152,48,1202,488,18,507,624,9,634,239,3,244,77,0,77,2581,995,3578
5065,..,1382,1382,1171,78,1249,507,22,527,627,9,630,244,3,249,69,4,74,2613,1499,4108
5066,..,889,889,1341,47,1392,639,12,655,861,10,865,324,0,328,113,0,115,3279,965,4239
5067,..,1585,1585,1321,230,1545,514,100,620,406,20,430,131,3,135,26,0,33,2398,1944,4338
5068,..,1773,1773,1425,142,1564,660,32,691,716,9,721,225,6,231,54,3,54,3077,1957,5040
5069,..,983,983,983,118,1103,446,48,491,505,28,530,154,3,154,36,3,36,2122,1177,3302
5070,..,2053,2053,1711,209,1920,803,64,871,727,40,764,258,5,265,68,7,77,3568,2378,5944
5072,..,1331,1331,1493,119,1610,732,29,758,762,28,790,275,7,277,95,3,102,3358,1512,4873
5073,..,1522,1522,1814,114,1928,912,39,949,1012,19,1031,303,3,307,134,0,137,4164,1698,5864
5074,..,1502,1502,1498,110,1610,771,25,802,767,15,788,249,7,254,96,3,101,3389,1665,5049
5075,..,975,975,1342,80,1418,601,15,617,620,11,629,250,4,252,90,0,91,2898,1088,3985
