_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
5000,..,18,288,256,155,188,179,63,26,1172,..,149,296,97,63,57,27,8,0,680,..,0,0,13,24,9,7,4,0,61,306,..,..,..,..,..,..,..,..,306,..,89,..,..,..,..,..,..,..,89,..,29,29,11,8,0,0,0,0,77,..,104,29,4,6,11,3,0,0,163,..,63,39,8,0,3,0,0,0,118,..,822,425,74,41,18,6,5,0,1398,..,204,323,239,227,179,136,37,16,1368,16,59,69,29,24,11,10,4,0,222,326,1528,1508,736,556,479,373,116,39,5663,..,26,358,237,162,186,166,50,15,1199,..,174,286,76,45,40,25,0,0,658,..,6,21,60,56,42,15,10,11,218,321,..,..,..,..,..,..,..,..,321,..,81,..,..,..,..,..,..,..,81,..,34,29,9,7,5,0,0,0,84,..,99,43,11,10,7,4,3,7,181,..,81,38,0,0,0,0,0,0,126
5005,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
5006,..,0,101,124,148,177,197,92,34,871,..,15,119,50,34,47,24,9,0,305,..,0,3,3,10,13,0,0,0,27,212,..,..,..,..,..,..,..,..,212,..,106,..,..,..,..,..,..,..,106,..,34,31,10,8,0,0,0,0,82,..,20,12,0,0,4,4,0,0,41,..,15,11,0,5,0,0,0,0,23,..,146,143,25,3,7,4,7,0,344,..,26,97,71,89,72,78,37,20,488,0,12,6,9,3,12,6,0,0,55,212,375,525,296,295,321,312,143,56,2551,..,9,128,120,171,186,173,77,20,881,..,28,130,39,37,29,19,3,0,277,..,0,4,17,36,19,19,7,5,115,209,..,..,..,..,..,..,..,..,209,..,99,..,..,..,..,..,..,..,99,..,22,22,5,12,0,0,0,0,67,..,17,12,3,3,3,4,3,0,55,..,12,9,3,0,0,0,0,0,18
5007,..,5,152,193,150,137,89,50,26,813,..,37,182,76,48,21,10,9,0,390,..,0,3,22,15,21,5,6,0,79,360,..,..,..,..,..,..,..,..,360,..,107,..,..,..,..,..,..,..,107,..,70,59,17,18,9,0,0,0,172,..,33,30,14,11,8,11,0,0,99,..,34,26,6,4,0,0,0,0,74,..,154,185,34,24,20,7,0,0,426,..,22,89,95,93,99,54,31,17,502,10,23,29,12,12,8,3,0,0,96,371,479,760,468,384,329,182,104,50,3120,..,9,198,195,148,132,85,45,9,826,..,68,188,71,47,22,4,0,0,399,..,0,23,40,73,42,13,19,10,211,377,..,..,..,..,..,..,..,..,377,..,105,..,..,..,..,..,..,..,105,..,51,36,12,6,4,0,0,0,116,..,37,21,5,9,25,9,9,0,112,..,26,15,3,0,0,0,0,0,50
5008,..,10,294,465,411,357,243,179,64,2030,..,41,165,105,81,52,29,0,0,473,..,0,3,17,49,38,3,14,4,128,1038,..,..,..,..,..,..,..,..,1038,..,325,..,..,..,..,..,..,..,325,..,185,179,69,67,32,7,0,0,538,..,68,45,14,24,28,12,8,4,200,..,64,58,16,12,8,3,0,0,157,..,177,228,66,52,39,15,9,3,587,..,20,80,96,161,177,118,68,32,751,16,32,35,19,20,18,3,3,4,149,1048,922,1099,862,882,749,431,272,116,6385,..,31,412,469,420,328,246,123,29,2055,..,53,183,99,81,53,10,0,0,487,..,8,54,105,145,98,33,52,24,520,970,..,..,..,..,..,..,..,..,970,..,324,..,..,..,..,..,..,..,324,..,151,118,25,36,19,4,0,0,347,..,56,33,13,14,24,28,23,9,205,..,36,21,3,0,0,0,0,0,62
5009,..,6,108,180,212,157,96,87,18,862,..,6,62,34,38,20,9,0,0,165,..,0,0,7,16,14,3,3,3,48,393,..,..,..,..,..,..,..,..,393,..,132,..,..,..,..,..,..,..,132,..,94,65,21,11,8,3,0,0,194,..,14,20,5,5,5,4,0,3,57,..,17,11,3,6,3,0,0,0,43,..,49,55,28,24,9,8,0,0,175,..,4,27,38,62,68,35,18,13,265,4,11,7,6,17,7,3,0,0,50,402,341,344,319,375,291,162,110,50,2386,..,3,150,181,199,160,103,51,13,861,..,17,50,45,28,15,5,0,0,160,..,4,14,41,58,31,6,12,3,173,384,..,..,..,..,..,..,..,..,384,..,132,..,..,..,..,..,..,..,132,..,63,24,15,14,3,0,0,0,111,..,16,4,7,9,12,7,3,9,64,..,12,10,0,0,0,0,0,0,27
5010,..,3,133,224,212,159,100,42,18,897,..,10,43,32,20,19,4,0,0,137,..,0,4,6,13,3,6,4,3,41,510,..,..,..,..,..,..,..,..,510,..,160,..,..,..,..,..,..,..,160,..,87,74,33,20,8,0,0,0,225,..,22,22,8,8,8,8,8,5,89,..,17,32,5,4,0,0,0,0,57,..,38,26,21,24,13,3,3,0,129,..,0,17,30,46,60,43,27,9,240,7,9,9,9,0,7,0,3,0,46,518,350,372,377,344,284,161,87,32,2519,..,11,196,260,167,151,78,47,4,905,..,17,55,41,17,12,3,0,0,138,..,6,43,54,76,46,27,21,4,286,497,..,..,..,..,..,..,..,..,497,..,167,..,..,..,..,..,..,..,167,..,74,51,19,14,9,0,0,0,165,..,24,21,6,14,20,16,13,7,123,..,24,19,0,3,0,0,0,0,51
5011,..,8,305,477,432,364,196,110,29,1925,..,43,183,102,77,46,13,3,3,469,..,0,0,16,33,27,12,6,10,95,969,..,..,..,..,..,..,..,..,969,..,307,..,..,..,..,..,..,..,307,..,175,140,47,21,17,0,0,0,406,..,51,32,7,10,6,9,0,0,131,..,32,31,12,6,3,0,3,0,85,..,88,89,34,25,24,16,0,3,283,..,34,96,80,126,119,90,35,29,614,15,15,35,19,11,7,3,3,0,113,987,763,915,788,748,620,346,161,69,5400,..,26,421,470,447,328,178,77,12,1949,..,70,208,82,80,32,8,0,0,482,..,11,53,80,128,65,31,21,28,414,936,..,..,..,..,..,..,..,..,936,..,299,..,..,..,..,..,..,..,299,..,140,77,17,24,16,4,0,0,268,..,55,28,6,8,35,17,21,12,178,..,29,22,7,0,3,4,0,0,69
5012,..,17,292,409,370,286,184,117,33,1710,..,27,100,59,46,36,9,4,0,280,..,4,11,21,27,25,12,3,4,109,1063,..,..,..,..,..,..,..,..,1063,..,363,..,..,..,..,..,..,..,363,..,192,172,57,29,18,3,0,0,470,..,69,67,24,18,22,17,6,4,224,..,42,56,20,16,14,4,0,0,154,..,74,86,38,34,22,13,0,0,270,..,23,67,75,101,111,82,44,29,523,15,24,18,12,16,7,9,0,3,107,1080,842,865,717,660,534,332,175,65,5265,..,50,406,460,328,259,135,80,13,1726,..,38,110,52,43,26,10,0,0,280,..,22,93,123,142,76,19,33,20,529,1027,..,..,..,..,..,..,..,..,1027,..,359,..,..,..,..,..,..,..,359,..,112,79,21,9,10,3,0,0,234,..,61,41,24,17,41,24,19,17,244,..,56,34,13,3,6,0,0,0,111
5013,..,7,189,263,302,293,188,92,32,1359,..,30,118,79,61,40,18,3,0,340,..,0,6,19,42,30,13,3,7,115,771,..,..,..,..,..,..,..,..,771,..,274,..,..,..,..,..,..,..,274,..,206,176,78,51,12,6,0,0,523,..,55,22,16,24,21,17,3,4,161,..,16,16,12,10,5,0,0,0,65,..,23,43,38,47,36,17,4,0,205,..,29,67,94,170,161,101,49,25,690,17,21,37,14,18,14,6,3,0,135,788,661,662,615,710,614,355,160,76,4639,..,19,264,298,303,240,162,66,20,1375,..,52,113,72,71,43,11,0,3,361,..,21,74,110,149,104,46,26,24,545,745,..,..,..,..,..,..,..,..,745,..,272,..,..,..,..,..,..,..,272,..,123,77,23,25,11,0,0,0,260,..,49,20,14,15,39,23,19,13,185,..,11,15,5,0,4,0,0,0,42
