_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
5000,..,952,408,50,24,22,16,7,0,1472,..,181,259,155,154,151,135,86,33,1148,12,67,43,20,4,14,9,5,0,177,336,1703,1492,617,463,465,376,150,60,5671,..,41,646,494,320,373,344,112,36,2366,..,320,586,169,106,99,54,7,0,1340,..,8,21,69,80,48,20,12,11,281,635,..,..,..,..,..,..,..,..,635,..,176,..,..,..,..,..,..,..,176,..,58,64,22,12,5,3,0,0,161,..,200,76,11,18,18,10,3,8,345,..,145,81,10,3,8,0,0,0,245,..,1767,834,131,66,38,20,9,0,2863,..,385,573,396,381,332,277,123,51,2511,30,127,120,49,31,28,19,4,0,406,661,3239,2995,1354,1016,942,751,271,102,11328
5005,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,..,133,112,15,4,6,0,0,0,272,..,23,91,61,61,82,125,76,39,558,0,19,19,4,0,3,4,3,0,61,213,366,530,259,332,329,353,168,68,2615,..,9,229,241,320,355,376,161,52,1752,..,46,245,85,75,69,47,15,0,576,..,0,8,19,50,33,17,7,5,137,425,..,..,..,..,..,..,..,..,425,..,204,..,..,..,..,..,..,..,204,..,55,57,17,17,3,0,0,0,156,..,38,21,7,3,9,8,4,0,97,..,21,17,3,5,0,0,0,0,48,..,278,260,42,6,18,6,11,0,610,..,51,196,137,148,150,200,116,53,1048,0,36,26,17,3,18,11,3,0,111,423,736,1060,552,629,655,665,313,126,5162
5007,..,171,144,25,19,13,4,4,0,375,..,22,81,56,100,116,72,47,29,517,3,22,26,8,13,10,3,3,0,92,378,514,728,414,426,362,185,128,53,3174,..,14,350,383,300,267,177,98,39,1637,..,110,373,151,101,43,14,6,0,791,..,0,27,59,91,67,17,21,7,289,738,..,..,..,..,..,..,..,..,738,..,214,..,..,..,..,..,..,..,214,..,120,96,31,27,12,0,0,0,292,..,68,45,22,22,31,18,9,3,213,..,59,41,9,8,3,0,0,0,121,..,328,329,56,40,36,11,9,0,800,..,40,170,153,194,220,129,83,45,1026,14,48,54,23,26,17,11,8,0,187,747,989,1489,882,807,690,364,232,97,6293
5008,..,150,133,29,21,24,11,8,0,375,..,12,50,69,107,172,163,180,107,860,12,23,24,12,9,18,15,16,11,135,977,818,1041,820,832,735,510,405,181,6332,..,38,711,936,828,686,484,306,95,4092,..,89,356,203,164,109,33,3,3,953,..,8,56,119,198,136,38,63,26,653,2006,..,..,..,..,..,..,..,..,2006,..,649,..,..,..,..,..,..,..,649,..,332,304,87,105,50,13,0,0,888,..,121,82,28,42,50,42,31,15,409,..,97,74,21,12,12,3,0,0,225,..,326,360,96,76,61,24,15,4,961,..,27,134,169,260,348,286,251,139,1607,24,58,60,28,28,33,17,19,9,287,2033,1745,2140,1689,1712,1483,945,679,296,12720
5009,..,24,24,13,10,9,3,0,0,86,..,13,19,27,39,48,53,61,31,298,7,3,6,0,0,0,6,3,0,39,387,290,301,327,359,287,191,140,60,2339,..,8,260,359,404,320,201,137,29,1721,..,26,110,81,68,34,13,0,0,328,..,4,13,50,69,46,14,11,10,224,782,..,..,..,..,..,..,..,..,782,..,270,..,..,..,..,..,..,..,270,..,154,83,31,23,12,3,0,0,308,..,33,27,10,15,18,9,10,13,120,..,30,18,3,6,4,0,0,0,67,..,78,81,36,33,19,13,0,0,262,..,14,45,65,103,113,92,80,47,567,13,11,18,3,15,11,7,4,0,87,791,627,649,645,732,578,351,248,106,4728
5010,..,22,19,7,13,15,7,3,0,79,..,7,29,27,47,66,74,62,26,338,7,12,7,3,7,5,9,0,0,50,499,365,442,415,354,311,211,146,55,2789,..,15,335,481,373,311,174,90,22,1802,..,24,93,77,42,28,5,0,0,274,..,7,51,66,84,50,26,30,11,321,1011,..,..,..,..,..,..,..,..,1011,..,328,..,..,..,..,..,..,..,328,..,167,125,51,30,14,0,0,0,387,..,46,39,16,18,35,25,20,11,209,..,39,50,7,4,0,0,0,0,104,..,61,47,26,38,24,13,3,0,209,..,7,46,53,94,128,118,86,38,578,8,24,17,11,9,11,11,6,0,97,1019,719,806,787,696,592,371,230,84,5312
5011,..,55,49,23,19,15,11,3,0,172,..,19,86,51,92,130,119,101,92,689,12,21,22,10,7,9,6,6,3,106,949,723,977,734,804,629,371,224,138,5559,..,36,718,941,886,692,375,184,41,3876,..,114,392,180,158,78,27,3,3,951,..,11,57,95,159,90,38,26,30,507,1911,..,..,..,..,..,..,..,..,1911,..,602,..,..,..,..,..,..,..,602,..,309,218,63,40,27,3,0,0,673,..,109,64,13,22,43,27,18,13,311,..,60,53,18,10,5,3,3,0,152,..,141,143,56,44,37,19,3,3,452,..,54,185,132,220,249,211,133,121,1305,31,42,54,28,21,21,13,9,3,219,1938,1485,1886,1524,1555,1251,718,385,212,10959
5012,..,55,49,20,21,10,3,0,0,164,..,15,44,41,60,91,90,87,66,501,23,18,23,11,15,12,15,7,3,127,1045,781,881,764,642,531,296,236,124,5297,..,68,699,867,699,547,316,198,48,3441,..,58,214,111,87,59,19,3,3,563,..,23,102,141,177,99,31,37,23,640,2090,..,..,..,..,..,..,..,..,2090,..,720,..,..,..,..,..,..,..,720,..,301,253,74,47,26,5,0,0,705,..,136,108,41,32,63,41,29,15,466,..,96,90,37,20,20,6,0,0,265,..,131,132,55,51,33,21,3,0,429,..,40,108,118,165,203,172,128,89,1021,34,44,41,26,29,18,23,14,7,228,2124,1618,1740,1484,1303,1061,629,413,192,10559
5013,..,14,24,9,28,20,10,3,0,107,..,13,40,48,90,130,113,88,77,596,23,26,16,13,18,9,9,5,0,118,762,598,643,597,694,595,376,216,129,4609,..,28,453,564,601,529,348,156,52,2730,..,74,228,152,130,80,27,7,3,703,..,23,79,130,184,132,53,33,31,661,1516,..,..,..,..,..,..,..,..,1516,..,544,..,..,..,..,..,..,..,544,..,331,249,98,74,30,6,0,0,787,..,98,39,30,45,62,34,22,17,348,..,31,28,18,8,7,3,3,0,104,..,34,73,47,70,50,28,5,0,311,..,39,104,141,256,292,217,143,102,1286,39,47,55,27,32,29,11,9,0,255,1555,1255,1302,1213,1406,1205,728,376,204,9247
