_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
5000,138,530,672,32,102,140,23,269,290,28,243,265,63,260,326,72,197,270,96,195,294,126,234,359,159,279,434,144,245,386,112,194,304,128,184,313,314,300,611,179,51,229,112,21,134,107,135,247,249,26,280,207,155,365,21,75,100,2326,3690,6014
5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,15,49,64,11,17,21,6,39,51,3,64,69,33,90,115,16,88,112,50,63,114,59,116,171,79,117,194,84,94,179,61,107,173,65,91,158,161,118,287,110,17,127,92,17,101,80,110,190,308,16,322,129,42,167,9,29,39,1374,1292,2667
5007,21,49,72,9,14,21,6,80,88,13,118,131,57,175,233,42,78,125,112,97,207,101,93,195,121,123,242,121,88,214,90,79,174,90,70,160,216,89,306,180,21,199,105,13,118,62,27,91,85,14,93,133,66,202,22,47,73,1586,1365,2952
5008,33,57,87,16,23,33,39,156,193,37,258,290,120,385,506,130,143,272,297,134,432,237,133,368,298,167,461,265,110,375,211,108,322,199,58,259,372,78,455,283,13,296,176,14,188,89,21,105,128,12,139,273,73,343,54,65,119,3258,1992,5250
5009,13,15,27,3,16,15,13,39,54,9,53,62,50,114,159,48,59,111,106,59,165,82,63,143,101,77,178,111,30,142,85,32,112,102,28,124,185,33,216,105,6,119,63,0,63,35,3,43,40,3,44,110,21,138,14,26,39,1279,679,1953
5010,25,18,45,11,11,22,15,61,82,23,128,148,62,118,181,57,38,94,155,45,203,132,44,177,137,38,173,137,26,161,85,23,108,68,14,83,139,17,159,98,6,100,55,4,56,19,4,27,34,0,34,95,7,100,23,33,57,1360,650,2011
5011,27,31,63,14,18,32,22,75,100,27,129,148,82,246,326,89,149,237,187,106,296,192,148,342,251,167,423,268,113,380,221,99,319,201,59,258,427,55,490,304,11,315,187,9,189,105,9,113,122,10,130,259,28,282,31,47,83,3018,1506,4522
5012,53,39,89,26,27,53,49,124,175,39,170,209,127,239,362,117,87,205,282,82,371,249,77,325,275,79,351,235,51,280,210,46,256,175,30,201,267,20,286,153,3,163,63,3,68,36,12,48,37,9,49,219,36,255,55,58,111,2665,1193,3860
5013,25,47,76,10,23,32,45,136,181,20,164,188,92,315,403,95,103,195,237,115,347,195,127,318,245,112,350,233,65,296,183,49,230,154,30,189,269,35,302,159,3,159,85,0,83,37,10,41,35,0,36,265,34,296,39,71,108,2418,1434,3859
5014,19,36,57,18,22,34,24,129,151,23,221,243,102,414,520,90,147,235,314,155,470,219,165,387,269,170,442,221,100,323,211,58,272,221,50,269,410,59,465,287,5,294,132,3,134,80,23,102,93,3,98,284,25,307,44,88,134,3060,1865,4932
5015,8,30,37,7,19,29,11,69,81,22,131,146,45,150,196,54,77,129,117,83,203,103,106,212,144,119,265,116,79,193,82,60,142,93,43,138,197,49,254,144,5,148,78,5,81,43,13,55,37,3,42,141,28,171,23,36,58,1472,1102,2576
5016,11,25,37,6,27,31,22,71,93,18,108,117,57,213,266,70,116,181,159,100,261,141,129,267,180,122,300,172,76,253,149,49,198,190,46,236,307,47,354,241,8,255,152,3,158,61,19,77,139,3,144,242,17,259,39,50,86,2351,1214,3570
