ORG_UNIT_NO,FULL_NAME,Postal Address,Physical Address,Email,Phone,Fax,Contact,Portfolio,Enrolment,Description
3716,Aberfoyle Hub Community Children's Centre,,"34 Taylors Road West, Aberfoyle Park SA 5159",ahccc@adam.com.au,(08) 8370 5063,(08) 8370 4752,Petah Hampton,,,Child Care Centres
5460,Accademia Di Montessori Preschool - Newton,,"77 Newton Road, Newton SA 5074",kerry@accademiadimontessori.com.au,(08) 7231 0178,,Kerry Black,,,Child Care Centres
5492,Accademia Di Montessori Preschool - West Croydon,,"68 Day Terrace, West Croydon SA 5008",kerry@accademiadimontessori.com.au,(08) 7231 0178,,Kerry Black,,,Child Care Centres
5720,Adelaide Campus Children's Centre,"c/- University of Adelaide, University of Adelaide SA 5005","via Gate 13 Kintore Ave, University of Adelaide SA 5005",childcare@adelaide.edu.au,(08) 8313 5429,(08) 8303 4404,Ms Vivian Ocampo,,,Child Care Centres
4701,Adelaide Eastern Community Childcare Centre Inc,,"22 Watson Avenue, Rose Park SA 5067",aeccc@bigpond.com,(08) 8332 1791,(08) 8332 1308,Mr Peter Greed,,,Child Care Centres
5392,AEIOU Foundation Huntfield Heights,"PO Box 568, Cannon Hill QLD 4170","19 Lindisfarne Road, Huntfield Heights SA 5163",huntfieldheights@aeiou.org.au,(08) 8187 2777,,Mrs Diane Heaney,,,Child Care Centres
3745,Aldinga Community Children's Centre Inc,,"63 Butterworth Road, Aldinga Beach SA 5173",steve@aldingacommuntychildrenscentre.com.au,(08) 8557 7045,(08) 8557 8267,Mr Stephen Kingsmill,,,Child Care Centres
3762,Aldinga Kinder Haven,,"182 Aldinga Beach Road, Aldinga SA 5173",aldinga@kinderhaven.com.au,(08) 8557 6000,(08) 8557 6099,Mrs Fiona Jackson,,,Child Care Centres
5374,Angaston Child Care & Early Learning Centre,,"Lot 422 Valley Road, Angaston SA 5353",angastonccc@childcareservicessa.com.au,(08) 8564 3387,(08) 8564 3398,Ms Elizabeth McNally,,,Child Care Centres
4194,Angle Vale Kindy Care,"PO Box 150, Angle Vale SA 5117","143 Angle Vale Road, Angle Vale SA 5117",anglevalekindycare@bigpond.com,(08) 8284 7874,(08) 8284 9323,Ms Melissa Bishop,,,Child Care Centres
6864,Babthorpe Montessori Pre-school,,"322 Portrush Road, Marryatville SA 5068",babthorpemontessori@hotmail.com,(08) 8331 2509,(08) 8333 2906,Ms Adriana Francescangeli,,,Child Care Centres
6705,Balaklava Community Children's Centre Child Care,,"15 Scotland Street, Balaklava SA 5461",dl.6652.leaders@schools.sa.edu.au,(08) 8862 1251,(08) 8862 1271,Ms Dale Gathercole,,,Child Care Centres
4247,Barossa Valley Community Kids,,"15 Mill Street, Tanunda SA 5352",wecare@barossakids.org.au,(08) 8563 0030,,Ms Kia Roberts,,,Child Care Centres
6720,Berri Regional Child Care Centre Inc,,"1B Fiedler Street, Berri SA 5343",admin@brccc.com.au,(08) 8582 3191,(08) 8582 2136,Mrs Lisanne Jarvis,,,Child Care Centres
5522,Bethany Christian School Early Learning Centre,,"37 Countess Street, Paralowie SA 5108",office@bethany.sa.edu.au,(08) 8283 0000,,Ms Wendy Matear,,,Child Care Centres
4756,Blackwood Community Child Care Centre,,"5 Brighton Parade, Blackwood SA 5051",bcccc@senet.com.au,(08) 8278 7271,(08) 8278 9510,Ms Janine McLoughlin,,,Child Care Centres
5292,Blue Skies Child Care Centre,,"17 Famechon Crescent, Modbury North SA 5092",blueskies@senet.com.au,(08) 8395 8577,(08) 8395 8577,Mr Andrew Turner,,,Child Care Centres
5900,Bond Street Early Learning & Kinder,,"38 Bond Street, Port Augusta SA 5700",director@bondstreetelc.com.au,(08) 8641 3113,,Ms Maree McCulloch,,,Child Care Centres
5729,Brompton Children's Centre Inc,,"1 Wattle Street, Brompton SA 5007",brompcc@adam.com.au,(08) 8346 6507,(08) 8346 8919,Ms Shareena DeVries,,,Child Care Centres
