"","zipcode","suburb","lat","long"
"1","5014","CHELTENHAM",-34.8675913983283,138.524262721177
"2","5014","HENDON",-34.8744598720403,138.515168897489
"3","5014","QUEENSTOWN",-34.8609354114097,138.51034294339
"4","5000","ADELAIDE",-34.9284990175311,138.600745948417
"5","5006","NORTH ADELAIDE",-34.9084346633123,138.595370711144
"6","5007","BOWDEN",-34.902910026497,138.579981150132
"7","5007","BROMPTON",-34.8983316315369,138.57567541302
"8","5007","HINDMARSH",-34.9066436075606,138.569945803071
"9","5007","WELLAND",-34.9038916559903,138.558753136915
"10","5007","WEST HINDMARSH",-34.9050509090009,138.563008754275
"11","5008","CROYDON",-34.8951714731126,138.565560831605
"12","5008","CROYDON PARK",-34.8802581747051,138.567487494601
"13","5008","DEVON PARK",-34.8876395904426,138.579769531232
"14","5008","DUDLEY PARK",-34.8800802542971,138.579176107606
"15","5008","RENOWN PARK",-34.8905466470586,138.57727065896
"16","5008","RIDLEYTON",-34.8941972485922,138.570453970099
"17","5008","WEST CROYDON",-34.889010281114,138.559032561135
"18","5009","ALLENBY GARDENS",-34.9016291471903,138.5543742826
"19","5009","BEVERLEY",-34.8952863060891,138.546341646529
"20","5009","KILKENNY",-34.8791661058901,138.552890857469
"21","5010","ANGLE PARK",-34.8559569300926,138.560612761409
"22","5010","FERRYDEN PARK",-34.8687828369783,138.561436600661
"23","5010","REGENCY PARK",-34.8625484150741,138.572404837365
"24","5011","ST CLAIR",-34.8708912803699,138.535326512299
"25","5011","WOODVILLE",-34.8771788285908,138.537950200715
"26","5011","WOODVILLE PARK",-34.8824142372417,138.546379291819
"27","5011","WOODVILLE SOUTH",-34.888507253848,138.53611740416
"28","5011","WOODVILLE WEST",-34.8850665961675,138.526583375427
"29","5012","ATHOL PARK",-34.8560741748828,138.542824031875
"30","5012","MANSFIELD PARK",-34.8565821204131,138.551830765827
"31","5012","WOODVILLE GARDENS",-34.8674165157239,138.552223489073
"32","5012","WOODVILLE NORTH",-34.8660814897572,138.541526996747
"33","5013","GILLMAN",-34.8331679798641,138.526289104657
"34","5013","OTTOWAY",-34.8472859957057,138.535730404114
"35","5013","PENNINGTON",-34.8575572054588,138.531645090735
"36","5013","ROSEWATER",-34.8525154730457,138.521319798175
"37","5013","WINGFIELD",-34.8410323894327,138.561047488458
"38","5014","ALBERT PARK",-34.8762402842816,138.521471679112
"39","5014","ALBERTON",-34.8590363787166,138.516109615278
"40","5034","CLARENCE PARK",-34.9639847384981,138.583648697385
"41","5034","GOODWOOD",-34.9510851764658,138.5924655334
"42","5034","KINGS PARK",-34.9635867927277,138.592731062941
"43","5034","MILLSWOOD",-34.9572597528011,138.589501718939
"44","5034","WAYVILLE",-34.9448797355474,138.591275718682
"45","5035","ASHFORD",-34.9486689809888,138.574358950267
"46","5035","BLACK FOREST",-34.9602820544765,138.576671860545
"47","5035","EVERARD PARK",-34.9541418282476,138.574675493144
"48","5035","FORESTVILLE",-34.9514003277482,138.580909977616
"49","5035","KESWICK",-34.9443890774583,138.577597263953
"50","5018","NORTH HAVEN",-34.7871610955345,138.490599772177
"51","5018","OUTER HARBOR",-34.772721522877,138.498156197185
"52","5019","EXETER",-34.838487246204,138.490774600814
"53","5019","SEMAPHORE",-34.8389242951332,138.482881541979
"54","5019","SEMAPHORE PARK",-34.8557236942791,138.485386747487
"55","5019","SEMAPHORE SOUTH",-34.8471915796487,138.480532154406
"56","5020","WEST LAKES SHORE",-34.8658270176629,138.484934815239
"57","5021","WEST LAKES",-34.8734481617677,138.494834341797
"58","5022","GRANGE",-34.8958774499799,138.497402871081
"59","5022","HENLEY BEACH",-34.9159362801096,138.498680996473
"60","5022","HENLEY BEACH SOUTH",-34.9298941278898,138.501297411848
"61","5022","TENNYSON",-34.8861257292708,138.485407783103
"62","5023","FINDON",-34.8995242124824,138.532191450914
"63","5023","SEATON",-34.893666161234,138.513244935535
"64","5024","FULHAM",-34.9273747739144,138.513663089055
"65","5025","KIDMAN PARK",-34.9122448300202,138.526928692898
"66","5031","MILE END",-34.9263479808583,138.571112384753
"67","5031","MILE END SOUTH",-34.9369557244425,138.573922790117
"68","5031","THEBARTON",-34.9151804912393,138.57247830427
"69","5031","TORRENSVILLE",-34.9198047481716,138.55979418297
"70","5032","BROOKLYN PARK",-34.9301195053599,138.544761065304
"71","5048","SOUTH BRIGHTON",-35.0259658878527,138.525302624569
"72","5024","FULHAM GARDENS",-34.9148385211939,138.513233357336
"73","5024","WEST BEACH",-34.9452165590329,138.508815162823
"74","5025","FLINDERS PARK",-34.9102519271504,138.543198129999
"75","5035","KESWICK TERMINAL",-34.9362420702605,138.579685213642
"76","5037","GLANDORE",-34.9615049156457,138.568322881712
"77","5037","KURRALTA PARK",-34.9514505564367,138.566994436088
"78","5037","NETLEY",-34.9493671217077,138.549193610692
"79","5037","NORTH PLYMPTON",-34.9557605625694,138.549526303952
"80","5038","CAMDEN PARK",-34.967147026403,138.541387800768
"81","5038","PLYMPTON",-34.9620746442204,138.554890137557
"82","5038","PLYMPTON PARK",-34.9759606164691,138.551473832264
"83","5038","SOUTH PLYMPTON",-34.9737643376628,138.560155854215
"84","5039","CLARENCE GARDENS",-34.9724830321344,138.577779733286
"85","5014","ROYAL PARK",-34.8708335512623,138.507415491513
"86","5015","BIRKENHEAD",-34.8367900941144,138.500243098675
"87","5015","ETHELTON",-34.8488421422252,138.490124733722
"88","5015","GLANVILLE",-34.8441098546325,138.490891274664
"89","5015","NEW PORT",-34.8448145245301,138.49680167604
"90","5015","PORT ADELAIDE",-34.8342849382165,138.512351466316
"91","5016","LARGS BAY",-34.826686021495,138.493803695854
"92","5016","LARGS NORTH",-34.8168358215014,138.501486574713
"93","5016","PETERHEAD",-34.8312189470579,138.499920344458
"94","5017","OSBORNE",-34.785824330705,138.507478711742
"95","5017","TAPEROO",-34.8065538134542,138.500284804458
"96","5032","LOCKLEYS",-34.9250310663039,138.53094057801
"97","5032","UNDERDALE",-34.919547885992,138.549092105697
"98","5033","COWANDILLA",-34.9324692953498,138.556921056505
"99","5033","HILTON",-34.9321441586586,138.565834313648
"100","5033","MARLESTON",-34.945344633487,138.561627614863
"101","5033","RICHMOND",-34.9386455013428,138.562126651562
"102","5033","WEST RICHMOND",-34.9393298655008,138.550415116221
"103","5039","EDWARDSTOWN",-34.9802188963689,138.569414590475
"104","5039","MELROSE PARK",-34.9852694987862,138.578695812376
"105","5040","NOVAR GARDENS",-34.965976977843,138.531654310403
"106","5041","COLONEL LIGHT GARDENS",-34.9836158172301,138.594668124534
"107","5041","CUMBERLAND PARK",-34.972039677639,138.586694723386
"108","5041","DAW PARK",-34.9884827563824,138.58796166128
"109","5041","PANORAMA",-35.0007362871208,138.597371761874
"110","5041","WESTBOURNE PARK",-34.9716468658657,138.595248313112
"111","5042","BEDFORD PARK",-35.02343039433,138.569833851867
"112","5042","CLOVELLY PARK",-34.9984791798999,138.570835969771
"113","5042","PASADENA",-35.0027428383085,138.588619418062
"114","5042","ST MARYS",-35.0042312916675,138.579834433031
"115","5042","TONSLEY",-35.0097163756957,138.570992704311
"116","5043","ASCOT PARK",-34.9881328996656,138.561005202475
"117","5043","MARION",-35.0063685601824,138.553497593874
"118","5045","GLENELG SOUTH",-34.9882848439092,138.514715297757
"119","5046","OAKLANDS PARK",-35.0066928006708,138.544562688489
"120","5046","WARRADALE",-35.0074001107905,138.535627914106
"121","5047","DARLINGTON",-35.0330195953588,138.556283629968
"122","5047","SEACOMBE GARDENS",-35.0233632178586,138.545804122367
"123","5047","SEACOMBE HEIGHTS",-35.0337550182033,138.546188498887
"124","5047","STURT",-35.0227566088329,138.554623582892
"125","5048","BRIGHTON",-35.0184464278717,138.522282249156
"126","5048","DOVER GARDENS",-35.023998685754,138.536951012142
"127","5048","HOVE",-35.0112001176266,138.522635805289
"128","5048","NORTH BRIGHTON",-35.0050634647633,138.5208525382
"129","5043","MITCHELL PARK",-35.0050666090654,138.562321264061
"130","5043","MORPHETTVILLE",-34.9846295499054,138.543044800699
"131","5043","PARK HOLME",-34.9889134124987,138.552175696627
"132","5044","GLENGOWRIE",-34.9873676182303,138.533544037585
"133","5044","SOMERTON PARK",-34.9964766739361,138.519851775059
"134","5045","GLENELG",-34.9804813916251,138.514414205752
"135","5045","GLENELG EAST",-34.9816448524011,138.525787151231
"136","5045","GLENELG NORTH",-34.9687551792574,138.517873987328
"137","5049","KINGSTON PARK",-35.0387597429582,138.517707963505
"138","5049","MARINO",-35.0499118973501,138.515200214821
"139","5049","SEACLIFF",-35.0322843026146,138.520616126969
"140","5049","SEACLIFF PARK",-35.0426572130577,138.529457493548
"141","5049","SEAVIEW DOWNS",-35.0421492629577,138.538347998105
