"","x"
"1",5000
"2",5006
"3",5007
"4",5008
"5",5009
"6",5010
"7",5011
"8",5012
"9",5013
"10",5014
"11",5015
"12",5016
"13",5017
"14",5018
"15",5019
"16",5020
"17",5021
"18",5022
"19",5023
"20",5024
"21",5025
"22",5031
"23",5032
"24",5033
"25",5034
"26",5035
"27",5037
"28",5038
"29",5039
"30",5040
"31",5041
"32",5042
"33",5043
"34",5044
"35",5045
"36",5046
"37",5047
"38",5048
"39",5049
"40",5050
"41",5051
"42",5052
"43",5061
"44",5062
"45",5063
"46",5064
"47",5065
"48",5066
"49",5067
"50",5068
"51",5069
"52",5070
"53",5072
"54",5073
"55",5074
"56",5075
"57",5076
"58",5081
"59",5082
"60",5083
"61",5084
"62",5085
"63",5086
"64",5087
"65",5088
"66",5089
"67",5090
"68",5091
"69",5092
"70",5093
"71",5094
"72",5095
"73",5096
"74",5097
"75",5098
"76",5106
"77",5107
"78",5108
"79",5109
"80",5110
"81",5111
"82",5112
"83",5113
"84",5114
"85",5115
"86",5116
"87",5117
"88",5118
"89",5120
"90",5121
"91",5125
"92",5126
"93",5127
"94",5131
"95",5150
"96",5152
"97",5153
"98",5156
"99",5157
"100",5158
"101",5159
"102",5160
"103",5161
"104",5162
"105",5163
"106",5164
"107",5165
"108",5166
"109",5167
"110",5168
"111",5169
"112",5170
"113",5171
"114",5172
"115",5173
"116",5174
"117",5950
